Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:48.357000,19.8,40.5,938.5,False,32.1,258,0.2
0 days 00:01:48.357000,19.8,39.1,938.6,False,32.1,294,0.5
0 days 00:02:48.356000,19.7,40.0,938.6,True,31.7,224,0.3
0 days 00:03:48.371000,19.7,39.8,938.6,True,31.6,251,0.6
0 days 00:04:48.388000,19.6,40.3,938.5,False,31.6,234,0.7
0 days 00:05:48.403000,19.6,40.6,938.6,False,31.6,262,0.6
0 days 00:06:48.420000,19.5,40.7,938.5,False,31.6,241,0.5
0 days 00:07:48.434000,19.4,41.0,938.5,False,31.5,197,0.3
0 days 00:08:48.449000,19.4,41.6,938.6,False,31.3,248,0.5
0 days 00:09:48.453000,19.4,41.1,938.6,False,31.3,244,0.5
0 days 00:10:48.449000,19.4,40.9,938.6,False,31.3,252,0.8
0 days 00:11:48.466000,19.4,41.2,938.6,False,31.4,247,0.7
0 days 00:12:48.483000,19.4,41.2,938.7,False,31.4,250,0.8
0 days 00:13:48.481000,19.5,41.7,938.6,False,31.4,220,0.7
0 days 00:14:48.482000,19.5,41.4,938.6,False,31.3,237,0.6
0 days 00:15:48.499000,19.4,41.9,938.5,False,31.2,241,0.7
0 days 00:16:48.507000,19.3,42.0,938.6,False,31.3,232,0.5
0 days 00:17:48.497000,19.4,41.9,938.6,False,31.5,247,0.5
0 days 00:18:48.520000,19.3,41.9,938.6,True,31.4,261,0.5
0 days 00:19:48.531000,19.4,41.5,938.6,True,31.4,265,0.4
0 days 00:20:48.544000,19.6,40.2,938.6,False,31.4,239,0.4
0 days 00:21:48.562000,19.8,40.5,938.5,False,31.7,247,0.6
0 days 00:22:48.577000,19.8,40.2,938.6,False,31.7,218,0.5
0 days 00:23:48.575000,19.8,40.4,938.5,False,31.7,241,0.3
0 days 00:24:48.591000,19.9,40.2,938.5,False,31.7,254,0.2
0 days 00:25:48.608000,19.9,39.9,938.6,False,31.7,253,0.5
0 days 00:26:48.632000,19.7,40.3,938.6,False,31.6,249,0.1
0 days 00:27:48.608000,19.7,41.0,938.6,True,31.5,181,0.1
0 days 00:28:48.610000,19.7,40.8,938.6,True,31.5,220,0.2
0 days 00:29:48.607000,19.7,41.0,938.5,False,31.6,0,0.2
0 days 00:30:48.607000,19.7,41.0,938.6,True,31.7,212,0.1
0 days 00:31:48.596000,19.8,42.1,938.6,True,31.6,250,0.2
0 days 00:32:48.607000,19.8,41.2,938.6,False,31.5,210,0.3
0 days 00:33:48.606000,19.9,40.6,938.5,False,31.6,241,0.4
0 days 00:34:48.615000,19.9,40.3,938.5,False,31.5,175,0.3
0 days 00:35:48.610000,19.9,40.9,938.6,True,31.6,192,0.2
0 days 00:36:48.607000,19.9,40.4,938.7,True,31.6,299,0.4
0 days 00:37:48.606000,19.9,40.8,938.7,False,31.9,231,0.4
0 days 00:38:48.607000,19.8,40.7,938.6,False,31.6,211,0.4
0 days 00:39:48.607000,19.7,40.8,938.5,True,31.8,236,0.3
0 days 00:40:48.608000,19.7,40.7,938.5,True,31.8,286,0.4
0 days 00:41:48.607000,19.8,40.2,938.6,True,32.0,158,0.3
0 days 00:42:48.607000,19.8,40.3,938.5,False,31.8,279,0.3
0 days 00:43:48.608000,19.8,41.2,938.5,False,31.9,235,0.6
0 days 00:44:48.607000,19.8,41.7,938.6,False,31.9,227,0.3
0 days 00:45:48.606000,19.7,41.3,938.6,False,31.9,293,0.5
0 days 00:46:48.606000,19.7,41.3,938.7,True,31.7,268,0.5
0 days 00:47:48.606000,19.6,42.2,938.6,True,31.6,265,0.7
0 days 00:48:48.606000,19.6,42.7,938.7,True,31.6,267,0.3
0 days 00:49:48.621000,19.6,42.2,938.7,True,31.4,248,0.4
0 days 00:50:48.638000,19.5,42.8,938.7,True,31.5,249,0.4
0 days 00:51:48.660000,19.6,41.9,938.6,True,31.5,293,0.5
0 days 00:52:48.653000,19.5,43.3,938.8,True,31.2,248,0.4
0 days 00:53:48.656000,19.5,43.6,938.7,True,31.1,100,0.5
0 days 00:54:48.657000,19.5,43.3,938.7,True,31.2,239,0.4
0 days 00:55:48.653000,19.5,43.9,938.8,True,31.2,257,0.3
0 days 00:56:48.669000,19.4,44.3,938.8,True,31.1,118,0.1
0 days 00:57:48.687000,19.4,43.8,938.7,True,31.1,261,0.3
0 days 00:58:48.714000,19.5,45.1,938.7,True,31.0,234,0.4
0 days 00:59:48.702000,19.6,44.8,938.8,True,30.9,256,0.1
0 days 01:00:48.700000,19.6,43.9,938.8,True,31.1,51,0.3
0 days 01:01:48.701000,19.6,43.0,938.8,True,31.1,296,0.2
0 days 01:02:48.718000,19.6,42.7,938.7,True,31.1,126,0.2
0 days 01:03:48.733000,19.6,44.9,938.8,True,31.0,144,0.3
0 days 01:04:48.733000,19.6,45.1,938.7,True,30.8,118,0.5
0 days 01:05:48.744000,19.6,44.6,938.8,True,30.5,85,0.1
0 days 01:06:48.732000,19.6,45.0,938.8,True,30.4,84,0.1
0 days 01:07:48.749000,19.6,43.7,938.8,True,30.4,95,0.3
0 days 01:08:48.751000,19.6,44.4,938.8,True,30.4,91,0.2
0 days 01:09:48.762000,19.7,43.6,938.9,True,30.7,81,0.6
0 days 01:10:48.778000,19.8,43.1,938.8,True,30.7,76,0.5
0 days 01:11:48.778000,19.9,42.2,938.9,True,30.9,75,0.6
0 days 01:12:48.781000,19.8,41.4,938.8,True,30.9,65,0.6
0 days 01:13:48.792000,19.8,41.7,938.8,True,30.6,66,0.7
0 days 01:14:48.789000,19.8,42.1,938.8,True,30.5,5,0.6
0 days 01:15:48.797000,19.8,42.4,938.8,True,30.5,97,0.1
0 days 01:16:48.820000,19.7,43.2,938.9,True,29.9,314,0.4
0 days 01:17:48.825000,19.6,45.9,938.8,True,29.7,73,0.2
0 days 01:18:48.820000,19.6,44.8,938.8,True,29.6,287,0.1
0 days 01:19:48.848000,19.5,45.9,938.8,True,29.3,251,0.1
0 days 01:20:48.843000,19.5,46.3,938.9,True,29.3,0,0.1
