Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:26.705000,24.9,28.6,936.7,False,49.0,0,0.1
0 days 00:01:26.706000,25.0,29.0,936.8,False,49.4,224,0.1
0 days 00:02:26.725000,25.1,28.7,936.6,False,49.7,35,0.1
0 days 00:03:26.724000,25.2,28.2,936.6,False,50.3,82,0.2
0 days 00:04:26.723000,25.3,27.6,936.6,False,51.0,19,0.3
0 days 00:05:26.730000,25.1,28.9,936.5,False,51.0,35,0.4
0 days 00:06:26.740000,24.9,29.1,936.5,False,51.1,269,0.3
0 days 00:07:26.745000,24.9,28.8,936.5,False,51.1,30,0.1
0 days 00:08:26.754000,24.9,28.7,936.5,False,51.0,271,0.1
0 days 00:09:26.754000,25.2,28.1,936.4,False,51.0,191,0.1
0 days 00:10:26.755000,25.3,26.8,936.5,False,52.0,90,0.3
0 days 00:11:26.755000,25.4,27.1,936.4,False,52.0,78,0.4
0 days 00:12:26.753000,25.4,27.2,936.6,False,52.0,77,0.4
0 days 00:13:26.753000,25.4,27.2,936.6,False,52.0,88,0.3
0 days 00:14:26.755000,25.5,27.0,936.4,False,51.5,78,0.3
0 days 00:15:26.756000,25.5,26.4,936.5,False,51.9,82,0.4
0 days 00:16:26.770000,25.3,27.1,936.5,False,51.6,97,0.6
0 days 00:17:26.769000,25.1,27.8,936.6,False,51.4,129,0.6
0 days 00:18:26.773000,25.0,28.8,936.5,False,51.4,57,0.2
0 days 00:19:26.793000,25.0,28.7,936.4,False,51.9,83,0.2
0 days 00:20:26.801000,25.1,28.0,936.6,False,52.2,355,0.4
0 days 00:21:26.815000,25.2,28.3,936.6,False,52.3,67,0.3
0 days 00:22:26.818000,25.4,27.6,936.4,False,52.3,77,0.5
0 days 00:23:26.835000,25.5,26.9,936.5,False,52.4,119,0.7
0 days 00:24:26.833000,25.6,27.8,936.4,False,52.3,93,0.6
0 days 00:25:26.835000,25.6,27.9,936.5,False,52.0,62,0.2
0 days 00:26:26.833000,25.7,27.5,936.4,False,52.0,84,0.3
0 days 00:27:26.833000,25.9,27.7,936.4,False,52.6,83,0.6
0 days 00:28:26.833000,26.2,27.2,936.4,False,52.6,35,0.7
0 days 00:29:26.833000,26.0,27.0,936.4,False,52.8,54,0.4
0 days 00:30:26.832000,26.0,26.5,936.5,False,52.8,62,0.5
0 days 00:31:26.832000,25.8,26.5,936.4,False,52.8,53,0.8
0 days 00:32:26.833000,25.7,27.0,936.3,False,52.7,77,0.5
0 days 00:33:26.833000,25.5,27.0,936.4,False,52.7,90,0.4
0 days 00:34:26.833000,25.6,27.1,936.3,False,52.7,74,0.7
0 days 00:35:26.832000,25.8,26.3,936.3,False,52.6,48,0.8
0 days 00:36:26.836000,25.9,25.8,936.3,False,51.8,105,0.4
0 days 00:37:26.832000,25.8,27.2,936.2,False,51.4,84,0.2
0 days 00:38:26.836000,25.7,28.3,936.2,False,51.4,131,0.3
0 days 00:39:26.833000,25.9,27.2,936.3,False,52.0,96,0.2
0 days 00:40:26.834000,25.8,26.7,936.2,False,52.6,101,0.5
0 days 00:41:26.835000,25.6,26.4,936.3,False,51.9,0,0.2
0 days 00:42:26.835000,25.6,26.8,936.2,False,51.9,182,0.1
0 days 00:43:26.832000,25.6,27.3,936.3,False,52.1,0,0.2
0 days 00:44:26.832000,25.8,26.8,936.2,False,52.4,231,0.1
0 days 00:45:26.834000,25.9,25.6,936.2,False,52.4,336,0.3
0 days 00:46:26.832000,25.8,26.4,936.3,False,51.7,209,0.3
0 days 00:47:26.836000,25.7,27.1,936.3,False,51.7,219,0.3
0 days 00:48:26.835000,25.7,27.1,936.3,False,51.8,241,0.3
0 days 00:49:26.825000,25.7,27.2,936.2,False,52.0,300,0.3
0 days 00:50:26.833000,25.9,27.7,936.2,False,52.3,107,0.3
0 days 00:51:26.832000,26.0,26.9,936.3,False,52.3,216,0.1
0 days 00:52:26.834000,26.1,26.4,936.2,False,52.3,229,0.2
0 days 00:53:26.848000,26.0,26.4,936.2,False,52.2,257,0.3
0 days 00:54:26.836000,25.8,26.7,936.2,False,52.1,262,0.3
0 days 00:55:26.822000,25.7,26.7,936.2,False,52.1,125,0.2
0 days 00:56:26.839000,25.9,26.9,936.2,False,52.1,188,0.1
0 days 00:57:26.850000,26.0,27.2,936.3,False,51.8,0,0.0
0 days 00:58:26.864000,26.1,26.7,936.2,False,52.2,47,0.0
0 days 00:59:26.871000,26.0,26.7,936.1,False,52.2,335,0.2
0 days 01:00:26.886000,26.0,26.9,936.2,False,51.7,136,0.1
