Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:47.765000,21.6,31.1,782.6,False,44.2,337,0.4
0 days 00:01:47.772000,21.7,30.3,782.7,False,44.3,140,0.2
0 days 00:02:47.773000,21.8,30.3,782.6,False,44.5,250,0.4
0 days 00:03:47.771000,21.7,29.7,782.6,False,44.9,123,0.4
0 days 00:04:47.784000,21.5,30.1,782.6,False,44.9,235,0.3
0 days 00:05:47.772000,21.5,30.3,782.5,False,44.7,290,0.1
0 days 00:06:47.773000,21.6,30.4,782.6,False,44.9,217,0.2
0 days 00:07:47.785000,21.6,29.6,782.5,False,44.7,252,0.1
0 days 00:08:47.774000,21.5,29.8,782.6,False,44.3,265,0.3
0 days 00:09:47.772000,21.4,30.4,782.5,False,43.5,0,0.3
0 days 00:10:47.772000,21.4,30.3,782.5,False,43.3,229,0.1
0 days 00:11:47.771000,21.4,30.3,782.6,False,42.8,240,0.1
0 days 00:12:47.776000,21.3,30.2,782.6,False,42.5,253,0.4
0 days 00:13:47.773000,21.2,30.2,782.5,False,42.1,291,0.4
0 days 00:14:47.771000,21.2,29.9,782.5,False,42.2,0,0.4
0 days 00:15:47.773000,21.2,29.8,782.6,False,42.1,285,0.1
0 days 00:16:47.773000,21.2,29.9,782.5,False,42.3,276,0.6
0 days 00:17:47.772000,21.2,30.1,782.6,False,42.4,120,0.2
0 days 00:18:47.773000,21.3,30.0,782.5,False,42.4,285,0.1
0 days 00:19:47.774000,21.5,29.6,782.5,False,43.0,260,0.5
0 days 00:20:47.799000,21.7,30.0,782.5,False,43.0,217,0.7
0 days 00:21:47.774000,21.8,30.2,782.5,False,42.0,265,0.4
0 days 00:22:47.771000,21.9,30.3,782.5,False,41.8,289,0.4
0 days 00:23:47.773000,22.0,30.3,782.5,False,41.7,312,0.4
0 days 00:24:47.797000,22.0,29.8,782.4,False,41.8,288,0.2
0 days 00:25:47.805000,22.0,29.5,782.5,False,41.4,297,0.7
0 days 00:26:47.804000,22.0,29.5,782.6,False,41.2,293,0.5
0 days 00:27:47.825000,21.9,29.4,782.5,False,41.2,288,0.4
0 days 00:28:47.827000,21.9,29.4,782.5,False,41.4,263,0.1
0 days 00:29:47.818000,21.9,29.8,782.4,False,41.4,0,0.4
0 days 00:30:47.820000,22.0,29.6,782.5,False,41.6,278,0.3
0 days 00:31:47.818000,22.0,29.9,782.5,False,41.8,252,0.4
