Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:55.376000,19.2,36.6,785.7,False,43.9,120,0.3
0 days 00:01:55.377000,19.3,35.3,785.7,False,44.0,171,0.3
0 days 00:02:55.377000,19.5,34.5,785.7,False,44.0,213,0.2
0 days 00:03:55.376000,19.5,33.2,785.6,False,44.1,349,0.3
0 days 00:04:55.374000,19.5,33.7,785.6,False,44.4,0,0.2
0 days 00:05:55.393000,19.4,34.9,785.5,False,44.2,333,0.1
0 days 00:06:55.378000,19.3,35.3,785.5,False,44.2,151,0.1
0 days 00:07:55.377000,19.4,34.8,785.5,False,44.3,156,0.2
0 days 00:08:55.377000,19.5,35.0,785.5,False,44.6,149,0.3
0 days 00:09:55.376000,19.4,35.1,785.4,False,44.6,122,0.3
0 days 00:10:55.375000,19.5,35.0,785.4,False,44.8,0,0.4
0 days 00:11:55.375000,19.6,35.0,785.4,False,44.9,82,0.1
0 days 00:12:55.379000,19.6,34.5,785.4,False,44.9,105,0.0
0 days 00:13:55.378000,19.6,34.9,785.4,False,45.2,118,0.2
0 days 00:14:55.391000,19.8,34.6,785.4,False,45.2,120,0.5
0 days 00:15:55.377000,19.7,35.1,785.3,False,45.4,97,0.4
0 days 00:16:55.378000,19.6,34.6,785.3,False,45.5,97,0.2
0 days 00:17:55.379000,19.4,34.7,785.3,False,45.6,350,0.1
0 days 00:18:55.379000,19.5,34.2,785.2,False,45.7,261,0.1
0 days 00:19:55.379000,19.6,33.1,785.3,False,46.3,344,0.5
0 days 00:20:55.419000,19.7,33.7,785.2,False,45.7,163,0.3
0 days 00:21:55.377000,19.8,34.1,785.3,False,45.7,267,0.1
0 days 00:22:55.377000,20.0,33.3,785.2,False,46.0,244,0.3
0 days 00:23:55.370000,20.2,32.6,785.3,False,46.3,300,0.4
0 days 00:24:55.379000,20.1,32.6,785.2,False,46.3,262,0.5
0 days 00:25:55.391000,20.2,32.7,785.2,False,46.5,228,0.5
0 days 00:26:55.391000,20.3,32.0,785.2,False,46.7,359,0.5
0 days 00:27:55.383000,20.3,32.1,785.1,False,46.4,66,0.3
0 days 00:28:55.415000,20.4,31.6,785.2,False,46.4,158,0.1
0 days 00:29:55.424000,20.4,32.0,785.2,False,46.4,118,0.3
0 days 00:30:55.427000,20.4,31.2,785.1,False,46.7,319,0.1
0 days 00:31:55.426000,20.4,30.8,785.1,False,46.7,76,0.3
0 days 00:32:55.426000,20.3,31.0,785.2,False,46.7,253,0.2
0 days 00:33:55.471000,20.2,31.2,785.2,False,46.4,255,0.3
0 days 00:34:55.426000,20.2,31.2,785.1,False,46.6,309,0.1
0 days 00:35:55.424000,20.2,31.3,785.0,False,46.7,276,0.2
0 days 00:36:55.425000,20.3,31.7,785.0,False,46.8,220,0.3
0 days 00:37:55.439000,20.4,31.5,785.0,False,47.2,286,0.5
0 days 00:38:55.456000,20.3,31.5,785.0,False,47.3,302,0.7
0 days 00:39:55.462000,20.2,31.7,785.0,False,47.2,244,0.5
0 days 00:40:55.476000,20.3,32.0,785.0,False,47.4,302,0.3
0 days 00:41:55.474000,20.3,31.7,785.0,False,47.6,296,0.5
0 days 00:42:55.488000,20.3,31.9,784.9,False,47.7,294,0.6
0 days 00:43:55.505000,20.3,32.2,784.8,False,47.7,302,0.5
0 days 00:44:55.505000,20.2,32.3,784.8,False,47.7,279,0.4
0 days 00:45:55.517000,20.2,32.3,784.8,False,47.8,270,0.4
0 days 00:46:55.504000,20.2,32.2,784.8,False,47.7,339,0.5
0 days 00:47:55.517000,20.1,32.2,784.7,False,47.8,356,0.3
0 days 00:48:55.504000,20.2,32.2,784.7,False,47.8,356,0.3
0 days 00:49:55.513000,20.4,32.0,784.7,False,48.0,259,0.4
0 days 00:50:55.503000,20.5,31.8,784.6,False,48.0,240,0.7
0 days 00:51:55.504000,20.7,31.8,784.6,False,48.0,240,0.7
0 days 00:52:55.513000,20.8,31.8,784.6,False,48.3,4,0.8
0 days 00:53:55.504000,20.8,30.8,784.6,False,48.1,270,0.6
0 days 00:54:55.504000,21.0,30.9,784.5,False,48.1,233,0.6
0 days 00:55:55.503000,20.9,31.3,784.6,False,48.0,166,0.5
0 days 00:56:55.503000,20.8,31.7,784.5,False,47.8,285,0.3
0 days 00:57:55.504000,20.8,31.4,784.5,False,47.6,272,0.6
0 days 00:58:55.507000,20.7,31.8,784.5,False,47.6,280,0.4
0 days 00:59:55.503000,20.8,31.3,784.5,False,47.6,282,0.6
0 days 01:00:55.504000,20.7,31.0,784.4,False,47.6,289,0.5
0 days 01:01:55.504000,20.8,31.1,784.4,False,47.5,297,0.4
0 days 01:02:55.504000,20.7,31.3,784.3,False,47.5,355,0.6
0 days 01:03:55.505000,20.8,31.3,784.5,False,47.5,0,0.4
0 days 01:04:55.547000,20.9,31.3,784.4,False,47.6,335,0.1
0 days 01:05:55.510000,21.0,31.2,784.4,False,47.8,256,0.2
0 days 01:06:55.504000,21.2,31.2,784.4,False,47.8,256,0.2
0 days 01:07:55.506000,21.3,31.2,784.4,False,47.8,256,0.2
0 days 01:08:55.522000,21.2,30.5,784.3,False,47.9,238,0.4
0 days 01:09:55.520000,21.2,30.8,784.3,False,47.6,154,0.4
0 days 01:10:55.519000,21.1,32.0,784.3,False,47.2,211,0.2
0 days 01:11:55.521000,21.2,31.0,784.3,False,47.2,263,0.5
0 days 01:12:55.537000,21.2,31.1,784.3,False,47.4,311,0.3
0 days 01:13:55.538000,21.3,30.8,784.3,False,47.4,310,0.3
0 days 01:14:55.552000,21.3,31.1,784.2,False,47.4,209,0.3
0 days 01:15:55.555000,21.2,31.8,784.2,False,47.1,250,0.4
0 days 01:16:55.550000,21.1,31.7,784.2,False,47.0,175,0.4
