Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:12.573000,25.2,51.4,968.5,False,37.8,113,0.7
0 days 00:01:12.571000,25.3,51.2,968.5,False,37.8,133,0.7
0 days 00:02:12.571000,25.3,51.1,968.4,False,37.7,140,0.7
0 days 00:03:12.569000,25.3,51.4,968.5,False,37.7,130,0.7
0 days 00:04:12.570000,25.3,51.0,968.7,False,37.1,129,0.6
0 days 00:05:12.569000,25.3,51.4,968.5,False,37.0,105,0.5
0 days 00:06:12.569000,25.2,51.7,968.5,False,37.0,111,0.5
0 days 00:07:12.567000,25.2,51.4,968.6,False,36.8,116,0.3
0 days 00:08:12.573000,25.2,51.1,968.6,False,36.8,116,0.7
0 days 00:09:12.599000,25.1,51.1,968.6,False,36.8,135,0.9
0 days 00:10:12.617000,25.1,51.1,968.6,False,36.6,121,0.8
0 days 00:11:12.616000,25.0,51.8,968.6,False,36.6,123,0.7
0 days 00:12:12.616000,25.0,51.8,968.5,False,35.9,130,0.4
0 days 00:13:12.603000,25.1,51.5,968.6,False,36.1,140,0.5
0 days 00:14:12.614000,25.1,51.8,968.6,False,36.2,131,0.4
0 days 00:15:12.618000,25.2,51.9,968.5,False,36.3,102,0.6
0 days 00:16:12.616000,25.2,51.7,968.5,False,36.3,111,0.6
0 days 00:17:12.616000,25.1,52.0,968.5,False,36.3,123,0.8
0 days 00:18:12.615000,25.1,52.2,968.5,False,36.1,129,0.5
0 days 00:19:12.633000,25.1,52.2,968.4,False,36.0,115,0.6
0 days 00:20:12.654000,25.1,51.8,968.5,False,36.3,108,0.7
0 days 00:21:12.663000,25.1,51.2,968.4,False,36.6,128,0.9
0 days 00:22:12.677000,25.1,51.9,968.4,False,36.4,138,0.7
0 days 00:23:12.669000,25.0,52.8,968.4,False,36.2,120,0.7
0 days 00:24:12.694000,25.1,53.3,968.3,False,36.2,134,0.6
0 days 00:25:12.694000,25.2,53.3,968.3,False,36.1,110,0.4
0 days 00:26:12.691000,25.2,53.4,968.4,False,36.2,118,0.8
0 days 00:27:12.693000,25.1,53.2,968.3,False,36.3,116,0.8
0 days 00:28:12.697000,25.1,53.1,968.3,False,36.4,145,0.6
0 days 00:29:12.694000,25.0,53.6,968.3,False,36.4,104,0.6
0 days 00:30:12.699000,25.0,53.6,968.3,False,36.4,104,0.6
0 days 00:31:12.696000,25.2,53.6,968.4,False,36.6,113,0.6
0 days 00:32:12.694000,25.2,53.5,968.4,False,36.9,134,0.5
0 days 00:33:12.697000,25.3,53.7,968.4,False,36.9,128,0.7
0 days 00:34:12.694000,25.3,53.6,968.3,False,37.3,123,0.7
0 days 00:35:12.694000,25.5,53.6,968.5,False,37.5,125,0.7
0 days 00:36:12.691000,25.5,52.5,968.4,False,37.5,135,1.0
0 days 00:37:12.694000,25.6,53.1,968.4,False,37.7,128,0.9
0 days 00:38:12.695000,25.6,52.7,968.4,False,37.7,133,0.8
0 days 00:39:12.695000,25.7,53.2,968.2,False,37.4,141,0.7
0 days 00:40:12.694000,25.6,53.9,968.3,False,37.2,124,0.8
0 days 00:41:12.696000,25.7,53.9,968.2,False,36.9,121,0.6
0 days 00:42:12.693000,25.7,53.9,968.2,False,37.1,131,0.6
0 days 00:43:12.694000,25.8,53.9,968.2,False,37.1,131,0.6
0 days 00:44:12.693000,25.7,53.8,968.2,False,37.6,126,0.7
0 days 00:45:12.695000,25.8,53.8,968.2,False,37.6,126,0.7
0 days 00:46:12.693000,25.8,53.0,968.2,False,38.1,153,0.5
0 days 00:47:12.695000,25.9,53.5,968.2,False,38.1,116,0.5
0 days 00:48:12.694000,25.9,53.5,968.2,False,38.1,116,0.5
0 days 00:49:12.695000,26.0,52.6,968.2,False,38.1,134,0.6
0 days 00:50:12.693000,26.0,53.2,968.3,False,38.1,131,0.6
0 days 00:51:12.694000,25.9,53.2,968.3,False,38.1,131,0.6
0 days 00:52:12.694000,25.9,53.9,968.2,False,37.4,134,0.8
0 days 00:53:12.697000,26.0,53.9,968.2,False,37.4,134,0.8
0 days 00:54:12.699000,26.2,54.7,968.1,False,37.0,112,0.6
0 days 00:55:12.695000,26.1,54.7,968.1,False,37.0,112,0.6
0 days 00:56:12.693000,26.1,55.0,968.0,False,36.9,125,0.7
0 days 00:57:12.698000,25.8,55.0,968.0,False,36.9,125,0.7
0 days 00:58:12.694000,25.8,55.6,968.0,False,36.2,135,0.9
0 days 00:59:12.694000,25.6,55.6,968.0,False,36.2,135,0.9
0 days 01:00:12.730000,25.6,56.2,968.0,False,36.4,124,0.7
0 days 01:01:12.712000,25.6,56.2,968.0,False,36.4,124,0.7
0 days 01:02:12.728000,25.7,55.1,968.0,False,36.6,118,0.6
0 days 01:03:12.755000,25.6,55.1,968.0,False,36.6,118,0.6
0 days 01:04:12.734000,25.5,54.1,968.0,False,36.6,95,0.6
0 days 01:05:12.740000,25.6,54.1,968.0,False,36.6,95,0.6
0 days 01:06:12.756000,25.6,54.6,968.0,False,36.7,132,0.6
0 days 01:07:12.772000,25.7,54.6,968.0,False,36.7,132,0.6
0 days 01:08:12.790000,25.7,54.4,967.8,False,36.8,126,0.8
0 days 01:09:12.808000,25.7,54.4,967.8,False,36.8,126,0.8
0 days 01:10:12.813000,25.7,54.5,967.8,False,36.9,134,0.8
