Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:03.778000,25.6,53.5,1017.3,False,33.0,274,0.7
0 days 00:01:03.777000,25.6,52.6,1017.2,False,32.8,279,0.7
0 days 00:02:03.779000,25.6,53.3,1017.3,False,32.7,280,0.3
0 days 00:03:03.772000,25.7,53.3,1017.3,False,32.7,280,0.3
0 days 00:04:03.783000,25.7,53.3,1017.3,False,32.7,341,0.6
0 days 00:05:03.809000,25.7,52.8,1017.3,False,32.7,0,0.5
0 days 00:06:03.807000,25.5,52.1,1017.2,False,32.3,309,0.5
0 days 00:07:03.826000,25.5,52.3,1017.3,False,32.3,353,0.6
0 days 00:08:03.823000,25.4,52.5,1017.3,False,32.2,319,0.5
0 days 00:09:03.826000,25.4,52.4,1017.3,False,32.2,354,0.4
0 days 00:10:03.840000,25.5,52.1,1017.3,False,32.2,316,0.5
0 days 00:11:03.837000,25.5,52.3,1017.4,False,32.2,287,0.5
0 days 00:12:03.857000,25.4,53.0,1017.2,False,31.9,349,0.5
0 days 00:13:03.872000,25.4,53.8,1017.4,False,31.0,288,0.4
0 days 00:14:03.869000,25.3,55.0,1017.3,False,31.0,345,0.7
0 days 00:15:03.872000,25.3,55.0,1017.4,False,31.0,358,0.6
0 days 00:16:03.869000,25.3,55.7,1017.3,False,30.9,280,0.6
0 days 00:17:03.869000,25.3,56.0,1017.4,False,30.9,322,0.5
0 days 00:18:03.868000,25.1,56.4,1017.4,False,30.9,295,0.6
0 days 00:19:03.884000,25.1,56.0,1017.3,False,30.8,310,0.6
0 days 00:20:03.885000,25.0,56.6,1017.3,False,30.8,285,0.4
0 days 00:21:03.901000,25.0,56.5,1017.3,False,30.9,11,0.5
0 days 00:22:03.918000,24.9,55.6,1017.5,False,30.9,285,0.5
0 days 00:23:03.925000,24.9,56.0,1017.5,False,30.8,295,0.4
0 days 00:24:03.915000,25.0,56.3,1017.4,False,30.7,343,0.3
0 days 00:25:03.931000,25.0,56.4,1017.4,False,30.6,299,0.5
0 days 00:26:03.948000,25.1,56.5,1017.5,False,30.6,281,0.5
0 days 00:27:03.946000,25.1,56.5,1017.5,False,31.0,289,0.4
0 days 00:28:03.948000,25.2,55.7,1017.5,False,31.0,316,0.4
0 days 00:29:03.952000,25.2,55.6,1017.5,False,30.9,291,0.5
0 days 00:30:03.948000,25.3,56.0,1017.5,False,30.5,279,0.5
0 days 00:31:03.947000,25.3,55.6,1017.5,False,30.1,299,0.5
