Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:51.451000,17.1,42.7,786.8,False,35.4,266,0.2
0 days 00:01:51.449000,17.2,42.7,786.8,False,35.5,307,0.3
0 days 00:02:51.449000,17.3,41.7,786.8,False,35.3,262,0.3
0 days 00:03:51.450000,17.3,42.1,786.7,False,35.2,242,0.3
0 days 00:04:51.455000,17.3,41.9,786.7,False,35.4,294,0.4
0 days 00:05:51.453000,17.3,41.8,786.7,False,35.5,0,0.2
0 days 00:06:51.450000,17.3,41.6,786.7,False,35.3,169,0.0
0 days 00:07:51.466000,17.5,41.0,786.6,False,35.3,255,0.1
0 days 00:08:51.487000,17.5,41.3,786.6,False,35.6,178,0.6
0 days 00:09:51.495000,17.5,41.9,786.6,False,35.5,232,0.3
0 days 00:10:51.505000,17.4,41.7,786.7,False,35.3,235,0.4
0 days 00:11:51.518000,17.4,41.6,786.7,False,35.3,247,0.4
0 days 00:12:51.510000,17.5,41.4,786.5,False,35.5,260,0.5
0 days 00:13:51.528000,17.6,40.8,786.6,False,35.1,172,0.3
0 days 00:14:51.544000,17.6,41.0,786.7,False,35.1,315,0.3
0 days 00:15:51.550000,17.7,40.7,786.7,False,35.0,118,0.1
0 days 00:16:51.544000,17.6,41.3,786.6,False,35.0,208,0.3
0 days 00:17:51.545000,17.8,41.2,786.6,False,35.0,90,0.1
0 days 00:18:51.560000,17.8,41.1,786.6,False,34.9,187,0.2
0 days 00:19:51.558000,17.6,41.6,786.6,False,35.0,228,0.8
0 days 00:20:51.560000,17.6,41.9,786.5,False,35.7,93,0.2
0 days 00:21:51.568000,17.6,41.9,786.5,False,35.7,93,0.2
0 days 00:22:51.558000,17.7,41.5,786.5,False,35.7,0,0.1
0 days 00:23:51.576000,17.8,40.6,786.5,False,35.5,111,0.0
0 days 00:24:51.578000,17.7,40.9,786.5,False,35.4,194,0.4
0 days 00:25:51.577000,17.7,41.5,786.5,False,34.5,255,0.1
0 days 00:26:51.599000,17.6,41.2,786.5,False,34.1,0,0.2
0 days 00:27:51.591000,17.7,39.1,786.4,False,34.0,284,0.3
0 days 00:28:51.601000,17.6,39.1,786.4,False,34.0,284,0.3
0 days 00:29:51.591000,17.6,38.8,786.3,False,33.6,12,0.3
0 days 00:30:51.606000,17.6,38.5,786.4,False,33.4,251,0.2
0 days 00:31:51.623000,17.6,38.2,786.4,False,33.6,97,0.2
