Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:52.477000,21.1,21.7,784.0,False,46.9,17,0.4
0 days 00:01:52.487000,21.1,21.7,784.0,False,46.8,264,0.4
0 days 00:02:52.493000,21.3,22.1,784.1,False,45.8,294,0.3
0 days 00:03:52.492000,21.2,22.1,784.1,False,45.8,294,0.3
0 days 00:04:52.483000,21.1,21.8,784.1,False,45.8,321,0.3
0 days 00:05:52.494000,21.2,21.8,784.0,False,45.9,174,0.4
0 days 00:06:52.491000,21.1,21.8,784.0,False,45.5,292,0.2
0 days 00:07:52.495000,21.1,22.3,783.9,False,44.9,166,0.5
0 days 00:08:52.492000,21.0,22.3,783.9,False,44.8,122,0.5
0 days 00:09:52.502000,21.0,22.0,784.0,False,44.8,330,0.5
0 days 00:10:52.493000,21.0,22.2,783.9,False,45.0,210,0.1
0 days 00:11:52.491000,21.0,21.7,783.9,False,45.0,229,0.4
0 days 00:12:52.492000,21.1,21.7,783.9,False,44.8,37,0.3
0 days 00:13:52.492000,21.1,21.9,783.9,False,44.8,235,0.3
0 days 00:14:52.491000,21.1,22.4,783.8,False,44.8,229,0.8
0 days 00:15:52.491000,21.2,21.9,783.8,False,44.9,280,0.4
0 days 00:16:52.492000,21.3,21.9,783.9,False,45.0,0,0.4
0 days 00:17:52.495000,21.4,21.3,783.9,False,44.9,240,0.3
0 days 00:18:52.495000,21.4,20.9,783.8,False,45.0,304,0.4
0 days 00:19:52.490000,21.4,21.1,783.7,False,44.9,142,0.5
0 days 00:20:52.500000,21.3,21.2,783.7,False,44.6,161,0.7
0 days 00:21:52.498000,21.2,21.4,783.8,False,44.5,320,0.5
0 days 00:22:52.493000,21.1,21.3,783.7,False,44.5,208,0.3
0 days 00:23:52.495000,21.2,21.5,783.7,False,43.4,237,0.6
0 days 00:24:52.485000,21.1,21.5,783.7,False,42.9,263,0.4
0 days 00:25:52.491000,21.0,21.4,783.8,False,42.6,74,0.5
0 days 00:26:52.494000,21.1,20.6,783.7,False,42.6,157,0.3
0 days 00:27:52.493000,21.0,20.7,783.7,False,42.9,302,0.3
0 days 00:28:52.494000,21.1,20.3,783.7,False,43.2,112,0.2
0 days 00:29:52.493000,21.1,20.0,783.7,False,43.3,106,0.6
0 days 00:30:52.494000,21.1,20.0,783.6,False,43.8,139,0.7
0 days 00:31:52.500000,21.1,21.1,783.6,False,43.8,136,0.7
0 days 00:32:52.492000,21.1,21.4,783.7,False,43.7,71,0.7
0 days 00:33:52.494000,21.3,21.4,783.7,False,43.7,277,0.2
0 days 00:34:52.484000,21.3,20.5,783.7,False,43.6,225,0.4
0 days 00:35:52.496000,21.3,19.2,783.6,False,43.6,198,0.4
0 days 00:36:52.494000,21.3,19.5,783.5,False,44.2,243,0.3
0 days 00:37:52.505000,21.3,19.3,783.6,False,44.6,229,0.5
0 days 00:38:52.531000,21.5,19.0,783.6,False,45.0,265,0.6
0 days 00:39:52.526000,21.4,19.0,783.6,False,45.1,243,0.4
0 days 00:40:52.541000,21.5,19.0,783.6,False,45.1,171,0.4
0 days 00:41:52.536000,21.5,18.7,783.5,False,45.5,273,0.5
0 days 00:42:52.545000,21.5,19.4,783.5,False,45.6,0,0.2
0 days 00:43:52.560000,21.5,19.9,783.6,False,45.7,233,0.3
0 days 00:44:52.574000,21.5,20.2,783.5,False,45.6,280,0.5
0 days 00:45:52.577000,21.5,20.5,783.6,False,45.4,237,0.4
0 days 00:46:52.587000,21.5,20.0,783.5,False,45.3,243,0.4
0 days 00:47:52.589000,21.4,20.3,783.5,False,45.4,207,0.3
0 days 00:48:52.588000,21.3,20.4,783.5,False,45.5,69,0.3
0 days 00:49:52.600000,21.2,20.3,783.4,False,45.5,106,0.1
0 days 00:50:52.606000,21.3,20.3,783.4,False,45.6,239,0.1
0 days 00:51:52.625000,21.4,20.7,783.4,False,45.7,16,0.1
0 days 00:52:52.612000,21.5,20.4,783.4,False,45.6,278,0.1
0 days 00:53:52.620000,21.5,20.0,783.5,False,45.6,313,0.3
0 days 00:54:52.619000,21.8,19.8,783.5,False,45.6,252,0.3
0 days 00:55:52.620000,21.9,19.8,783.4,False,45.5,52,0.2
0 days 00:56:52.617000,22.0,20.0,783.5,False,45.5,77,0.2
0 days 00:57:52.620000,22.2,19.9,783.4,False,45.6,275,0.2
0 days 00:58:52.617000,22.1,20.1,783.4,False,45.7,299,0.4
0 days 00:59:52.622000,22.1,20.0,783.3,False,45.6,170,0.3
0 days 01:00:52.622000,22.1,19.6,783.4,False,45.5,260,0.2
0 days 01:01:52.633000,22.0,19.3,783.3,False,45.5,180,0.4
0 days 01:02:52.637000,22.0,19.6,783.4,False,45.8,127,0.4
0 days 01:03:52.653000,22.1,19.3,783.2,False,45.9,157,0.3
0 days 01:04:52.654000,22.1,19.2,783.3,False,45.9,123,0.7
0 days 01:05:52.664000,22.0,19.1,783.4,False,45.8,164,0.2
0 days 01:06:52.680000,21.9,19.2,783.4,False,45.8,261,0.4
0 days 01:07:52.915000,21.9,18.3,783.3,False,45.7,284,0.5
0 days 01:08:52.713000,21.9,18.3,783.3,False,45.7,254,0.2
0 days 01:09:52.729000,21.9,18.2,783.3,False,45.7,261,0.4
0 days 01:10:52.745000,21.9,17.9,783.3,False,45.7,259,0.6
0 days 01:11:52.744000,21.9,18.8,783.4,False,45.7,243,0.5
0 days 01:12:52.746000,22.1,19.0,783.3,False,45.5,241,0.5
0 days 01:13:52.758000,22.2,19.4,783.3,False,45.5,166,0.2
0 days 01:14:52.743000,22.2,19.3,783.3,False,45.6,204,0.6
0 days 01:15:52.743000,22.2,19.3,783.4,False,45.6,252,0.3
0 days 01:16:52.743000,22.3,19.2,783.4,False,45.6,253,0.8
0 days 01:17:52.745000,22.2,19.1,783.4,False,45.4,171,0.3
0 days 01:18:52.757000,22.0,18.8,783.4,False,45.4,139,0.3
0 days 01:19:52.746000,22.0,19.1,783.2,False,45.4,52,0.3
0 days 01:20:52.755000,22.0,18.9,783.4,False,45.7,268,0.5
0 days 01:21:52.750000,21.9,19.1,783.3,False,45.7,286,0.8
0 days 01:22:52.743000,21.9,19.2,783.3,False,45.2,311,0.4
0 days 01:23:52.749000,21.8,19.1,783.2,False,45.1,131,0.1
0 days 01:24:52.764000,21.9,19.1,783.3,False,45.1,281,0.1
0 days 01:25:52.743000,22.1,18.6,783.4,False,45.3,273,0.2
0 days 01:26:52.744000,22.1,18.4,783.4,False,45.4,292,0.3
0 days 01:27:52.744000,22.1,19.0,783.2,False,45.4,291,0.6
0 days 01:28:52.746000,22.0,19.4,783.2,False,45.2,291,0.6
0 days 01:29:52.749000,22.0,18.9,783.3,False,45.1,244,0.6
0 days 01:30:52.747000,22.0,19.1,783.2,False,45.2,0,0.1
0 days 01:31:52.767000,22.1,19.0,783.2,False,45.2,248,0.2
0 days 01:32:52.746000,22.2,19.4,783.2,False,45.3,269,0.5
0 days 01:33:52.747000,22.2,19.5,783.2,False,45.3,230,0.5
0 days 01:34:52.744000,22.3,19.2,783.2,False,45.0,240,0.6
0 days 01:35:52.745000,22.3,19.2,783.2,False,44.7,241,0.6
0 days 01:36:52.743000,22.3,19.4,783.2,False,44.5,305,0.1
0 days 01:37:52.744000,22.2,19.4,783.1,False,44.5,270,0.3
0 days 01:38:52.744000,22.2,19.5,783.2,False,44.3,196,0.2
0 days 01:39:52.743000,22.3,19.6,783.2,False,44.3,269,0.1
0 days 01:40:52.744000,22.2,19.3,783.2,False,44.4,243,0.2
0 days 01:41:52.743000,22.2,19.3,783.1,False,44.4,281,0.3
0 days 01:42:52.743000,22.1,19.3,783.2,False,44.2,325,0.7
0 days 01:43:52.744000,22.1,19.6,783.1,False,43.8,189,0.3
