Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:20.091000,18.8,72.4,1013.2,False,34.4,300,0.1
0 days 00:01:20.093000,18.7,73.2,1013.3,False,33.9,277,0.3
0 days 00:02:20.110000,18.6,74.1,1013.2,False,33.9,313,0.3
0 days 00:03:20.091000,18.6,74.6,1013.2,False,33.7,307,0.3
0 days 00:04:20.100000,18.6,75.8,1013.1,False,33.7,311,0.2
0 days 00:05:20.122000,18.9,74.6,1013.1,False,33.7,331,0.4
0 days 00:06:20.139000,18.9,74.5,1013.1,False,34.1,319,0.3
0 days 00:07:20.138000,18.9,73.8,1013.1,False,34.5,331,0.2
0 days 00:08:20.140000,19.0,71.8,1013.0,False,35.1,347,0.2
0 days 00:09:20.140000,19.0,69.7,1013.0,False,35.0,160,0.2
0 days 00:10:20.141000,18.9,71.3,1013.0,False,34.9,185,0.3
0 days 00:11:20.139000,18.8,71.6,1013.0,False,35.0,212,0.1
0 days 00:12:20.140000,18.8,71.9,1013.1,False,35.0,171,0.1
0 days 00:13:20.155000,18.9,72.2,1013.0,False,34.7,202,0.1
0 days 00:14:20.170000,18.9,72.3,1013.1,False,34.4,198,0.1
0 days 00:15:20.200000,18.8,71.4,1013.1,False,34.3,47,0.1
0 days 00:16:20.171000,18.7,72.8,1013.0,False,33.7,270,0.0
0 days 00:17:20.185000,18.8,72.7,1013.1,False,33.7,315,0.2
0 days 00:18:20.191000,18.7,73.4,1013.0,False,33.4,119,0.1
0 days 00:19:20.204000,18.7,74.0,1013.1,False,33.4,338,0.1
0 days 00:20:20.200000,18.5,73.7,1013.0,False,33.4,137,0.2
0 days 00:21:20.204000,18.6,72.6,1012.9,False,33.5,224,0.2
0 days 00:22:20.217000,18.7,72.2,1012.9,False,34.5,0,0.2
0 days 00:23:20.215000,19.0,70.2,1012.9,False,34.7,163,0.4
0 days 00:24:20.217000,19.2,68.1,1013.0,False,35.4,215,0.2
0 days 00:25:20.222000,19.2,66.9,1013.1,False,35.4,162,0.2
0 days 00:26:20.237000,19.5,66.6,1013.1,False,35.3,209,0.3
0 days 00:27:20.219000,19.5,66.5,1013.0,False,35.2,196,0.1
0 days 00:28:20.220000,19.4,67.3,1013.1,False,34.5,169,0.3
0 days 00:29:20.218000,19.2,68.8,1013.1,False,34.1,183,0.1
0 days 00:30:20.232000,19.2,69.1,1013.0,False,33.1,352,0.2
0 days 00:31:20.237000,19.4,68.6,1013.0,False,33.1,207,0.3
0 days 00:32:20.236000,19.2,69.0,1012.9,False,32.7,298,0.2
0 days 00:33:20.232000,19.2,70.8,1012.9,False,31.7,0,0.3
0 days 00:34:20.247000,19.1,70.2,1012.9,False,31.5,358,0.1
0 days 00:35:20.264000,18.9,70.3,1012.9,False,32.4,171,0.2
0 days 00:36:20.257000,18.9,70.8,1012.9,False,31.6,309,0.2
0 days 00:37:20.265000,19.0,71.5,1012.9,False,31.9,339,0.1
0 days 00:38:20.262000,18.9,71.7,1013.0,False,32.2,317,0.4
0 days 00:39:20.263000,18.8,72.4,1013.0,False,32.3,320,0.4
0 days 00:40:20.261000,18.7,73.5,1013.0,False,32.6,325,0.3
0 days 00:41:20.280000,18.7,74.5,1013.0,False,32.7,316,0.4
0 days 00:42:20.305000,18.6,74.1,1012.9,False,33.2,305,0.5
0 days 00:43:20.316000,18.6,75.3,1012.9,False,33.2,182,0.4
0 days 00:44:20.324000,18.6,74.6,1012.9,False,33.1,229,0.2
0 days 00:45:20.325000,18.6,74.6,1013.0,False,33.1,184,0.2
0 days 00:46:20.324000,18.7,73.4,1012.9,False,32.6,240,0.3
0 days 00:47:20.326000,18.8,71.6,1013.0,False,32.7,161,0.2
0 days 00:48:20.324000,18.8,70.8,1013.0,False,32.6,177,0.5
0 days 00:49:20.327000,18.9,70.1,1013.1,False,32.6,278,0.2
0 days 00:50:20.325000,18.9,70.8,1013.2,False,32.5,330,0.1
0 days 00:51:20.342000,18.7,72.0,1013.2,False,32.7,75,0.0
0 days 00:52:20.341000,18.7,72.7,1013.2,False,32.9,113,0.1
0 days 00:53:20.341000,18.6,74.0,1013.1,False,33.4,288,0.2
0 days 00:54:20.343000,18.6,74.5,1013.0,False,33.3,202,0.4
0 days 00:55:20.344000,18.6,72.9,1013.1,False,32.9,7,0.3
0 days 00:56:20.342000,18.8,74.0,1013.1,False,32.9,98,0.1
0 days 00:57:20.341000,18.9,72.1,1013.0,False,32.7,175,0.3
0 days 00:58:20.342000,18.9,70.5,1013.0,False,32.7,0,0.2
0 days 00:59:20.339000,18.7,71.0,1013.1,False,32.0,312,0.1
0 days 01:00:20.340000,18.6,72.7,1013.0,False,31.2,172,0.2
0 days 01:01:20.340000,18.5,73.8,1013.1,False,31.0,28,0.3
0 days 01:02:20.339000,18.3,74.4,1013.1,False,31.0,306,0.1
0 days 01:03:20.357000,18.2,75.0,1013.1,False,30.6,326,0.2
0 days 01:04:20.340000,18.3,75.2,1013.1,False,30.6,330,0.2
0 days 01:05:20.346000,18.3,74.8,1013.1,False,30.5,304,0.3
0 days 01:06:20.339000,18.3,75.6,1013.1,False,30.5,202,0.2
0 days 01:07:20.340000,18.3,74.7,1013.1,False,30.5,0,0.1
0 days 01:08:20.346000,18.4,73.6,1013.0,False,30.6,0,0.3
0 days 01:09:20.345000,18.4,73.2,1013.0,False,30.7,232,0.2
0 days 01:10:20.348000,18.4,72.4,1012.9,False,30.7,315,0.2
0 days 01:11:20.359000,18.5,71.7,1013.0,False,30.7,323,0.1
0 days 01:12:20.350000,18.5,71.7,1013.0,False,30.3,158,0.4
0 days 01:13:20.341000,18.4,72.6,1012.9,False,29.4,177,0.3
0 days 01:14:20.340000,18.3,73.4,1012.8,False,29.3,73,0.2
0 days 01:15:20.341000,18.2,75.0,1012.9,False,29.1,0,0.1
0 days 01:16:20.341000,18.2,74.9,1013.0,False,29.1,339,0.2
0 days 01:17:20.344000,18.2,75.0,1012.9,False,29.1,327,0.3
