Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:25.218000,20.7,61.3,1015.0,False,36.9,329,0.1
0 days 00:01:25.220000,20.7,61.4,1015.0,False,36.8,0,0.1
0 days 00:02:25.225000,20.6,62.3,1015.0,False,36.8,307,0.1
0 days 00:03:25.234000,20.5,63.2,1015.1,False,36.1,258,0.1
0 days 00:04:25.234000,20.5,63.3,1015.0,False,36.4,285,0.2
0 days 00:05:25.250000,20.5,63.9,1015.1,False,36.6,190,0.2
0 days 00:06:25.257000,20.4,65.1,1015.1,False,36.9,182,0.2
0 days 00:07:25.264000,20.4,65.1,1015.2,False,38.4,219,0.1
0 days 00:08:25.268000,20.4,65.8,1015.1,False,38.8,274,0.1
0 days 00:09:25.269000,20.5,64.8,1015.1,False,39.2,306,0.2
0 days 00:10:25.282000,20.6,64.8,1015.2,False,39.6,239,0.2
0 days 00:11:25.296000,20.5,65.2,1015.2,False,40.0,175,0.1
0 days 00:12:25.297000,20.5,65.4,1015.2,False,40.2,240,0.2
0 days 00:13:25.299000,20.5,66.1,1015.2,False,40.2,293,0.1
0 days 00:14:25.295000,20.4,66.1,1015.2,False,40.9,0,0.1
0 days 00:15:25.294000,20.5,64.3,1015.1,False,40.9,334,0.0
0 days 00:16:25.314000,20.7,65.1,1015.3,False,39.9,316,0.1
0 days 00:17:25.315000,20.6,64.5,1015.3,False,40.4,298,0.4
0 days 00:18:25.311000,20.6,64.9,1015.3,False,40.9,266,0.1
0 days 00:19:25.328000,20.6,64.4,1015.4,False,40.9,314,0.1
0 days 00:20:25.346000,20.7,64.4,1015.4,False,40.9,314,0.1
0 days 00:21:25.342000,20.7,63.5,1015.4,False,41.5,311,0.1
0 days 00:22:25.345000,20.8,62.5,1015.4,False,41.5,286,0.2
0 days 00:23:25.343000,20.8,62.8,1015.4,False,42.3,288,0.1
0 days 00:24:25.345000,20.9,63.3,1015.4,False,42.3,298,0.3
0 days 00:25:25.343000,20.9,63.3,1015.6,False,42.2,307,0.2
0 days 00:26:25.344000,20.9,63.1,1015.5,False,42.2,313,0.3
0 days 00:27:25.346000,20.9,62.3,1015.5,False,42.7,198,0.2
0 days 00:28:25.355000,21.1,61.9,1015.5,False,42.7,309,0.2
0 days 00:29:25.347000,21.0,63.5,1015.6,False,42.7,312,0.2
0 days 00:30:25.344000,21.0,62.4,1015.5,False,42.9,348,0.2
0 days 00:31:25.342000,20.9,61.8,1015.5,False,43.2,312,0.1
0 days 00:32:25.342000,20.8,61.5,1015.6,False,43.2,325,0.2
0 days 00:33:25.360000,20.8,60.4,1015.6,False,43.4,311,0.3
0 days 00:34:25.374000,20.8,61.8,1015.5,False,43.4,329,0.2
0 days 00:35:25.392000,20.8,61.5,1015.6,False,42.9,0,0.1
0 days 00:36:25.424000,20.8,61.5,1015.5,False,42.9,0,0.4
0 days 00:37:25.425000,21.0,60.4,1015.5,False,42.7,151,0.3
0 days 00:38:25.421000,21.2,60.2,1015.5,False,42.7,284,0.3
0 days 00:39:25.421000,21.2,59.9,1015.5,False,42.7,35,0.5
0 days 00:40:25.422000,21.3,58.9,1015.4,False,42.7,287,0.2
0 days 00:41:25.420000,21.4,58.4,1015.5,False,42.7,158,0.3
0 days 00:42:25.419000,21.4,57.9,1015.5,False,42.7,187,0.4
0 days 00:43:25.437000,21.4,58.5,1015.5,False,42.6,218,0.5
0 days 00:44:25.438000,21.3,58.2,1015.5,False,42.0,243,0.3
0 days 00:45:25.452000,21.4,58.0,1015.6,False,42.2,168,0.4
0 days 00:46:25.454000,21.3,57.2,1015.6,False,42.2,173,0.3
0 days 00:47:25.467000,21.3,57.3,1015.6,False,42.0,294,0.4
0 days 00:48:25.469000,21.3,58.3,1015.5,False,42.0,184,0.5
0 days 00:49:25.468000,21.3,58.9,1015.6,False,41.3,150,0.4
