Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:10.988000,21.8,35.2,1019.2,False,50.2,15,0.2
0 days 00:01:10.969000,21.8,36.5,1019.2,False,50.4,204,0.0
0 days 00:02:10.979000,21.8,34.7,1019.3,False,50.4,115,0.2
0 days 00:03:10.977000,21.6,34.7,1019.3,False,50.4,115,0.2
0 days 00:04:10.977000,21.7,35.1,1019.2,False,50.2,288,0.2
0 days 00:05:10.980000,21.8,35.0,1019.2,False,50.3,71,0.2
0 days 00:06:10.975000,21.7,34.7,1019.3,False,50.5,244,0.4
0 days 00:07:10.977000,21.7,34.7,1019.3,False,50.6,0,0.1
0 days 00:08:10.980000,21.6,34.7,1019.3,False,50.6,0,0.1
0 days 00:09:11.015000,21.6,35.4,1019.2,False,50.3,110,0.1
0 days 00:10:10.968000,21.8,33.9,1019.2,False,50.3,104,0.2
0 days 00:11:10.977000,21.9,34.0,1019.2,False,50.6,140,0.2
0 days 00:12:10.991000,21.9,33.2,1019.1,False,50.6,197,0.1
0 days 00:13:11.008000,21.9,33.5,1019.4,False,51.6,0,0.2
0 days 00:14:11.025000,22.1,33.5,1019.4,False,51.6,0,0.2
0 days 00:15:11.025000,22.2,34.6,1019.2,False,51.0,167,0.1
0 days 00:16:11.023000,22.3,34.1,1019.2,False,51.0,279,0.3
0 days 00:17:11.025000,22.2,34.1,1019.2,False,51.0,279,0.3
0 days 00:18:11.024000,22.3,35.5,1019.3,False,51.1,0,0.1
0 days 00:19:11.023000,22.3,35.5,1019.3,False,51.1,0,0.1
0 days 00:20:11.027000,22.3,33.3,1019.3,False,50.8,187,0.1
0 days 00:21:11.024000,22.3,34.7,1019.3,False,50.2,143,0.3
0 days 00:22:11.036000,22.5,33.6,1019.3,False,49.1,176,0.5
0 days 00:23:11.050000,22.7,33.3,1019.3,False,48.8,82,0.1
0 days 00:24:11.041000,22.6,33.3,1019.3,False,48.8,82,0.1
0 days 00:25:11.027000,22.6,34.4,1019.3,False,47.4,81,0.3
0 days 00:26:11.054000,22.7,35.6,1019.3,False,47.7,200,0.2
0 days 00:27:11.069000,22.5,33.5,1019.4,False,47.7,128,0.4
0 days 00:28:11.073000,22.6,33.5,1019.4,False,47.4,8,0.3
0 days 00:29:11.086000,22.4,33.5,1019.4,False,47.4,8,0.3
0 days 00:30:11.103000,22.3,34.1,1019.3,False,46.6,71,0.1
0 days 00:31:11.119000,22.3,34.8,1019.4,False,46.3,38,0.1
0 days 00:32:11.133000,22.1,35.2,1019.4,False,46.7,215,0.2
0 days 00:33:11.147000,22.3,35.4,1019.4,False,46.8,330,0.2
0 days 00:34:11.152000,22.2,36.3,1019.4,False,46.8,168,0.2
0 days 00:35:11.162000,22.0,36.5,1019.4,False,46.8,77,0.5
0 days 00:36:11.189000,22.0,38.3,1019.4,False,47.0,280,0.3
0 days 00:37:11.176000,21.7,36.6,1019.5,False,47.0,354,0.1
0 days 00:38:11.196000,21.9,36.8,1019.4,False,47.5,59,0.1
0 days 00:39:11.195000,22.0,36.7,1019.4,False,47.6,279,0.1
0 days 00:40:11.195000,21.9,36.7,1019.4,False,47.6,279,0.1
