Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:30.880000,18.1,78.4,1022.6,False,21.3,57,0.6
0 days 00:01:30.880000,18.1,77.9,1022.6,False,20.7,48,0.6
0 days 00:02:30.907000,18.1,78.1,1022.6,False,20.4,41,0.4
0 days 00:03:30.897000,18.2,78.4,1022.5,False,20.2,36,0.6
0 days 00:04:30.897000,18.1,78.4,1022.6,False,20.1,45,0.5
0 days 00:05:30.896000,18.2,79.0,1022.6,False,20.1,48,0.4
0 days 00:06:30.896000,18.2,78.6,1022.5,False,21.0,40,0.6
0 days 00:07:30.920000,18.2,78.1,1022.5,False,21.5,50,0.6
0 days 00:08:30.927000,18.2,77.9,1022.6,False,21.9,60,0.6
0 days 00:09:30.930000,18.2,77.1,1022.5,False,22.6,38,0.5
0 days 00:10:30.951000,18.2,75.8,1022.6,False,22.7,31,0.5
0 days 00:11:30.949000,18.1,75.7,1022.6,False,22.7,15,0.5
0 days 00:12:30.961000,18.0,75.9,1022.6,False,22.7,67,0.5
0 days 00:13:30.976000,18.0,75.5,1022.5,False,22.7,65,0.7
0 days 00:14:30.992000,18.1,76.5,1022.6,False,23.1,51,0.6
0 days 00:15:31.007000,18.0,76.0,1022.5,False,23.1,46,0.4
0 days 00:16:31.007000,18.2,76.5,1022.6,False,23.1,49,0.5
0 days 00:17:31.012000,18.4,75.8,1022.6,False,23.5,69,0.5
0 days 00:18:31.010000,18.5,75.9,1022.5,False,23.7,30,0.5
0 days 00:19:38.227000,18.5,75.5,1022.5,False,23.7,43,0.8
0 days 00:20:31.009000,18.5,74.9,1022.5,False,23.8,60,0.3
0 days 00:21:31.008000,18.6,74.9,1022.4,False,24.1,278,0.5
0 days 00:22:31.023000,18.7,73.5,1022.5,False,24.9,11,0.3
0 days 00:23:31.013000,18.8,71.5,1022.5,False,25.1,4,0.3
0 days 00:24:31.012000,18.9,71.5,1022.5,False,25.1,109,0.3
0 days 00:25:31.030000,18.8,71.2,1022.5,False,25.4,231,0.3
0 days 00:26:31.049000,18.8,71.0,1022.5,False,25.4,250,0.3
0 days 00:27:31.062000,18.8,70.9,1022.5,False,25.7,28,0.3
0 days 00:28:31.071000,18.9,70.3,1022.4,False,25.7,47,0.4
0 days 00:29:31.045000,18.8,70.3,1022.5,False,25.3,56,0.6
0 days 00:30:31.036000,18.7,71.4,1022.5,False,25.2,39,1.0
0 days 00:31:31.051000,18.6,72.9,1022.5,False,24.5,41,0.8
0 days 00:32:31.067000,18.6,73.8,1022.6,False,24.2,37,0.6
0 days 00:33:31.087000,18.5,74.0,1022.4,False,23.9,68,0.6
0 days 00:36:58.250000,18.5,74.2,1022.4,False,23.9,52,0.6
0 days 00:37:31.101000,18.6,74.2,1022.4,False,23.9,41,0.8
0 days 00:38:31.104000,18.5,73.6,1022.5,False,23.9,38,0.6
0 days 00:39:31.094000,18.7,72.8,1022.4,False,24.8,67,0.7
0 days 00:40:31.110000,18.7,73.6,1022.4,False,25.2,51,0.6
0 days 00:41:31.119000,18.7,72.5,1022.4,False,25.3,32,0.6
0 days 01:06:02.272000,18.7,72.2,1022.3,False,25.5,29,0.9
0 days 01:06:31.130000,18.7,72.2,1022.3,False,25.5,29,0.9
0 days 01:07:31.138000,18.5,71.7,1022.3,False,28.4,62,0.7
0 days 01:08:31.128000,19.0,70.0,1022.3,False,28.4,36,0.6
0 days 01:09:31.144000,19.1,70.6,1022.3,False,28.4,42,0.8
0 days 01:10:31.131000,19.2,70.5,1022.2,False,28.8,37,0.6
0 days 01:11:31.150000,19.2,70.0,1022.2,False,28.8,57,0.6
0 days 01:12:31.168000,19.2,70.1,1022.2,False,28.9,32,0.7
0 days 01:13:31.184000,19.2,68.8,1022.2,False,28.9,43,0.8
0 days 01:14:31.203000,19.1,68.9,1022.1,False,29.3,46,0.5
0 days 01:15:31.214000,19.1,68.1,1022.2,False,29.3,0,0.5
0 days 01:16:31.231000,19.1,68.2,1022.2,False,29.3,256,0.4
0 days 01:17:31.248000,19.2,68.3,1022.2,False,29.6,63,0.3
0 days 01:18:31.248000,19.2,68.5,1022.2,False,29.9,62,0.3
0 days 01:19:31.247000,19.3,67.7,1022.2,False,29.9,75,0.7
0 days 01:20:31.291000,19.3,68.7,1022.2,False,29.6,72,0.5
