Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:36.229000,18.6,64.2,1019.1,False,35.1,60,0.5
0 days 00:01:36.239000,18.6,64.1,1019.0,False,35.2,31,0.8
0 days 00:02:36.229000,18.7,63.6,1019.0,False,35.2,53,0.6
0 days 00:03:36.233000,18.6,63.8,1019.0,False,35.3,28,0.7
0 days 00:04:36.243000,18.6,63.4,1019.0,False,35.3,32,0.8
0 days 00:05:36.229000,18.5,63.3,1019.0,False,35.3,327,0.6
0 days 00:06:36.232000,18.5,62.8,1019.1,False,35.4,0,0.4
0 days 00:07:36.236000,18.7,62.8,1019.1,False,35.3,46,0.3
0 days 00:08:36.231000,18.7,62.7,1019.0,False,35.2,68,0.9
0 days 00:09:36.238000,18.6,63.0,1019.0,False,35.0,53,0.8
0 days 00:10:36.245000,18.6,62.6,1019.0,False,35.3,60,0.8
0 days 00:11:36.247000,18.6,63.3,1019.0,False,34.8,52,0.7
0 days 00:12:36.261000,18.6,64.4,1019.0,False,34.8,319,0.5
0 days 00:13:36.263000,18.7,63.8,1019.1,False,35.2,317,0.3
0 days 00:14:36.261000,18.9,63.2,1019.0,False,35.4,325,0.3
0 days 00:15:36.265000,19.0,62.4,1019.0,False,35.5,30,0.5
0 days 00:16:36.278000,18.9,62.3,1019.1,False,35.3,36,0.9
0 days 00:17:36.295000,18.8,63.0,1019.0,False,35.2,24,0.7
0 days 00:18:36.311000,18.9,63.4,1018.9,False,35.0,45,0.8
0 days 00:19:36.323000,18.8,63.3,1019.0,False,35.1,26,0.8
0 days 00:20:36.319000,18.9,63.6,1018.9,False,35.2,54,0.7
0 days 00:21:36.313000,18.9,62.3,1019.1,False,35.2,66,1.0
0 days 00:22:36.327000,18.8,63.3,1019.0,False,35.2,42,0.7
0 days 00:23:36.326000,18.8,63.5,1019.1,False,35.1,0,0.3
0 days 00:24:36.326000,18.9,63.1,1019.0,False,35.4,42,0.2
0 days 00:25:36.353000,19.0,61.9,1019.0,False,35.5,29,0.5
0 days 00:26:36.321000,19.0,60.6,1019.0,False,35.8,39,0.3
0 days 00:27:36.348000,19.0,60.8,1019.0,False,35.5,109,0.4
0 days 00:28:36.345000,19.1,61.3,1019.0,False,35.4,68,0.5
0 days 00:29:36.357000,19.1,61.4,1019.1,False,35.4,55,0.6
0 days 00:30:36.355000,19.1,61.0,1018.9,False,35.5,322,0.5
0 days 00:31:36.352000,19.0,60.6,1018.9,False,35.5,56,0.6
0 days 00:32:36.395000,19.1,60.9,1018.9,False,35.5,52,0.8
