Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:30.891000,27.0,37.0,995.8,False,40.9,218,0.2
0 days 00:01:30.891000,27.1,36.9,995.7,False,40.9,144,0.1
0 days 00:02:30.899000,27.1,37.1,995.7,False,40.9,168,0.3
0 days 00:03:30.889000,27.1,36.8,995.7,False,40.9,180,0.5
0 days 00:04:30.895000,27.2,36.1,995.7,False,41.1,317,0.2
0 days 00:05:30.894000,27.1,35.7,995.8,False,41.2,274,0.4
0 days 00:06:30.909000,27.0,36.6,995.8,False,40.9,119,0.1
0 days 00:07:30.925000,27.0,37.0,995.8,False,40.3,53,0.2
0 days 00:08:30.939000,27.1,37.7,995.8,False,40.3,42,0.3
0 days 00:09:30.940000,27.2,37.2,995.8,False,40.5,172,0.0
0 days 00:10:30.958000,27.3,36.3,995.8,False,40.5,3,0.2
0 days 00:11:30.989000,27.6,36.5,995.7,False,40.4,193,0.2
0 days 00:12:31,27.8,35.0,995.8,False,40.1,192,0.2
0 days 00:13:31.002000,27.7,35.5,995.7,False,40.0,200,0.4
0 days 00:14:31.017000,27.4,35.7,995.7,False,39.5,182,0.3
0 days 00:15:31.018000,27.3,35.7,995.7,False,39.5,160,0.3
0 days 00:16:31.017000,27.1,36.0,995.7,False,39.4,148,0.8
0 days 00:17:31.032000,27.1,36.4,995.8,False,39.5,152,0.5
0 days 00:18:31.075000,27.0,36.9,995.7,False,39.3,165,0.4
0 days 00:19:31.073000,27.0,36.8,995.8,False,39.1,174,0.5
0 days 00:20:31.085000,27.0,36.5,995.8,False,39.0,192,0.5
0 days 00:21:31.082000,27.2,36.2,995.7,False,38.7,149,0.5
0 days 00:22:31.114000,27.2,35.8,995.7,False,38.7,177,0.3
0 days 00:23:31.109000,27.3,35.7,995.7,False,38.7,155,0.4
0 days 00:24:31.110000,27.4,36.4,995.7,False,38.5,184,0.5
0 days 00:25:31.111000,27.4,36.4,995.7,False,38.4,138,0.6
0 days 00:26:31.110000,27.2,37.1,995.7,False,38.4,183,0.5
0 days 00:27:31.117000,27.3,37.1,995.7,False,38.3,135,0.4
0 days 00:28:31.112000,27.3,37.5,995.7,False,38.4,167,0.3
0 days 00:29:31.111000,27.3,37.1,995.6,False,38.4,190,0.3
0 days 00:30:31.130000,27.4,36.2,995.7,False,38.4,188,0.6
0 days 00:31:31.141000,27.4,36.2,995.7,False,38.4,188,0.6
0 days 00:32:31.141000,27.3,36.2,995.7,False,38.0,193,0.4
0 days 00:33:31.143000,27.4,36.1,995.7,False,37.8,158,0.2
0 days 00:34:31.144000,27.3,36.1,995.7,False,37.9,176,0.3
0 days 00:35:31.142000,27.3,36.1,995.7,False,37.9,176,0.3
0 days 00:36:31.145000,27.2,36.5,995.7,False,37.2,174,0.2
0 days 00:37:31.143000,27.3,36.4,995.7,False,37.2,123,0.2
0 days 00:38:31.174000,27.4,36.4,995.7,False,37.2,123,0.2
0 days 00:39:31.165000,27.2,37.3,995.7,False,37.6,177,0.3
0 days 00:40:31.144000,27.1,37.3,995.7,False,37.6,177,0.3
0 days 00:41:31.143000,27.2,37.0,995.7,False,37.5,182,0.2
0 days 00:42:31.143000,27.2,37.0,995.7,False,37.5,182,0.2
0 days 00:43:31.144000,27.1,37.2,995.7,False,37.2,150,0.3
0 days 00:44:31.145000,27.1,37.2,995.7,False,37.2,150,0.3
0 days 00:45:31.147000,27.2,37.7,995.6,False,37.7,193,0.3
0 days 00:46:31.152000,27.2,37.1,995.5,False,37.7,44,0.2
0 days 00:47:31.182000,27.2,37.1,995.5,False,37.7,44,0.2
