Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:12.447000,18.7,43.8,1000.8,False,38.0,11,1.2
0 days 00:01:12.445000,18.7,43.4,1000.7,False,38.0,17,0.8
0 days 00:02:12.447000,18.9,43.2,1000.7,False,38.1,9,0.8
0 days 00:03:12.445000,19.1,42.9,1000.8,False,38.0,19,1.0
0 days 00:04:12.448000,19.1,43.8,1000.7,False,37.9,355,0.7
0 days 00:05:12.446000,19.0,44.0,1000.8,False,37.9,30,0.7
0 days 00:06:12.447000,19.1,44.6,1000.8,False,38.6,64,1.0
0 days 00:07:12.446000,19.1,44.9,1000.7,False,38.7,20,0.7
0 days 00:08:12.447000,19.0,44.6,1000.6,False,38.6,296,0.5
0 days 00:09:12.449000,18.9,45.0,1000.7,False,37.7,26,0.5
0 days 00:10:12.449000,18.8,45.2,1000.7,False,37.7,5,0.4
0 days 00:11:12.446000,19.0,44.6,1000.6,False,38.5,28,0.6
0 days 00:12:12.446000,19.2,44.0,1000.6,False,38.9,66,0.6
0 days 00:13:12.451000,19.3,44.0,1000.7,False,39.2,9,0.5
0 days 00:14:12.446000,19.3,42.8,1000.7,False,39.6,26,0.8
0 days 00:15:12.446000,19.2,43.5,1000.7,False,39.6,17,0.8
0 days 00:16:12.445000,19.1,43.7,1000.6,False,39.1,13,0.8
0 days 00:17:12.461000,19.2,43.1,1000.8,False,39.1,40,0.9
0 days 00:18:12.479000,19.0,44.3,1000.6,False,39.0,20,0.7
0 days 00:19:12.493000,19.0,44.6,1000.6,False,39.0,43,0.9
0 days 00:20:12.495000,19.0,44.5,1000.7,False,39.2,350,0.9
0 days 00:21:12.511000,19.0,44.0,1000.6,False,39.2,357,0.9
0 days 00:22:12.525000,19.0,44.5,1000.8,False,39.2,11,0.8
0 days 00:23:12.550000,19.1,44.0,1000.8,False,39.2,33,0.8
0 days 00:24:12.548000,19.2,43.3,1000.7,False,39.1,359,1.1
0 days 00:25:12.547000,19.2,43.2,1000.7,False,39.1,26,1.0
0 days 00:26:12.540000,19.0,43.7,1000.8,False,39.2,18,1.1
0 days 00:27:12.538000,19.0,44.0,1000.9,False,39.1,353,0.8
0 days 00:28:12.545000,18.9,42.9,1000.9,False,39.0,2,0.7
0 days 00:29:12.538000,19.1,41.8,1000.8,False,39.3,27,0.8
0 days 00:30:12.542000,19.0,42.5,1000.9,False,39.4,11,1.0
