Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:40.308000,16.6,48.1,1006.6,False,28.0,5,0.8
0 days 00:01:40.323000,16.7,47.5,1006.5,False,28.1,23,0.7
0 days 00:02:40.335000,16.6,47.5,1006.5,False,28.1,23,0.7
0 days 00:03:40.342000,16.6,48.5,1006.5,False,29.0,41,0.4
0 days 00:04:40.350000,16.7,48.6,1006.5,False,29.0,314,0.3
0 days 00:05:40.333000,16.7,48.1,1006.4,False,29.3,12,0.1
0 days 00:06:40.361000,16.7,46.2,1006.5,False,30.2,0,0.5
0 days 00:07:40.355000,16.8,46.6,1006.4,False,30.3,346,0.6
0 days 00:08:40.375000,16.7,47.2,1006.2,False,30.3,7,0.4
0 days 00:09:40.426000,16.6,47.6,1006.3,False,29.6,17,0.4
0 days 00:10:40.359000,16.6,47.6,1006.3,False,29.6,17,0.4
0 days 00:11:40.355000,16.6,47.4,1006.4,False,29.1,21,0.5
0 days 00:12:40.359000,16.9,45.8,1006.5,False,28.9,19,0.6
0 days 00:13:40.356000,16.8,45.7,1006.5,False,28.9,20,0.7
0 days 00:14:40.366000,16.9,46.4,1006.5,False,28.9,30,0.6
0 days 00:15:40.358000,16.7,46.8,1006.4,False,28.8,7,0.8
0 days 00:16:40.359000,16.6,46.7,1006.5,False,28.7,15,0.5
0 days 00:17:40.366000,16.5,45.5,1006.4,False,28.8,333,0.5
0 days 00:18:40.376000,16.7,44.6,1006.4,False,29.0,53,0.5
0 days 00:19:40.365000,16.8,45.6,1006.4,False,29.4,23,0.5
0 days 00:20:40.366000,16.8,45.2,1006.4,False,29.4,25,0.8
0 days 00:21:40.362000,16.7,45.2,1006.5,False,29.7,36,0.6
0 days 00:22:40.387000,16.6,45.3,1006.2,False,29.7,58,0.9
0 days 00:23:40.360000,16.5,46.0,1006.4,False,29.7,357,0.7
0 days 00:24:40.355000,16.6,45.9,1006.3,False,29.7,24,0.5
0 days 00:25:40.377000,16.7,46.1,1006.3,False,29.7,13,0.7
0 days 00:26:40.376000,16.9,46.3,1006.4,False,30.0,37,0.8
0 days 00:27:40.390000,17.0,46.5,1006.4,False,30.3,0,0.7
0 days 00:28:40.358000,17.0,46.8,1006.3,False,30.3,22,0.7
0 days 00:29:40.373000,16.9,46.8,1006.4,False,29.3,31,1.0
0 days 00:30:40.436000,16.8,47.4,1006.3,False,29.1,347,0.5
0 days 00:31:40.389000,16.8,46.4,1006.3,False,28.9,17,0.5
0 days 00:32:40.401000,16.9,47.0,1006.3,False,28.9,9,0.5
0 days 00:33:40.378000,16.8,47.1,1006.3,False,29.0,5,0.8
0 days 00:34:40.406000,16.7,47.3,1006.2,False,29.0,11,0.7
0 days 00:35:40.457000,16.8,46.6,1006.2,False,28.6,26,0.7
0 days 00:36:40.376000,16.9,46.6,1006.3,False,28.3,33,0.8
0 days 00:37:40.365000,17.0,47.3,1006.2,False,28.2,1,0.6
0 days 00:38:40.380000,16.9,47.1,1006.3,False,28.2,42,0.6
0 days 00:39:40.381000,16.9,47.9,1006.2,False,28.4,9,0.7
0 days 00:40:40.366000,16.9,47.9,1006.2,False,28.8,47,0.5
0 days 00:41:40.382000,16.8,47.6,1006.2,False,28.9,22,0.5
0 days 00:42:40.388000,16.9,47.8,1006.1,False,29.4,358,0.5
0 days 00:43:40.386000,16.9,47.5,1006.2,False,29.5,341,0.4
0 days 00:44:40.419000,16.9,47.5,1006.2,False,29.4,352,0.6
0 days 00:45:40.372000,16.9,47.8,1006.2,False,29.2,22,0.3
0 days 00:46:40.382000,17.0,45.5,1006.1,False,29.2,16,0.9
0 days 00:47:40.389000,16.9,43.8,1006.1,False,29.4,15,0.5
0 days 00:48:40.386000,17.0,44.9,1006.2,False,29.9,6,0.5
0 days 00:49:40.375000,16.9,45.4,1006.1,False,30.3,343,0.3
0 days 00:50:40.388000,16.9,45.2,1006.2,False,30.6,45,0.3
0 days 00:51:40.390000,16.9,45.3,1006.0,False,30.7,12,0.3
0 days 00:52:40.372000,17.0,45.4,1006.1,False,30.8,346,0.3
0 days 00:53:40.371000,17.2,45.3,1006.1,False,31.7,39,0.6
0 days 00:54:40.373000,17.3,45.6,1005.9,False,32.3,24,0.4
0 days 00:55:40.384000,17.4,45.3,1005.9,False,32.6,27,0.5
0 days 00:56:40.422000,17.5,45.6,1006.0,False,32.6,6,0.6
0 days 00:57:40.412000,17.5,46.1,1005.9,False,32.9,13,0.6
0 days 00:58:40.396000,17.5,44.3,1005.8,False,33.5,347,0.6
0 days 00:59:40.379000,17.8,42.6,1006.0,False,34.3,41,0.8
0 days 01:00:40.388000,18.1,43.9,1005.9,False,34.6,9,1.4
0 days 01:01:40.386000,17.9,44.7,1006.1,False,35.0,30,1.1
0 days 01:02:40.381000,17.8,45.0,1005.9,False,35.2,26,0.8
0 days 01:03:40.395000,17.7,45.8,1006.0,False,34.9,0,1.0
0 days 01:04:40.368000,17.6,46.1,1006.1,False,34.5,353,0.7
0 days 01:05:40.366000,17.7,46.3,1005.9,False,34.0,43,0.8
0 days 01:06:40.382000,17.6,46.1,1006.0,False,34.3,353,0.5
0 days 01:07:40.363000,17.5,46.2,1006.0,False,34.8,5,0.7
0 days 01:08:40.375000,17.7,45.8,1006.1,False,35.2,15,0.6
0 days 01:09:40.371000,17.8,45.9,1006.1,False,34.9,0,0.6
0 days 01:10:40.377000,17.8,46.5,1006.0,False,34.6,19,0.6
0 days 01:11:40.362000,17.7,47.2,1005.9,False,34.6,342,0.7
0 days 01:12:40.376000,17.5,46.7,1005.9,False,35.0,4,0.5
0 days 01:13:40.453000,17.5,46.2,1005.9,False,35.9,8,0.8
0 days 01:14:40.484000,17.8,45.5,1006.0,False,36.0,348,0.6
0 days 01:15:40.373000,17.9,43.2,1006.0,False,36.3,20,0.7
0 days 01:16:40.389000,18.1,43.2,1006.0,False,36.4,353,0.8
0 days 01:17:40.363000,18.0,44.6,1006.0,False,35.1,351,0.6
0 days 01:18:40.362000,17.8,44.8,1006.1,False,34.2,346,0.9
0 days 01:19:40.381000,17.8,43.4,1006.0,False,34.2,37,0.7
