Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:04.020000,19.5,38.7,1005.4,False,38.5,348,0.8
0 days 00:01:04.020000,19.4,38.0,1005.4,False,38.4,341,1.1
0 days 00:02:04.021000,19.4,38.6,1005.4,False,38.4,16,1.0
0 days 00:03:04.022000,19.2,38.4,1005.4,False,38.4,12,1.0
0 days 00:04:04.020000,19.3,38.2,1005.3,False,38.8,358,0.8
0 days 00:05:04.020000,19.3,38.5,1005.5,False,38.7,13,0.9
0 days 00:06:04.021000,19.5,39.2,1005.5,False,38.7,25,0.8
0 days 00:07:04.017000,19.3,39.5,1005.4,False,38.9,353,0.4
0 days 00:08:04.023000,19.1,39.7,1005.4,False,39.0,348,0.5
0 days 00:09:04.018000,19.2,39.4,1005.4,False,39.4,3,0.6
0 days 00:10:04.021000,19.2,38.5,1005.3,False,39.4,10,0.8
0 days 00:11:04.020000,19.3,38.1,1005.4,False,39.1,349,0.8
0 days 00:12:04.021000,19.3,37.8,1005.3,False,38.7,12,1.2
0 days 00:13:04.019000,19.4,37.5,1005.3,False,38.7,3,1.0
0 days 00:14:04.020000,19.4,37.5,1005.3,False,38.7,3,1.0
0 days 00:15:04.022000,19.4,37.5,1005.3,False,38.7,10,0.6
0 days 00:16:04.019000,19.5,37.7,1005.3,False,39.0,4,0.5
0 days 00:17:04.020000,19.5,38.1,1005.2,False,39.2,7,0.7
0 days 00:18:04.020000,19.5,38.6,1005.1,False,39.3,352,0.8
0 days 00:19:04.019000,19.6,38.3,1005.0,False,39.4,343,1.0
0 days 00:20:04.035000,19.6,38.4,1005.1,False,39.6,349,0.9
0 days 00:21:04.035000,19.7,38.4,1005.1,False,39.7,352,1.0
0 days 00:22:04.035000,19.8,37.3,1005.2,False,39.8,350,0.8
0 days 00:23:04.049000,20.0,37.8,1005.0,False,40.3,347,1.3
0 days 00:24:04.068000,19.9,38.3,1005.1,False,40.3,351,0.6
0 days 00:25:04.066000,19.8,38.3,1005.0,False,40.3,346,1.1
0 days 00:26:04.081000,19.8,37.8,1005.1,False,40.3,342,1.1
0 days 00:27:04.115000,19.9,38.0,1005.1,False,40.6,343,1.2
0 days 00:28:04.117000,19.7,39.1,1005.1,False,40.1,353,1.0
0 days 00:29:04.134000,19.6,38.9,1005.1,False,40.1,20,0.7
0 days 00:30:04.130000,19.7,39.0,1005.0,False,40.6,13,0.7
0 days 00:31:04.146000,19.8,39.1,1005.1,False,40.6,346,0.9
0 days 00:32:04.146000,19.7,38.7,1005.0,False,40.5,20,1.1
0 days 00:33:04.144000,19.7,38.9,1005.1,False,40.3,23,0.9
0 days 00:34:04.143000,19.8,39.3,1004.9,False,40.4,1,0.6
0 days 00:35:04.144000,19.9,39.4,1005.1,False,40.5,13,0.6
0 days 00:36:04.145000,19.8,38.4,1005.1,False,40.4,354,1.1
0 days 00:37:04.145000,20.0,38.2,1005.0,False,40.1,8,1.0
0 days 00:38:04.155000,20.0,37.9,1004.9,False,40.0,8,1.0
0 days 00:39:04.146000,19.9,38.1,1005.1,False,39.6,351,1.1
0 days 00:40:04.145000,19.7,39.2,1005.0,False,39.5,8,0.6
0 days 00:41:04.146000,19.7,39.2,1004.9,False,39.8,348,0.5
0 days 00:42:04.146000,19.9,38.6,1005.0,False,40.0,349,1.4
0 days 00:43:04.143000,19.8,39.2,1005.0,False,39.7,5,0.8
0 days 00:44:04.144000,19.7,39.0,1004.9,False,39.7,345,0.8
0 days 00:45:04.145000,19.8,39.2,1005.0,False,39.7,13,1.3
0 days 00:46:04.146000,19.7,38.5,1004.9,False,39.7,6,1.0
0 days 00:47:04.176000,19.8,38.7,1005.0,False,39.7,349,1.2
0 days 00:48:04.144000,19.7,39.2,1004.9,False,39.4,108,1.2
0 days 00:49:04.136000,19.5,39.4,1005.0,False,39.2,4,0.5
0 days 00:50:04.150000,19.4,38.8,1005.0,False,39.2,345,0.7
0 days 00:51:04.144000,19.4,38.0,1005.0,False,39.7,34,1.0
0 days 00:52:04.143000,19.6,38.3,1005.0,False,40.2,14,0.8
0 days 00:53:04.152000,19.5,38.8,1005.1,False,40.5,19,0.7
0 days 00:54:04.146000,19.7,39.1,1005.0,False,40.5,21,0.8
0 days 00:55:04.145000,19.7,39.3,1005.0,False,39.7,350,0.8
0 days 00:56:04.145000,19.4,38.4,1005.0,False,39.7,37,0.7
0 days 00:57:04.144000,19.5,38.7,1004.9,False,39.2,45,1.0
0 days 00:58:04.150000,19.5,39.0,1004.9,False,39.2,339,1.0
0 days 00:59:04.147000,19.5,39.0,1004.9,False,39.2,339,1.0
0 days 01:00:04.150000,19.4,38.5,1004.9,False,39.5,340,0.8
0 days 01:01:04.145000,19.5,38.2,1005.0,False,39.7,347,0.8
