Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:25.697000,26.6,59.5,982.3,False,49.3,273,0.3
0 days 00:01:25.706000,26.8,59.3,982.3,False,49.4,262,0.3
0 days 00:02:25.720000,26.8,58.9,982.3,False,49.7,293,0.3
0 days 00:03:25.734000,26.9,58.4,982.3,False,49.7,286,0.5
0 days 00:04:25.736000,26.9,59.1,982.3,False,50.1,275,0.4
0 days 00:05:25.740000,26.8,58.1,982.3,False,50.4,269,0.3
0 days 00:06:25.735000,26.8,57.8,982.3,False,50.4,335,0.4
0 days 00:07:25.736000,26.8,59.0,982.3,False,50.6,301,0.2
0 days 00:08:25.752000,26.8,59.0,982.3,False,50.6,301,0.2
0 days 00:09:25.774000,26.9,59.3,982.3,False,50.5,35,0.5
0 days 00:10:25.783000,26.9,59.8,982.2,False,49.9,70,0.1
0 days 00:11:25.800000,26.9,60.1,982.2,False,49.9,153,0.2
0 days 00:12:25.800000,26.9,60.0,982.3,False,50.8,210,0.2
0 days 00:13:25.814000,27.0,58.6,982.3,False,50.9,306,0.3
0 days 00:14:25.817000,27.0,57.7,982.3,False,51.9,295,0.6
0 days 00:15:25.813000,26.8,57.9,982.2,False,52.2,306,0.5
0 days 00:16:25.816000,26.8,58.2,982.4,False,51.5,300,0.4
0 days 00:17:25.817000,26.9,57.0,982.4,False,51.5,290,0.7
0 days 00:18:25.838000,26.9,58.1,982.4,False,52.2,311,0.7
0 days 00:19:25.815000,26.9,58.3,982.4,False,52.1,305,0.7
0 days 00:20:25.815000,26.8,58.3,982.4,False,52.5,292,0.3
0 days 00:21:25.821000,27.0,58.0,982.4,False,52.8,298,0.6
0 days 00:22:25.815000,27.0,57.4,982.4,False,53.4,303,0.6
0 days 00:23:25.814000,27.1,57.4,982.5,False,53.9,283,0.5
0 days 00:24:25.814000,27.1,57.1,982.4,False,54.0,271,0.5
0 days 00:25:25.815000,27.1,57.1,982.5,False,54.2,299,0.5
0 days 00:26:25.816000,27.1,57.2,982.5,False,54.3,303,0.6
0 days 00:27:25.815000,27.3,55.4,982.5,False,55.1,285,0.7
0 days 00:28:25.814000,27.3,57.3,982.4,False,55.1,278,0.8
0 days 00:29:25.815000,27.1,57.8,982.4,False,52.7,315,0.5
0 days 00:30:25.816000,27.1,58.6,982.4,False,54.2,2,0.8
0 days 00:31:25.815000,27.2,59.2,982.5,False,54.3,284,0.5
0 days 00:32:25.831000,27.2,59.0,982.4,False,54.3,310,0.4
0 days 00:33:25.882000,27.2,59.6,982.3,False,53.6,271,0.2
0 days 00:34:25.861000,27.2,58.4,982.4,False,53.6,242,0.4
0 days 00:35:25.864000,27.3,58.8,982.3,False,56.1,248,0.4
0 days 00:36:25.870000,27.3,58.2,982.3,False,56.1,244,0.4
0 days 00:37:25.864000,27.3,57.5,982.3,False,56.1,0,0.1
0 days 00:38:25.865000,27.4,57.5,982.4,False,56.9,144,0.2
0 days 00:39:25.881000,27.4,57.7,982.4,False,56.9,160,0.6
0 days 00:40:25.894000,27.3,56.5,982.5,False,58.8,265,0.4
0 days 00:41:25.909000,27.2,54.8,982.5,False,59.2,273,0.4
0 days 00:42:25.909000,27.1,55.5,982.4,False,58.5,245,0.6
0 days 00:43:25.910000,27.1,56.6,982.4,False,57.9,273,0.5
0 days 00:44:25.926000,27.1,57.0,982.5,False,57.9,286,0.6
0 days 00:45:25.928000,27.3,56.4,982.4,False,58.2,316,0.7
0 days 00:46:25.941000,27.3,56.9,982.3,False,58.4,285,0.7
0 days 00:47:25.942000,27.7,58.2,982.5,False,58.3,285,0.3
0 days 00:48:25.943000,27.7,56.8,982.4,False,59.8,311,0.6
0 days 00:49:25.946000,27.7,56.7,982.5,False,60.3,278,0.7
0 days 00:50:25.941000,27.8,57.2,982.5,False,60.1,194,0.2
0 days 00:51:25.942000,27.6,57.1,982.4,False,59.8,170,0.5
0 days 00:52:25.931000,27.5,58.9,982.4,False,58.0,291,0.4
0 days 00:53:25.967000,27.4,59.0,982.5,False,56.7,238,0.5
0 days 00:54:25.969000,27.3,59.3,982.4,False,56.7,258,0.4
0 days 00:55:25.958000,27.3,59.3,982.4,False,56.7,258,0.4
0 days 00:56:25.961000,27.2,59.4,982.4,False,55.4,339,0.4
0 days 00:57:25.958000,27.2,59.3,982.4,False,53.6,279,0.6
0 days 00:58:25.988000,27.1,59.3,982.4,False,53.6,279,0.6
0 days 00:59:25.975000,27.1,56.0,982.4,False,56.1,277,0.4
0 days 01:00:25.990000,27.0,56.0,982.4,False,56.1,277,0.4
0 days 01:01:25.989000,27.0,55.6,982.3,False,55.1,335,0.3
0 days 01:02:25.995000,27.1,55.6,982.3,False,55.1,335,0.3
0 days 01:03:26.025000,27.1,56.0,982.4,False,52.5,293,0.5
0 days 01:04:26.019000,27.3,56.0,982.4,False,52.5,293,0.5
0 days 01:05:26.034000,27.2,55.4,982.5,False,51.2,278,0.4
0 days 01:06:26.051000,27.1,55.4,982.5,False,51.2,278,0.4
0 days 01:07:26.055000,27.1,53.5,982.4,False,53.0,328,0.5
0 days 01:08:26.070000,27.5,53.5,982.4,False,53.0,328,0.5
0 days 01:09:26.068000,27.5,53.2,982.4,False,55.6,303,0.6
0 days 01:10:26.066000,27.8,52.5,982.3,False,55.6,298,0.6
0 days 01:11:26.066000,28.1,51.0,982.3,False,55.6,319,0.7
0 days 01:12:26.067000,28.1,51.0,982.3,False,55.6,319,0.7
0 days 01:13:26.072000,27.9,53.3,982.3,False,53.2,268,0.4
0 days 01:14:26.067000,27.7,53.3,982.3,False,53.2,268,0.4
0 days 01:15:26.073000,27.6,52.1,982.3,False,52.1,294,0.5
0 days 01:16:26.073000,27.6,52.1,982.3,False,52.1,294,0.5
0 days 01:17:26.065000,27.7,50.0,982.4,False,50.9,296,0.3
0 days 01:18:26.066000,27.7,50.6,982.3,False,51.2,282,0.5
