Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:24.530000,29.1,45.4,982.2,False,59.7,281,0.9
0 days 00:01:24.530000,29.1,45.4,982.3,False,59.4,289,0.9
0 days 00:02:24.533000,29.0,44.8,982.3,False,59.4,283,0.9
0 days 00:03:24.529000,29.0,45.2,982.4,False,58.8,295,0.6
0 days 00:04:24.529000,29.1,46.2,982.3,False,58.2,236,0.4
0 days 00:05:24.529000,29.1,47.3,982.4,False,58.8,275,0.2
0 days 00:06:24.531000,29.0,47.6,982.3,False,59.7,275,0.6
0 days 00:07:24.530000,29.1,47.5,982.4,False,59.7,281,0.6
0 days 00:08:24.546000,29.1,47.5,982.4,False,60.2,285,0.8
0 days 00:09:24.562000,29.0,47.0,982.5,False,60.2,284,0.7
0 days 00:10:24.534000,29.0,48.4,982.4,False,59.2,307,0.8
0 days 00:11:24.534000,28.9,48.7,982.5,False,58.9,297,0.6
0 days 00:12:24.528000,28.9,49.1,982.4,False,59.8,282,0.7
0 days 00:13:24.531000,29.0,47.2,982.5,False,61.0,284,0.7
0 days 00:14:24.531000,29.0,47.3,982.5,False,59.8,300,0.6
0 days 00:15:24.531000,28.9,47.5,982.4,False,59.1,306,0.5
0 days 00:16:24.530000,29.0,47.8,982.5,False,58.9,285,0.6
0 days 00:17:24.543000,29.0,46.9,982.5,False,60.4,289,0.9
0 days 00:18:24.530000,29.1,47.3,982.6,False,58.8,291,0.9
0 days 00:19:24.529000,29.0,48.2,982.5,False,58.8,247,0.5
0 days 00:20:24.530000,29.1,48.4,982.5,False,58.2,289,0.4
0 days 00:21:24.532000,29.1,48.5,982.5,False,59.6,322,0.6
0 days 00:22:24.530000,29.1,48.5,982.5,False,59.9,286,0.8
0 days 00:23:24.529000,29.1,49.1,982.6,False,60.8,297,0.8
0 days 00:24:24.531000,29.2,47.1,982.6,False,60.8,282,0.8
0 days 00:25:24.530000,29.2,47.0,982.6,False,57.6,286,0.9
