Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:31.224000,29.1,55.5,978.6,False,47.0,82,0.9
0 days 00:01:31.223000,29.0,55.2,978.6,False,47.0,96,0.8
0 days 00:02:31.224000,29.0,55.2,978.7,False,47.2,99,0.8
0 days 00:03:31.230000,28.9,55.5,978.5,False,47.2,83,0.6
0 days 00:04:31.227000,28.9,55.5,978.6,False,46.7,100,0.8
0 days 00:05:31.240000,28.9,55.7,978.6,False,46.7,79,0.7
0 days 00:06:31.256000,28.9,55.2,978.6,False,45.6,105,0.7
0 days 00:07:31.256000,28.9,54.7,978.6,False,45.6,127,0.6
0 days 00:08:31.273000,28.9,53.8,978.7,False,44.5,94,0.6
0 days 00:09:31.272000,28.9,53.8,978.7,False,44.2,88,0.6
0 days 00:10:31.272000,28.9,54.2,978.8,False,43.6,105,0.6
0 days 00:11:31.271000,28.7,54.5,978.8,False,42.8,91,0.6
0 days 00:12:31.272000,28.7,55.0,978.7,False,42.7,107,0.8
0 days 00:13:31.286000,28.6,53.5,978.8,False,42.8,115,0.7
0 days 00:14:31.299000,28.6,54.5,978.8,False,42.5,130,0.4
0 days 00:15:31.302000,28.6,55.3,978.8,False,42.1,112,0.6
0 days 00:16:31.303000,28.6,55.8,978.7,False,41.9,103,0.5
0 days 00:17:31.320000,28.5,56.1,978.7,False,41.7,99,0.6
0 days 00:18:31.334000,28.5,56.4,978.8,False,41.5,112,0.6
0 days 00:19:31.334000,28.5,56.7,978.7,False,41.7,106,0.5
0 days 00:20:31.335000,28.5,57.1,978.6,False,42.1,89,0.6
0 days 00:21:31.349000,28.4,57.2,978.6,False,42.0,105,0.5
0 days 00:22:31.342000,28.4,57.7,978.5,False,41.5,80,0.4
0 days 00:23:31.367000,28.5,57.3,978.6,False,41.8,74,0.5
0 days 00:24:31.382000,28.5,57.4,978.5,False,41.8,97,0.6
0 days 00:25:31.382000,28.5,56.9,978.5,False,41.7,85,0.5
0 days 00:26:31.396000,28.5,58.1,978.5,False,41.2,100,0.7
0 days 00:27:31.421000,28.4,58.1,978.6,False,41.1,97,0.5
0 days 00:28:31.427000,28.3,58.6,978.7,False,40.6,82,0.4
0 days 00:29:31.565000,28.2,58.5,978.5,False,40.6,95,0.3
0 days 00:30:31.444000,28.2,58.1,978.6,False,40.5,108,0.4
0 days 00:31:31.460000,28.1,58.2,978.6,False,39.3,119,0.5
0 days 00:32:31.460000,28.1,58.3,978.6,False,39.1,129,0.6
0 days 00:33:31.462000,28.1,58.3,978.6,False,39.0,102,0.6
0 days 00:34:31.460000,28.0,59.1,978.6,True,39.0,107,0.5
0 days 00:35:31.458000,27.9,59.7,978.7,True,39.3,135,0.5
0 days 00:36:31.477000,27.9,59.0,978.7,True,39.4,99,0.5
0 days 00:37:31.461000,27.9,60.1,978.7,True,39.6,115,0.4
0 days 00:38:31.459000,28.0,60.0,978.7,True,39.7,103,0.3
0 days 00:39:31.459000,27.9,60.8,978.7,True,39.0,103,0.4
0 days 00:40:31.458000,27.9,63.9,978.8,True,39.0,116,0.3
0 days 00:41:31.459000,27.9,62.3,978.8,True,38.6,84,0.3
0 days 00:42:31.460000,27.8,65.8,978.8,True,38.3,145,0.3
0 days 00:43:31.461000,27.7,63.5,978.8,True,36.6,129,0.2
0 days 00:44:31.460000,27.7,65.5,978.8,True,36.2,96,0.1
0 days 00:45:31.461000,27.7,66.0,978.8,True,35.4,97,0.3
0 days 00:46:31.476000,27.6,66.6,978.7,True,35.4,148,0.2
0 days 00:47:31.475000,27.5,66.3,978.8,True,35.3,147,0.3
0 days 00:48:31.497000,27.5,67.6,978.8,True,34.7,151,0.1
0 days 00:49:31.507000,27.4,65.4,978.8,True,34.7,98,0.3
0 days 00:50:31.506000,27.4,67.0,978.7,True,34.2,110,0.3
0 days 00:51:31.523000,27.2,68.2,978.8,True,34.2,104,0.3
0 days 00:52:31.521000,27.2,71.2,978.8,True,33.8,140,0.2
0 days 00:53:31.540000,27.2,70.5,978.8,True,35.3,130,0.2
0 days 00:54:31.553000,27.2,69.5,978.6,True,34.9,110,0.1
0 days 00:55:31.551000,27.1,68.7,978.7,True,34.9,118,0.2
0 days 00:56:31.575000,27.0,68.6,978.7,True,33.4,155,0.2
0 days 00:57:31.584000,27.0,68.1,978.7,True,33.1,128,0.1
0 days 00:58:31.585000,26.9,68.6,978.7,True,32.6,151,0.1
0 days 00:59:31.591000,26.8,69.5,978.6,True,32.2,83,0.2
0 days 01:00:31.587000,26.8,69.5,978.6,True,32.2,83,0.2
0 days 01:01:31.587000,26.7,72.5,978.6,True,31.5,106,0.1
0 days 01:02:31.586000,26.6,71.3,978.6,True,31.3,85,0.2
0 days 01:03:31.586000,26.6,72.6,978.5,True,31.7,88,0.3
0 days 01:04:31.592000,26.6,71.7,978.3,True,31.9,101,0.5
0 days 01:05:31.600000,26.6,72.4,978.3,True,32.0,86,0.4
0 days 01:06:31.602000,26.6,72.4,978.3,True,32.0,86,0.4
0 days 01:07:31.607000,26.6,75.4,978.3,True,32.8,87,0.4
0 days 01:08:31.600000,26.6,75.1,978.3,True,32.8,91,0.5
0 days 01:09:31.616000,26.6,77.3,978.3,True,32.8,88,0.5
0 days 01:10:31.642000,26.7,74.9,978.3,True,33.3,79,0.5
0 days 01:11:31.634000,26.7,73.8,978.2,True,33.3,115,0.6
0 days 01:12:31.648000,26.6,73.8,978.1,True,33.1,102,0.5
0 days 01:13:31.663000,26.6,73.8,978.1,True,33.1,102,0.5
0 days 01:14:31.680000,26.7,77.7,978.3,True,33.2,122,0.2
0 days 01:15:31.682000,26.7,75.6,978.3,True,33.3,137,0.3
0 days 01:16:31.687000,26.8,76.8,978.2,True,33.3,127,0.3
0 days 01:17:31.682000,26.8,73.9,978.3,True,32.9,145,0.4
0 days 01:18:31.680000,26.7,76.1,978.1,True,32.6,122,0.3
