Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:01.307000,18.7,59.2,1013.4,False,27.5,304,0.8
0 days 00:01:01.307000,18.7,59.1,1013.4,False,27.5,272,0.8
0 days 00:02:01.317000,18.7,58.8,1013.3,False,27.6,278,0.6
0 days 00:03:01.309000,18.7,59.4,1013.3,False,27.5,309,0.8
0 days 00:04:01.309000,18.5,59.6,1013.4,False,27.2,301,0.7
0 days 00:05:01.307000,18.5,59.8,1013.4,False,27.2,288,1.0
0 days 00:06:01.310000,18.6,60.1,1013.2,False,27.1,306,1.2
0 days 00:07:01.307000,18.6,60.0,1013.2,False,27.1,298,1.0
0 days 00:08:01.315000,18.7,59.7,1013.3,False,27.5,304,1.2
0 days 00:09:01.306000,18.7,60.3,1013.4,False,27.5,298,1.2
0 days 00:10:01.309000,18.8,60.4,1013.4,False,27.5,297,0.8
0 days 00:11:01.305000,18.8,60.4,1013.4,False,27.7,322,0.9
0 days 00:12:01.307000,18.8,57.7,1013.3,False,28.4,294,0.5
0 days 00:13:01.308000,18.9,57.2,1013.5,False,28.4,260,0.6
0 days 00:14:01.311000,18.9,56.4,1013.4,False,28.5,298,0.5
0 days 00:15:01.307000,19.1,56.5,1013.5,False,28.5,285,0.7
0 days 00:16:01.314000,19.2,54.8,1013.5,False,28.5,0,0.6
0 days 00:17:01.312000,19.2,54.3,1013.5,False,28.7,310,0.3
0 days 00:18:01.307000,19.2,54.5,1013.6,False,28.8,0,0.7
0 days 00:19:01.310000,19.2,53.1,1013.5,False,29.1,304,0.3
0 days 00:20:01.314000,19.2,53.2,1013.5,False,29.5,291,0.2
0 days 00:21:01.311000,19.3,53.3,1013.5,False,29.7,274,0.6
0 days 00:22:01.307000,19.3,52.3,1013.6,False,29.7,284,0.5
0 days 00:23:01.309000,19.3,51.2,1013.5,False,29.7,288,0.6
0 days 00:24:01.309000,19.3,51.4,1013.7,False,29.6,291,0.8
0 days 00:25:01.309000,19.4,50.5,1013.5,False,29.6,295,0.8
0 days 00:26:01.311000,19.4,51.4,1013.7,False,29.8,286,1.3
0 days 00:27:01.311000,19.4,51.4,1013.5,False,29.8,293,1.0
0 days 00:28:01.311000,19.4,51.0,1013.6,False,29.9,293,0.8
0 days 00:29:01.311000,19.3,51.0,1013.8,False,30.0,303,0.9
0 days 00:30:01.318000,19.3,50.4,1013.6,True,30.1,281,0.5
0 days 00:31:01.309000,19.4,50.5,1013.6,True,30.1,283,0.8
0 days 00:32:01.311000,19.4,49.9,1013.6,False,30.1,292,0.7
0 days 00:33:01.308000,19.4,49.7,1013.6,False,30.1,295,1.0
0 days 00:34:01.313000,19.3,49.5,1013.6,False,30.1,287,1.1
0 days 00:35:01.705000,19.3,49.2,1013.6,False,30.1,284,1.0
0 days 00:36:01.347000,19.4,49.4,1013.8,False,30.2,296,1.0
0 days 00:37:01.331000,19.3,48.7,1013.7,False,30.1,294,0.5
0 days 00:38:01.355000,19.3,48.6,1013.7,False,30.3,318,0.6
0 days 00:39:01.358000,19.5,48.5,1013.8,False,30.3,292,0.5
0 days 00:40:01.371000,19.4,47.7,1013.6,False,30.4,297,0.5
0 days 00:41:01.375000,19.4,47.4,1013.6,False,30.6,301,0.9
0 days 00:42:01.373000,19.4,47.1,1013.8,False,30.6,287,1.0
0 days 00:43:01.390000,19.5,47.1,1013.8,False,30.6,313,0.5
0 days 00:44:01.403000,19.5,46.4,1013.9,False,31.1,334,0.4
0 days 00:45:01.431000,19.5,45.2,1014.0,False,31.4,282,0.4
0 days 00:46:01.434000,19.6,45.5,1013.8,False,31.4,310,0.8
0 days 00:47:01.434000,19.7,45.2,1013.9,False,31.3,280,0.6
0 days 00:48:01.437000,19.7,45.2,1013.9,False,31.3,280,0.6
0 days 00:49:01.433000,19.6,45.2,1013.9,False,31.3,280,0.6
0 days 00:50:01.448000,19.3,45.2,1013.9,False,31.3,280,0.6
0 days 00:51:01.446000,19.3,45.2,1013.9,False,31.3,280,0.6
0 days 00:52:01.434000,19.5,44.6,1013.9,False,31.4,288,0.4
0 days 00:53:01.458000,19.9,43.9,1013.9,False,31.4,285,0.8
