Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:06.313000,13.9,76.6,1015.1,False,17.7,311,0.8
0 days 00:01:06.330000,13.9,76.5,1015.2,True,17.8,303,0.6
0 days 00:02:06.331000,14.1,75.7,1015.1,False,17.8,312,1.0
0 days 00:03:06.347000,14.1,76.6,1015.1,False,17.6,329,0.6
0 days 00:04:06.363000,14.1,76.6,1015.1,False,17.6,329,0.6
0 days 00:05:06.362000,14.1,76.1,1015.2,False,17.5,347,0.6
0 days 00:06:06.361000,14.1,76.1,1015.2,False,17.5,347,0.6
0 days 00:07:06.363000,14.1,76.3,1015.1,False,17.4,331,0.6
0 days 00:08:06.365000,14.1,75.5,1015.2,False,17.3,307,0.6
0 days 00:09:06.364000,14.1,74.2,1015.2,False,17.3,298,0.8
0 days 00:10:06.365000,14.1,75.2,1015.3,False,17.1,293,0.8
0 days 00:11:06.362000,14.1,75.4,1015.4,False,17.0,302,0.6
0 days 00:12:06.364000,14.1,75.7,1015.4,False,17.0,345,0.5
0 days 00:13:06.364000,14.1,75.7,1015.4,False,17.0,345,0.5
0 days 00:14:06.364000,14.1,76.6,1015.4,False,17.0,305,0.6
0 days 00:15:06.364000,14.1,75.6,1015.4,False,17.0,314,0.6
0 days 00:16:06.364000,14.1,76.3,1015.6,False,16.9,301,0.7
0 days 00:17:06.388000,14.2,76.3,1015.6,False,16.9,301,0.7
0 days 00:18:06.377000,14.2,76.5,1015.7,False,16.7,308,0.7
0 days 00:19:06.395000,14.2,76.9,1015.7,False,16.6,307,0.6
0 days 00:20:06.414000,14.2,77.6,1015.7,False,16.6,312,0.5
0 days 00:21:06.411000,14.2,77.6,1015.7,False,16.6,312,0.5
0 days 00:22:06.410000,14.2,78.7,1015.7,False,16.7,317,0.5
0 days 00:23:06.425000,14.1,78.4,1015.8,True,16.7,302,0.6
0 days 00:24:06.444000,14.1,79.1,1015.7,True,16.6,310,0.5
0 days 00:25:06.457000,14.1,78.9,1015.7,True,16.6,297,0.5
0 days 00:26:06.491000,14.1,79.2,1015.7,True,16.6,305,0.5
0 days 00:27:06.487000,14.0,79.2,1015.7,True,16.6,305,0.5
0 days 00:28:06.488000,14.0,79.6,1015.7,True,16.6,325,0.4
0 days 00:29:06.490000,14.0,79.2,1015.8,True,16.6,348,0.5
0 days 00:30:06.493000,14.1,78.8,1015.7,True,16.5,323,0.4
0 days 00:31:06.489000,14.1,79.4,1015.8,True,16.4,324,0.5
0 days 00:32:06.490000,14.1,78.9,1015.7,True,16.4,311,0.4
0 days 00:33:06.486000,14.1,78.9,1015.7,True,16.4,311,0.4
0 days 00:34:06.491000,14.1,77.6,1015.6,True,16.4,307,0.6
0 days 00:35:06.481000,14.1,77.0,1015.7,True,16.4,315,0.5
0 days 00:36:06.495000,14.1,76.7,1015.8,False,16.4,330,0.4
0 days 00:37:06.488000,14.1,77.1,1015.8,False,16.4,305,0.4
0 days 00:38:06.476000,14.2,77.4,1015.7,False,16.3,336,0.3
0 days 00:39:06.500000,14.2,77.8,1015.7,False,16.3,337,0.1
0 days 00:40:06.515000,14.1,77.8,1015.7,False,16.3,337,0.1
0 days 00:41:06.560000,14.0,76.8,1015.8,False,16.3,329,0.3
0 days 00:42:06.539000,14.0,76.8,1015.8,False,16.3,329,0.3
0 days 00:43:06.533000,13.9,76.5,1015.7,False,16.1,321,0.3
0 days 00:44:06.552000,13.9,76.7,1015.8,False,16.0,302,0.5
0 days 00:45:06.560000,13.9,76.9,1015.7,False,16.0,313,0.5
0 days 00:46:06.557000,13.9,77.1,1015.7,False,16.0,312,0.3
0 days 00:47:06.547000,13.9,77.9,1015.8,False,15.9,311,0.2
0 days 00:48:06.550000,13.9,77.9,1015.8,False,15.9,311,0.2
0 days 00:49:06.552000,13.9,78.6,1015.8,False,16.0,312,0.3
0 days 00:50:06.568000,13.9,78.3,1015.7,False,16.0,306,0.5
0 days 00:51:06.565000,13.9,77.8,1015.8,False,16.0,316,0.4
0 days 00:52:06.588000,13.9,77.8,1015.8,False,16.0,316,0.4
0 days 00:53:06.585000,13.8,77.8,1015.8,False,15.8,295,0.5
0 days 00:54:06.583000,13.9,78.0,1015.9,False,15.8,308,0.5
0 days 00:55:06.596000,13.9,77.8,1015.9,False,15.8,316,0.5
0 days 00:56:06.616000,13.9,77.8,1016.1,False,15.7,314,0.4
0 days 00:57:06.620000,13.9,78.2,1016.0,False,15.7,290,0.4
0 days 00:58:06.617000,14.0,78.2,1016.1,False,15.7,327,0.3
0 days 00:59:06.613000,14.0,78.6,1016.2,False,15.7,319,0.3
0 days 01:00:06.612000,14.0,78.8,1016.2,False,15.8,322,0.3
0 days 01:01:06.613000,14.0,78.5,1016.1,False,15.9,309,0.3
0 days 01:02:06.616000,14.0,79.4,1016.2,False,15.9,334,0.2
0 days 01:03:06.615000,14.0,79.3,1016.1,False,15.9,328,0.1
0 days 01:04:06.616000,13.9,79.7,1016.2,False,16.0,327,0.1
0 days 01:05:06.645000,14.0,79.7,1016.3,False,16.0,325,0.2
0 days 01:06:06.616000,14.0,79.7,1016.3,False,16.0,325,0.2
0 days 01:07:06.614000,14.0,80.3,1016.2,False,16.0,329,0.1
0 days 01:08:06.631000,14.0,80.1,1016.3,False,16.1,312,0.1
0 days 01:09:06.646000,14.1,79.6,1016.3,False,16.2,318,0.3
0 days 01:10:06.652000,14.1,78.8,1016.4,False,16.2,285,0.2
0 days 01:11:06.662000,14.1,78.3,1016.3,False,16.3,4,0.2
0 days 01:12:06.660000,14.1,79.2,1016.3,False,16.2,322,0.2
0 days 01:13:06.665000,14.1,79.7,1016.3,False,16.2,319,0.5
0 days 01:14:06.661000,14.0,79.9,1016.3,False,16.2,304,0.4
0 days 01:15:06.662000,14.0,80.0,1016.4,False,16.0,303,0.4
0 days 01:16:06.665000,14.0,80.1,1016.5,False,16.0,303,0.5
0 days 01:17:06.662000,14.0,79.1,1016.5,False,16.0,308,0.5
0 days 01:18:06.661000,14.1,79.1,1016.4,False,15.9,301,0.5
