Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:10.357000,16.0,79.7,930.2,False,26.1,154,0.4
0 days 00:01:10.367000,16.0,80.0,930.3,False,25.9,129,0.3
0 days 00:02:10.371000,16.0,80.0,930.4,False,26.0,150,0.4
0 days 00:03:10.354000,16.0,80.1,930.3,False,25.9,190,0.2
0 days 00:04:10.356000,15.9,80.1,930.3,False,25.9,190,0.2
0 days 00:05:10.376000,15.9,79.4,930.4,False,25.6,212,0.4
0 days 00:06:10.376000,15.9,80.2,930.3,False,25.6,192,0.6
0 days 00:07:10.394000,15.9,80.1,930.3,False,25.7,157,0.2
0 days 00:08:10.387000,15.8,80.0,930.3,False,25.7,183,0.3
0 days 00:09:10.387000,15.8,79.6,930.3,False,25.7,156,0.5
0 days 00:10:10.409000,15.9,79.5,930.3,False,25.7,155,0.6
0 days 00:11:10.421000,15.9,79.1,930.3,False,25.7,178,0.4
0 days 00:12:10.393000,15.8,79.2,930.3,False,25.7,172,0.5
0 days 00:13:10.389000,15.8,79.7,930.3,False,25.7,193,0.5
0 days 00:14:10.387000,15.9,79.7,930.3,False,25.7,193,0.5
0 days 00:15:10.388000,15.8,79.7,930.3,False,25.8,154,0.3
0 days 00:16:10.388000,15.8,80.0,930.4,False,25.7,201,0.3
0 days 00:17:10.386000,15.8,80.3,930.2,False,25.9,233,0.4
0 days 00:18:10.387000,15.9,80.3,930.2,False,25.9,233,0.4
0 days 00:19:10.388000,15.9,79.4,930.2,False,26.2,173,0.6
0 days 00:20:10.389000,15.9,79.3,930.3,False,26.2,174,0.5
0 days 00:21:10.387000,15.9,78.1,930.3,False,26.2,179,0.5
0 days 00:22:10.389000,16.0,78.1,930.3,False,26.2,179,0.5
0 days 00:23:10.379000,16.0,78.7,930.3,False,25.8,167,0.4
0 days 00:24:10.389000,16.0,78.7,930.3,False,25.8,167,0.4
0 days 00:25:10.388000,16.0,78.8,930.2,False,25.8,192,0.3
0 days 00:26:10.388000,15.9,78.8,930.2,False,25.8,192,0.3
0 days 00:27:10.389000,15.9,78.8,930.2,False,25.8,192,0.3
0 days 00:28:10.387000,15.8,78.8,930.2,False,25.8,192,0.3
0 days 00:29:10.391000,15.8,79.2,930.3,False,25.1,167,0.6
0 days 00:30:10.393000,15.8,79.2,930.3,False,25.1,167,0.6
0 days 00:31:10.407000,15.8,80.5,930.3,False,25.0,166,0.4
0 days 00:32:10.390000,15.7,80.9,930.4,False,25.0,154,0.3
0 days 00:33:10.401000,15.7,81.0,930.3,False,25.0,169,0.3
0 days 00:34:10.397000,15.7,81.0,930.3,False,25.0,169,0.3
0 days 00:35:10.397000,15.7,80.4,930.3,False,24.9,173,0.5
0 days 00:36:10.391000,15.7,80.5,930.3,False,24.9,218,0.5
0 days 00:37:10.408000,15.7,80.4,930.4,False,24.9,200,0.5
0 days 00:38:10.382000,15.7,80.4,930.4,False,24.9,200,0.5
0 days 00:39:10.389000,15.7,80.1,930.4,False,24.7,175,0.7
0 days 00:40:10.405000,15.6,80.1,930.4,False,24.7,175,0.7
0 days 00:41:10.388000,15.6,79.6,930.3,False,24.6,168,0.4
0 days 00:42:10.392000,15.6,79.6,930.3,False,24.6,168,0.4
0 days 00:43:10.389000,15.6,79.9,930.4,False,24.6,169,0.5
0 days 00:44:10.396000,15.6,79.9,930.4,False,24.6,169,0.5
0 days 00:45:10.387000,15.6,80.2,930.4,False,24.7,192,0.5
0 days 00:46:10.396000,15.6,80.2,930.4,False,24.7,187,0.3
0 days 00:47:10.388000,15.6,80.1,930.5,False,24.7,164,0.3
0 days 00:48:10.390000,15.6,79.5,930.4,False,24.7,178,0.6
0 days 00:49:10.389000,15.7,79.3,930.4,False,24.6,170,0.7
0 days 00:50:10.397000,15.7,79.7,930.3,False,24.5,197,0.5
0 days 00:51:10.440000,15.6,79.5,930.4,False,24.5,169,0.5
0 days 00:52:10.404000,15.6,80.0,930.4,False,24.7,161,0.5
0 days 00:53:10.388000,15.6,80.4,930.4,False,24.8,201,0.5
0 days 00:54:10.389000,15.6,80.4,930.4,False,24.8,201,0.5
0 days 00:55:10.388000,15.7,80.7,930.4,False,24.6,148,0.3
0 days 00:56:10.387000,15.7,79.9,930.4,False,24.6,157,0.4
0 days 00:57:10.387000,15.6,80.5,930.5,False,24.4,187,0.8
0 days 00:58:10.389000,15.6,80.5,930.5,False,24.4,187,0.8
0 days 00:59:10.386000,15.6,80.6,930.5,False,24.2,171,0.4
0 days 01:00:10.385000,15.5,80.8,930.5,False,24.2,160,0.5
0 days 01:01:10.388000,15.5,80.8,930.3,False,24.2,156,0.6
0 days 01:02:10.389000,15.5,81.5,930.5,False,24.1,172,0.6
0 days 01:03:10.386000,15.5,81.4,930.4,False,24.1,178,0.6
