Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:18.370000,23.9,56.7,927.1,False,55.9,0,0.3
0 days 00:01:18.368000,23.9,57.0,927.1,False,55.7,154,0.1
0 days 00:02:18.369000,23.8,57.0,927.2,False,55.5,187,0.6
0 days 00:03:18.376000,23.6,57.5,927.1,False,55.5,147,0.6
0 days 00:04:18.384000,23.6,57.4,927.2,False,55.1,190,0.3
0 days 00:05:18.399000,23.6,56.2,927.2,False,56.3,154,0.2
0 days 00:06:18.413000,23.7,56.2,927.2,False,56.3,154,0.2
0 days 00:07:18.413000,23.7,56.2,927.2,False,56.3,154,0.2
0 days 00:08:18.418000,23.6,56.2,927.2,False,56.3,154,0.2
0 days 00:09:18.404000,23.8,56.2,927.2,False,56.3,154,0.2
0 days 00:10:18.413000,23.8,57.0,927.2,False,55.1,169,0.3
0 days 00:11:18.414000,23.5,57.7,927.2,False,54.7,179,0.6
0 days 00:12:18.415000,23.5,57.8,927.1,False,54.7,158,0.5
0 days 00:13:18.415000,23.4,57.4,927.1,False,55.3,168,0.4
0 days 00:14:18.414000,23.6,57.2,927.2,False,55.5,211,0.3
0 days 00:15:18.414000,23.9,56.6,927.1,False,55.5,154,0.3
0 days 00:16:18.417000,23.9,56.3,927.0,False,55.6,210,0.3
0 days 00:17:18.414000,23.9,56.3,927.0,False,55.6,213,0.3
0 days 00:18:18.418000,23.9,55.8,927.1,False,55.4,198,0.5
0 days 00:19:18.432000,23.7,56.6,927.0,False,54.7,166,0.4
0 days 00:20:18.439000,23.6,56.3,926.9,False,54.6,194,0.3
0 days 00:21:18.445000,23.6,54.6,927.0,False,56.3,189,0.3
0 days 00:22:18.461000,24.0,55.2,926.9,False,56.3,175,0.3
0 days 00:23:18.453000,24.0,55.4,927.0,False,55.2,0,0.3
0 days 00:24:18.463000,23.9,56.9,927.0,False,55.2,168,0.3
0 days 00:25:18.803000,24.0,56.8,926.9,False,55.4,176,0.3
0 days 00:26:18.462000,23.7,55.9,926.8,False,55.4,172,0.5
0 days 00:27:18.478000,23.7,57.0,926.9,False,55.0,200,0.5
0 days 00:28:18.470000,23.7,56.6,926.9,False,54.7,152,0.2
