Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:23.231000,13.8,38.2,1014.3,False,27.6,79,0.8
0 days 00:01:23.231000,13.7,37.0,1014.2,False,26.9,76,0.8
0 days 00:02:23.227000,13.5,37.9,1014.2,False,26.5,79,0.7
0 days 00:03:23.230000,13.5,37.4,1014.3,False,25.8,83,0.8
0 days 00:04:23.230000,13.3,38.1,1014.4,False,25.8,106,0.7
0 days 00:05:23.227000,13.3,38.1,1014.3,False,25.9,74,0.6
0 days 00:06:23.229000,13.4,38.3,1014.3,False,27.0,111,0.7
0 days 00:07:23.229000,13.6,38.6,1014.4,False,27.6,89,1.0
0 days 00:08:23.231000,13.7,37.2,1014.3,False,27.4,76,0.8
0 days 00:09:23.229000,13.8,37.1,1014.3,False,26.5,85,0.9
0 days 00:10:23.230000,13.9,36.9,1014.4,False,26.0,79,1.1
0 days 00:11:23.227000,13.7,37.0,1014.3,False,25.5,87,0.8
0 days 00:12:23.233000,13.6,36.9,1014.3,False,25.4,87,0.8
0 days 00:13:23.229000,13.6,38.1,1014.2,False,25.2,86,0.9
0 days 00:14:23.233000,13.5,38.5,1014.2,False,25.0,82,0.8
0 days 00:15:23.227000,13.5,38.5,1014.2,False,24.7,80,0.6
0 days 00:16:23.232000,13.5,38.3,1014.3,False,24.7,73,0.7
0 days 00:17:23.229000,13.5,37.2,1014.2,False,24.8,80,0.8
0 days 00:18:23.229000,13.5,36.5,1014.2,False,24.9,85,1.2
0 days 00:19:23.229000,13.5,36.9,1014.3,False,24.8,81,1.2
0 days 00:20:23.229000,13.6,36.5,1014.2,False,24.5,78,1.1
0 days 00:21:23.230000,13.6,37.3,1014.3,False,23.6,71,1.2
0 days 00:22:23.233000,13.6,37.3,1014.3,False,23.5,73,0.9
0 days 00:23:23.229000,13.8,37.6,1014.3,False,23.5,83,1.1
0 days 00:24:23.220000,13.8,37.1,1014.2,False,24.6,84,1.2
0 days 00:25:23.229000,13.9,36.2,1014.2,False,25.1,92,1.0
0 days 00:26:23.231000,13.8,37.4,1014.2,False,25.8,80,1.1
0 days 00:27:23.230000,13.9,35.7,1014.1,False,25.8,69,0.9
0 days 00:28:23.246000,13.9,36.0,1014.0,False,26.2,63,0.8
0 days 00:29:23.237000,14.0,36.6,1014.1,False,26.2,78,1.1
0 days 00:30:23.246000,14.0,36.7,1014.2,False,26.0,84,1.2
0 days 00:31:23.262000,13.9,36.0,1014.2,False,25.0,80,1.1
0 days 00:32:23.261000,13.8,36.0,1014.2,False,25.0,80,1.1
0 days 00:33:23.260000,13.7,36.5,1014.0,False,24.3,88,0.9
0 days 00:34:23.260000,13.5,35.8,1014.2,False,24.3,93,0.8
0 days 00:35:23.276000,13.4,36.5,1014.1,False,25.3,77,1.0
0 days 00:36:23.292000,13.3,37.3,1014.2,False,25.3,81,1.1
0 days 00:37:23.291000,13.2,38.0,1014.3,False,24.4,75,1.0
0 days 00:38:23.291000,13.2,38.0,1014.2,False,23.9,84,1.0
0 days 00:39:23.290000,13.3,37.8,1014.2,False,23.4,84,1.0
0 days 00:40:23.304000,13.3,37.9,1014.0,False,24.8,77,1.2
0 days 00:41:23.330000,13.4,37.5,1014.0,False,24.8,87,1.2
0 days 00:42:23.346000,13.7,37.4,1014.2,False,25.2,78,1.1
0 days 00:43:23.360000,13.9,36.7,1014.1,False,25.6,77,1.3
0 days 00:44:23.354000,13.8,37.7,1014.1,False,25.5,91,1.3
0 days 00:45:23.353000,13.8,38.7,1014.1,False,23.3,91,1.3
0 days 00:46:23.355000,13.8,38.4,1014.1,False,23.1,84,1.2
0 days 00:47:23.354000,13.7,38.6,1014.0,False,22.7,86,1.1
0 days 00:48:23.355000,13.5,38.5,1014.0,False,22.6,77,1.0
0 days 00:49:23.353000,13.5,37.2,1014.1,False,22.7,86,0.8
0 days 00:50:23.356000,13.4,37.3,1014.1,False,23.9,74,1.0
0 days 00:51:23.355000,13.3,37.3,1014.0,False,24.6,91,0.8
0 days 00:52:23.352000,13.3,38.0,1014.0,False,24.6,82,0.9
0 days 00:53:23.353000,13.3,37.8,1013.9,False,23.9,82,1.1
0 days 00:54:23.355000,13.2,37.7,1014.1,False,23.1,74,1.1
0 days 00:55:23.354000,13.1,38.8,1014.1,False,22.7,83,1.1
0 days 00:56:23.358000,13.0,37.8,1013.9,False,22.3,91,1.3
0 days 00:57:23.360000,13.1,38.3,1013.9,False,21.9,84,0.9
0 days 00:58:23.355000,13.0,38.4,1013.9,False,21.9,83,1.0
0 days 00:59:23.354000,13.0,39.3,1014.0,False,21.6,91,1.3
0 days 01:00:23.356000,13.1,39.4,1014.0,False,21.6,88,1.0
0 days 01:01:23.353000,13.1,39.3,1013.9,False,21.5,97,1.1
0 days 01:02:23.359000,13.1,39.3,1013.9,False,21.5,97,1.1
0 days 01:03:23.345000,13.3,39.2,1013.9,False,22.5,78,1.0
0 days 01:04:23.355000,13.5,38.2,1013.8,False,22.9,90,1.4
0 days 01:05:23.353000,13.5,38.0,1013.9,False,23.2,84,1.3
0 days 01:06:23.353000,13.5,39.2,1013.9,False,23.2,78,1.3
0 days 01:07:23.352000,13.5,38.2,1013.9,False,23.0,75,1.4
0 days 01:08:23.354000,13.7,38.9,1013.9,False,22.3,81,1.5
0 days 01:09:23.353000,13.8,38.6,1013.9,False,21.5,80,1.3
0 days 01:10:23.353000,13.7,39.3,1013.8,False,21.5,85,1.4
0 days 01:11:23.352000,13.8,39.1,1013.7,False,20.9,84,1.1
0 days 01:12:23.356000,13.6,39.7,1013.9,False,20.9,79,1.2
0 days 01:13:23.360000,13.6,39.2,1013.9,False,21.4,74,1.0
0 days 01:14:23.364000,13.5,39.5,1013.9,False,21.2,83,0.8
0 days 01:15:23.353000,13.3,39.2,1013.8,False,21.2,81,0.7
