Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:39.012000,24.3,53.9,1011.7,False,40.3,359,0.2
0 days 00:01:39.012000,24.3,53.6,1011.6,False,40.3,12,0.2
0 days 00:02:39.014000,24.3,53.4,1011.8,False,40.8,14,0.8
0 days 00:03:39.027000,24.3,52.3,1011.8,False,41.0,356,0.6
0 days 00:04:39.049000,24.3,52.1,1011.8,False,41.0,2,0.6
0 days 00:05:39.044000,24.3,52.8,1011.7,False,40.5,336,0.4
0 days 00:06:39.043000,24.3,52.9,1011.7,False,40.5,353,0.6
0 days 00:07:39.087000,24.7,53.8,1011.7,False,40.7,11,0.3
0 days 00:08:39.044000,24.7,52.7,1011.7,False,41.1,10,0.7
0 days 00:09:39.043000,24.6,52.7,1011.7,False,41.3,5,0.8
0 days 00:10:39.042000,24.6,53.4,1011.7,False,41.1,5,0.7
0 days 00:11:39.044000,24.6,51.1,1011.8,False,41.1,339,0.7
0 days 00:12:39.034000,24.6,52.1,1011.7,False,40.6,8,0.7
0 days 00:13:39.043000,24.5,51.8,1011.9,False,40.6,17,0.7
0 days 00:14:39.043000,24.5,51.0,1011.8,False,41.7,9,0.5
0 days 00:15:39.046000,24.6,51.6,1011.8,False,41.7,351,0.5
0 days 00:16:39.044000,24.7,52.5,1011.8,False,41.7,328,0.6
0 days 00:17:39.043000,24.7,52.3,1011.8,False,41.2,345,0.5
0 days 00:18:39.043000,24.7,53.1,1011.8,False,41.1,335,0.5
0 days 00:19:39.046000,24.6,54.1,1011.8,False,40.8,35,0.2
0 days 00:20:39.043000,24.6,54.3,1011.8,False,41.3,9,0.5
0 days 00:21:39.044000,24.8,53.2,1011.8,False,42.2,346,0.6
0 days 00:22:39.052000,24.8,52.7,1011.8,False,42.2,359,0.5
0 days 00:23:39.044000,24.7,52.6,1011.7,False,42.1,12,0.5
0 days 00:24:39.046000,24.7,52.8,1011.8,False,42.4,354,0.8
0 days 00:25:39.043000,24.7,53.9,1011.8,False,42.4,359,0.4
0 days 00:26:39.044000,24.7,52.5,1011.7,False,43.0,14,0.4
0 days 00:27:39.045000,24.8,51.7,1011.8,False,43.0,18,0.6
0 days 00:28:39.044000,24.8,51.2,1011.8,False,42.9,355,0.7
0 days 00:29:39.045000,24.7,52.3,1011.7,False,42.6,14,0.5
0 days 00:30:39.046000,24.7,52.8,1011.7,False,42.9,2,0.4
0 days 00:31:39.043000,25.0,51.6,1011.7,False,42.7,14,0.7
0 days 00:32:39.045000,24.9,48.6,1011.7,False,43.1,16,1.1
0 days 00:33:39.044000,25.0,49.2,1011.7,False,43.1,12,0.5
0 days 00:34:39.045000,25.0,48.5,1011.7,False,42.9,7,0.6
0 days 00:35:39.052000,25.0,49.3,1011.7,False,42.9,334,0.5
0 days 00:36:39.046000,25.0,50.4,1011.8,False,42.9,16,0.5
0 days 00:37:39.045000,24.9,49.6,1011.8,False,42.9,354,0.8
0 days 00:38:39.043000,24.9,49.9,1011.7,False,43.7,21,0.7
0 days 00:39:39.049000,25.0,50.1,1011.8,False,43.2,353,0.7
0 days 00:40:39.046000,25.0,49.9,1011.8,False,43.2,7,0.6
0 days 00:41:39.035000,25.2,50.0,1011.7,False,43.2,8,0.4
0 days 00:42:39.047000,25.2,50.9,1011.7,False,43.7,13,0.4
0 days 00:43:39.042000,25.1,50.1,1011.7,False,43.7,8,0.6
0 days 00:44:39.049000,25.1,50.4,1011.6,False,43.9,17,0.5
0 days 00:45:39.063000,25.2,50.1,1011.7,False,43.9,348,0.8
0 days 00:46:39.066000,25.2,49.3,1011.7,False,43.8,352,0.8
0 days 00:47:39.075000,25.1,49.9,1011.7,False,43.7,24,0.7
0 days 00:48:39.093000,25.1,49.9,1011.7,False,43.5,12,0.7
0 days 00:49:39.093000,25.1,50.1,1011.7,False,44.1,4,0.6
0 days 00:50:39.089000,25.0,49.8,1011.8,False,44.2,354,0.6
0 days 00:51:39.092000,25.0,50.2,1011.8,False,43.9,279,0.3
0 days 00:52:39.092000,25.0,50.3,1011.8,False,43.9,4,0.3
0 days 00:53:39.091000,25.4,49.0,1011.6,False,44.5,313,0.3
0 days 00:54:39.088000,25.4,48.7,1011.8,False,44.3,7,0.5
0 days 00:55:39.097000,25.2,49.5,1011.7,False,44.3,13,0.4
0 days 00:56:39.092000,25.2,49.6,1011.7,False,44.3,351,0.5
0 days 00:57:39.090000,25.2,50.3,1011.7,False,44.3,0,0.3
0 days 00:58:39.092000,25.2,49.6,1011.8,False,44.9,338,0.6
0 days 00:59:39.110000,25.3,50.0,1011.7,False,44.9,156,0.5
0 days 01:00:39.091000,25.3,50.2,1011.7,False,45.0,322,0.2
0 days 01:01:39.093000,25.4,49.5,1011.6,False,45.6,328,0.2
0 days 01:02:39.104000,25.4,49.7,1011.6,False,45.6,43,0.4
0 days 01:03:39.106000,25.2,50.4,1011.5,False,45.3,343,0.2
0 days 01:04:39.125000,25.2,47.4,1011.6,False,46.1,16,0.8
0 days 01:05:39.143000,25.4,48.3,1011.6,False,46.1,347,0.6
0 days 01:06:39.139000,25.4,48.4,1011.6,False,45.4,3,0.5
0 days 01:07:39.155000,25.2,49.5,1011.6,False,44.6,15,0.3
0 days 01:08:39.160000,25.1,49.5,1011.5,False,44.6,11,0.4
0 days 01:09:39.169000,25.2,49.1,1011.5,False,45.5,357,0.5
0 days 01:10:39.171000,25.3,48.8,1011.6,False,46.0,13,0.5
0 days 01:11:39.168000,25.4,47.7,1011.5,False,46.4,18,0.7
0 days 01:12:39.171000,25.4,48.6,1011.5,False,46.0,337,0.7
0 days 01:13:39.183000,25.3,49.2,1011.6,False,45.7,1,0.5
0 days 01:14:39.188000,25.3,47.9,1011.6,False,46.1,16,0.5
0 days 01:15:39.186000,25.6,48.0,1011.6,False,46.1,10,0.5
0 days 01:16:39.187000,25.6,48.1,1011.5,False,46.5,350,0.3
0 days 01:17:39.187000,25.8,47.6,1011.5,False,46.5,6,0.6
0 days 01:18:39.185000,25.8,49.0,1011.6,False,46.2,27,0.6
0 days 01:19:39.200000,25.7,49.0,1011.5,False,46.4,17,0.5
0 days 01:20:39.217000,25.7,47.3,1011.5,False,46.9,358,0.5
