Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:48.604000,25.2,53.8,1009.7,False,41.3,343,0.7
0 days 00:01:48.610000,25.2,55.7,1009.7,False,40.8,15,0.6
0 days 00:02:48.629000,25.2,54.2,1009.7,False,40.9,19,0.9
0 days 00:03:48.609000,25.3,54.5,1009.7,False,40.9,19,0.7
0 days 00:04:48.608000,25.3,53.6,1009.8,False,41.3,15,0.9
0 days 00:05:48.608000,25.3,53.5,1009.7,False,41.3,18,0.8
0 days 00:06:24.107000,25.3,53.5,1009.7,False,41.3,18,0.8
0 days 00:06:48.611000,25.3,53.8,1009.7,False,41.3,16,0.8
0 days 00:07:48.611000,25.2,54.3,1009.7,False,41.3,9,0.5
0 days 00:08:48.613000,25.2,53.9,1009.7,False,41.0,17,0.5
0 days 00:09:48.620000,25.2,54.1,1009.8,False,40.9,12,0.7
0 days 00:10:48.611000,25.1,54.5,1009.8,False,40.9,15,0.7
0 days 00:11:48.611000,25.0,53.4,1009.7,False,40.9,14,0.9
0 days 00:12:48.610000,25.0,53.7,1009.8,False,40.9,17,0.8
0 days 00:13:48.611000,25.0,53.2,1009.7,False,40.3,18,0.8
0 days 00:14:48.610000,25.0,54.0,1009.8,False,39.6,10,0.7
0 days 00:15:48.611000,25.0,54.3,1009.7,False,39.5,13,0.6
0 days 00:16:48.611000,25.0,54.3,1009.7,False,39.5,354,0.6
0 days 00:17:48.613000,25.0,54.6,1009.6,False,39.5,359,0.7
0 days 00:18:48.611000,25.0,55.2,1009.8,False,39.5,11,0.8
0 days 00:19:48.610000,25.0,54.4,1009.7,False,39.5,16,0.9
0 days 00:20:48.610000,25.0,54.3,1009.8,False,39.8,11,0.9
0 days 00:21:48.613000,25.0,54.7,1009.8,False,39.9,1,0.5
0 days 00:22:48.609000,25.0,54.4,1009.8,False,39.9,8,0.6
0 days 00:23:48.626000,25.2,53.8,1009.8,False,39.6,340,0.7
0 days 00:24:48.627000,25.2,54.1,1009.7,False,39.8,15,0.6
0 days 00:25:48.627000,25.2,54.0,1009.7,False,39.9,20,0.8
0 days 00:26:48.652000,25.2,54.3,1009.8,False,40.0,13,0.9
0 days 00:27:48.668000,25.2,54.3,1009.8,False,40.0,13,0.9
0 days 00:28:48.658000,25.2,54.5,1009.8,False,39.4,352,0.5
0 days 00:29:48.674000,25.2,53.7,1009.8,False,39.3,359,0.7
0 days 00:30:48.691000,25.2,54.2,1009.7,False,39.4,357,0.6
0 days 00:31:48.705000,25.2,54.2,1009.8,False,39.1,354,0.8
0 days 00:32:48.704000,25.2,54.2,1009.9,False,39.2,355,0.5
0 days 00:33:48.705000,25.2,53.5,1009.8,False,38.9,350,0.7
0 days 00:34:48.705000,25.0,54.2,1009.8,False,38.9,350,0.6
0 days 00:35:48.712000,25.1,54.1,1009.8,False,38.9,19,0.4
0 days 00:36:48.705000,25.0,54.2,1009.9,False,39.0,20,0.6
0 days 00:37:48.705000,25.0,54.4,1009.8,False,39.2,0,0.5
0 days 00:38:48.805000,25.1,54.2,1009.8,False,38.8,9,0.4
0 days 00:39:48.705000,25.3,53.9,1009.8,False,38.7,356,0.5
0 days 00:40:48.703000,25.3,54.3,1009.8,False,38.8,17,0.5
0 days 00:41:48.705000,25.3,53.6,1009.8,False,38.7,6,0.7
0 days 00:42:48.726000,25.2,54.1,1009.8,False,38.8,27,0.6
0 days 00:43:48.723000,25.2,53.9,1009.8,False,38.6,1,0.5
0 days 00:44:48.721000,25.1,54.3,1009.9,False,38.6,359,0.6
0 days 00:45:48.737000,25.1,54.7,1009.8,False,38.4,12,0.6
0 days 00:46:48.736000,25.0,55.3,1009.9,False,38.4,6,0.5
0 days 00:47:48.735000,24.9,55.4,1009.8,False,38.2,342,0.4
0 days 00:48:48.736000,24.8,55.4,1009.8,False,38.6,14,0.5
0 days 00:49:48.735000,25.0,54.7,1009.8,False,38.5,9,0.6
0 days 00:50:48.749000,25.0,55.1,1009.9,False,38.2,6,0.7
0 days 00:51:48.736000,25.0,54.9,1009.8,False,38.0,358,0.5
0 days 00:52:48.767000,25.0,55.8,1009.8,False,38.0,4,0.5
0 days 00:53:48.736000,24.9,54.7,1009.9,False,38.0,351,0.6
0 days 00:54:48.752000,24.9,55.0,1009.9,False,38.0,355,0.5
0 days 00:55:48.734000,24.9,55.0,1009.9,False,38.0,355,0.5
0 days 00:56:48.738000,24.9,54.6,1009.8,False,38.0,343,0.4
0 days 00:57:48.735000,24.9,53.7,1009.9,False,38.0,355,0.3
0 days 00:58:48.736000,24.9,53.9,1009.9,False,38.0,354,0.4
0 days 00:59:48.738000,24.9,54.1,1009.9,False,38.0,352,0.5
0 days 01:00:48.737000,24.8,54.0,1009.9,False,38.0,10,0.6
0 days 01:01:48.739000,24.8,53.6,1010.0,False,38.0,17,0.6
0 days 01:02:48.733000,24.7,54.5,1009.9,False,37.5,14,0.7
0 days 01:03:48.737000,24.7,54.7,1009.9,False,37.3,330,0.6
0 days 01:04:48.736000,24.5,54.2,1009.8,False,37.3,352,0.4
0 days 01:05:48.726000,24.5,54.2,1009.8,False,37.2,0,0.5
0 days 01:06:48.741000,24.4,54.2,1010.0,False,37.1,355,0.4
0 days 01:07:48.735000,24.4,54.2,1009.9,False,36.9,3,0.5
0 days 01:08:48.743000,24.4,54.0,1009.9,False,36.9,8,0.6
0 days 01:09:48.749000,24.4,53.9,1009.9,False,36.7,359,0.7
0 days 01:10:48.738000,24.4,54.5,1009.9,False,36.7,7,0.6
0 days 01:11:48.743000,24.4,54.5,1009.9,False,36.5,358,0.6
0 days 01:12:48.766000,24.2,54.9,1009.9,False,36.4,11,0.6
0 days 01:13:48.782000,24.2,55.3,1009.8,False,36.4,9,0.5
0 days 01:14:48.781000,24.2,54.8,1009.9,False,36.4,11,0.6
0 days 01:15:48.782000,24.2,55.1,1009.9,False,36.4,353,0.6
0 days 01:16:48.798000,24.2,55.4,1010.0,False,36.1,13,0.6
0 days 01:17:48.819000,24.1,55.3,1009.9,False,36.0,12,0.7
0 days 01:18:48.828000,24.0,56.1,1010.0,False,35.9,4,0.7
