Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:44.848000,28.4,41.3,1007.7,False,51.1,155,0.3
0 days 00:01:44.867000,28.5,41.0,1007.8,False,51.1,220,0.1
0 days 00:02:44.883000,28.5,41.2,1007.7,False,51.3,339,0.1
0 days 00:03:44.881000,28.6,39.7,1007.7,False,51.3,22,0.3
0 days 00:04:44.882000,28.6,39.8,1007.8,False,51.8,180,0.1
0 days 00:05:44.874000,28.6,39.7,1007.8,False,51.8,0,0.2
0 days 00:06:44.881000,28.6,39.6,1007.8,False,51.6,106,0.1
0 days 00:07:44.881000,28.5,39.6,1007.8,False,51.2,0,0.3
0 days 00:08:44.882000,28.5,40.3,1007.7,False,51.1,299,0.2
0 days 00:09:44.899000,28.6,40.4,1007.7,False,51.1,167,0.4
0 days 00:10:44.914000,28.6,40.0,1007.7,False,51.5,166,0.4
0 days 00:11:44.912000,28.7,40.3,1007.6,False,51.7,151,0.2
0 days 00:12:44.913000,28.6,39.7,1007.7,False,51.9,150,0.3
0 days 00:13:44.915000,28.5,40.6,1007.7,False,52.0,192,0.5
0 days 00:14:44.914000,28.5,39.1,1007.8,False,51.9,206,0.3
0 days 00:15:44.934000,28.5,36.4,1007.7,False,51.9,346,0.2
0 days 00:16:44.913000,28.4,37.1,1007.7,False,51.8,48,0.3
0 days 00:17:44.911000,28.8,37.3,1007.8,False,52.4,324,0.2
0 days 00:18:44.912000,28.9,37.3,1007.8,False,52.0,174,0.2
0 days 00:19:44.913000,28.9,36.5,1007.6,False,52.0,22,0.3
0 days 00:20:44.914000,28.9,37.7,1007.8,False,51.8,333,0.3
0 days 00:21:44.914000,29.1,37.1,1007.7,False,51.8,138,0.2
0 days 00:22:44.920000,29.1,35.9,1007.7,False,52.8,177,0.4
0 days 00:23:44.916000,29.0,34.4,1007.6,False,52.8,166,0.5
0 days 00:24:44.921000,29.1,34.7,1007.7,False,53.1,177,0.3
0 days 00:25:44.922000,29.2,33.8,1007.7,False,53.1,165,0.3
0 days 00:26:44.914000,29.2,33.4,1007.7,False,52.4,147,0.3
0 days 00:27:44.914000,29.1,34.6,1007.7,False,52.4,167,0.4
0 days 00:28:44.923000,29.1,33.5,1007.7,False,52.0,0,0.2
0 days 00:29:44.913000,29.1,34.4,1007.6,False,51.9,199,0.2
0 days 00:30:44.912000,29.1,34.9,1007.7,False,51.6,235,0.2
0 days 00:31:44.913000,28.9,35.1,1007.6,False,51.6,144,0.2
0 days 00:32:44.914000,28.9,35.8,1007.7,False,51.5,276,0.3
0 days 00:33:44.912000,28.8,36.5,1007.6,False,51.5,249,0.3
0 days 00:34:45.886000,28.9,36.2,1007.6,False,51.5,180,0.4
0 days 00:35:44.913000,28.9,36.2,1007.5,False,51.6,181,0.6
0 days 00:36:44.914000,28.9,35.1,1007.7,False,51.7,186,0.4
0 days 00:37:44.913000,29.1,35.5,1007.6,False,51.2,194,0.2
0 days 00:38:44.914000,29.2,35.7,1007.6,False,51.7,196,0.5
0 days 00:39:44.915000,29.4,35.4,1007.6,False,51.7,161,0.5
0 days 00:40:44.914000,29.3,35.5,1007.6,False,51.7,176,0.4
0 days 00:41:44.912000,29.4,36.0,1007.6,False,51.8,201,0.5
0 days 00:42:44.917000,29.4,36.1,1007.6,False,51.4,188,0.5
0 days 00:43:44.914000,29.0,36.9,1007.5,False,51.4,170,0.3
0 days 00:44:44.913000,29.0,36.6,1007.6,False,51.7,119,0.4
0 days 00:45:44.912000,29.2,37.1,1007.6,False,51.7,147,0.5
0 days 00:46:44.914000,29.2,38.3,1007.5,False,51.4,133,0.1
0 days 00:47:44.914000,29.1,38.0,1007.6,False,51.4,292,0.2
0 days 00:48:44.913000,29.1,38.4,1007.5,False,52.1,156,0.5
0 days 00:49:44.910000,29.2,38.1,1007.4,False,52.3,178,0.5
0 days 00:50:44.913000,29.2,38.1,1007.5,False,52.3,162,0.5
0 days 00:51:44.921000,28.9,38.1,1007.4,False,51.8,197,0.3
0 days 00:52:44.912000,28.9,38.7,1007.5,False,51.7,171,0.3
0 days 00:53:44.921000,29.1,39.3,1007.4,False,51.6,7,0.3
0 days 00:54:44.925000,29.1,39.2,1007.5,False,51.7,0,0.2
0 days 00:55:44.914000,29.0,39.6,1007.5,False,51.8,269,0.2
0 days 00:56:44.914000,29.0,39.4,1007.5,False,52.1,167,0.3
0 days 00:57:44.916000,29.0,37.7,1007.4,False,52.8,266,0.5
0 days 00:58:44.923000,29.0,38.2,1007.4,False,52.1,191,0.3
0 days 00:59:44.915000,28.9,38.9,1007.4,False,52.1,179,0.6
0 days 01:00:44.914000,28.9,39.1,1007.3,False,52.1,187,0.6
0 days 01:01:44.914000,29.0,39.1,1007.4,False,52.1,176,0.5
0 days 01:02:44.914000,29.0,38.5,1007.4,False,51.8,178,0.6
0 days 01:03:44.914000,29.0,37.9,1007.4,False,51.8,183,0.6
0 days 01:04:44.913000,29.0,38.5,1007.4,False,51.6,157,0.8
0 days 01:05:44.914000,29.0,38.4,1007.6,False,51.5,161,0.5
0 days 01:06:44.913000,29.0,39.3,1007.6,False,51.7,158,0.3
0 days 01:07:44.914000,29.1,39.4,1007.4,False,51.8,169,0.3
0 days 01:08:44.915000,29.1,39.2,1007.4,False,51.8,189,0.3
0 days 01:09:44.913000,29.2,39.3,1007.5,False,51.9,196,0.5
0 days 01:10:44.913000,29.2,39.9,1007.4,False,51.4,330,0.2
0 days 01:11:44.913000,29.2,39.3,1007.3,False,51.0,356,0.3
0 days 01:12:44.913000,29.2,39.1,1007.3,False,51.5,130,0.1
0 days 01:13:44.913000,29.1,39.6,1007.3,False,51.4,155,0.2
0 days 01:14:44.913000,29.1,39.8,1007.5,False,51.4,0,0.3
0 days 01:15:44.917000,29.1,40.7,1007.4,False,51.6,0,0.1
0 days 01:16:44.913000,29.2,40.3,1007.4,False,51.6,331,0.1
0 days 01:17:44.913000,29.5,39.5,1007.4,False,51.7,193,0.2
0 days 01:18:44.913000,29.5,38.1,1007.4,False,52.4,283,0.2
0 days 01:19:44.913000,29.6,37.5,1007.5,False,52.4,241,0.1
0 days 01:20:44.912000,29.6,36.4,1007.4,False,51.9,0,0.1
0 days 01:21:44.913000,29.7,37.0,1007.4,False,51.9,137,0.3
0 days 01:22:44.912000,29.7,35.9,1007.4,False,52.4,323,0.1
0 days 01:23:44.913000,29.6,36.4,1007.4,False,52.4,342,0.2
0 days 01:24:44.912000,29.6,35.6,1007.4,False,51.8,240,0.1
0 days 01:25:44.912000,29.6,35.5,1007.4,False,51.8,0,0.2
0 days 01:26:44.917000,29.6,34.9,1007.4,False,51.9,6,0.2
0 days 01:27:44.914000,29.5,35.0,1007.3,False,52.0,29,0.3
0 days 01:28:44.918000,29.5,34.4,1007.3,False,51.6,84,0.2
0 days 01:29:44.912000,29.4,33.9,1007.3,False,51.1,174,0.2
0 days 01:30:44.913000,29.4,35.5,1007.4,False,50.8,130,0.3
0 days 01:31:44.914000,29.5,36.4,1007.3,False,51.1,330,0.1
0 days 01:32:44.914000,29.4,36.5,1007.3,False,51.4,353,0.3
0 days 01:33:44.915000,29.5,36.6,1007.3,False,51.5,345,0.3
0 days 01:34:44.913000,29.5,36.0,1007.3,False,51.5,21,0.3
0 days 01:35:44.910000,29.4,36.4,1007.3,False,51.5,28,0.3
0 days 01:36:44.912000,29.5,37.1,1007.2,False,51.6,20,0.4
0 days 01:37:44.912000,29.6,35.7,1007.2,False,52.1,25,0.4
0 days 01:38:44.912000,29.6,34.9,1007.2,False,51.6,3,0.3
0 days 01:39:44.913000,29.6,35.6,1007.2,False,51.6,345,0.3
0 days 01:40:44.912000,29.7,35.3,1007.2,False,51.4,60,0.1
0 days 01:41:44.913000,29.8,34.6,1007.1,False,51.4,2,0.2
0 days 01:42:44.912000,29.8,36.1,1007.2,False,50.5,352,0.6
0 days 01:43:44.915000,29.6,36.1,1007.2,False,50.5,17,0.4
0 days 01:44:44.913000,29.6,36.7,1007.1,False,50.6,338,0.3
