Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:31.346000,11.0,55.7,1015.6,False,20.9,50,0.4
0 days 00:01:31.349000,10.9,56.5,1015.8,False,21.0,99,0.3
0 days 00:02:31.348000,10.9,56.3,1015.7,False,21.2,71,0.3
0 days 00:03:31.347000,10.8,56.6,1015.7,False,21.4,160,0.3
0 days 00:04:31.366000,10.9,57.3,1015.7,False,21.4,81,0.1
0 days 00:05:31.363000,11.1,56.6,1015.7,False,21.5,0,0.2
0 days 00:06:31.363000,11.1,55.8,1015.7,False,21.8,83,0.2
0 days 00:07:31.364000,11.2,54.6,1015.6,False,22.0,94,0.6
0 days 00:08:31.364000,11.2,55.1,1015.5,False,22.0,65,0.4
0 days 00:11:31.389000,11.4,55.1,1015.7,False,22.2,120,0.4
0 days 00:12:31.370000,11.3,56.5,1015.7,False,22.2,76,0.2
0 days 00:13:31.387000,11.3,55.8,1015.7,False,22.5,101,0.4
0 days 00:14:31.376000,11.5,55.7,1015.6,False,22.5,70,0.4
0 days 00:15:31.387000,11.5,55.7,1015.6,False,22.8,103,0.5
0 days 00:16:31.385000,11.6,55.0,1015.7,False,22.9,112,0.3
0 days 00:17:31.400000,11.7,55.2,1015.5,False,23.0,146,0.2
0 days 00:18:31.416000,11.6,55.9,1015.6,False,23.0,246,0.2
0 days 00:19:31.452000,11.6,55.9,1015.5,False,23.4,103,0.2
0 days 00:20:31.428000,11.9,55.5,1015.6,False,23.4,78,0.4
0 days 00:21:31.431000,11.9,55.3,1015.6,False,23.4,104,0.6
0 days 00:22:31.432000,11.9,54.1,1015.7,False,23.4,100,0.6
0 days 00:23:31.439000,11.8,54.5,1015.6,False,22.9,90,0.7
0 days 00:24:31.441000,11.7,54.0,1015.7,False,22.8,92,0.7
0 days 00:25:31.430000,11.6,55.2,1015.5,False,22.8,78,0.9
0 days 00:26:31.436000,11.7,54.9,1015.6,False,22.8,86,0.7
0 days 00:27:31.432000,11.8,54.5,1015.4,False,22.8,84,0.6
0 days 00:28:31.433000,11.9,53.9,1015.6,False,22.8,78,1.0
0 days 00:29:31.431000,11.9,54.5,1015.5,False,22.6,84,0.8
0 days 00:30:31.431000,12.0,53.8,1015.6,False,22.6,83,1.0
0 days 00:31:31.448000,11.9,54.8,1015.4,False,22.0,90,1.0
0 days 00:32:31.464000,11.8,55.6,1015.4,False,21.5,78,0.6
0 days 00:33:31.466000,11.9,54.3,1015.4,False,21.7,99,0.5
0 days 00:34:31.464000,11.9,53.6,1015.5,False,22.0,95,0.5
0 days 00:35:31.464000,11.9,54.4,1015.5,False,22.1,94,0.6
0 days 00:36:31.463000,11.9,53.8,1015.4,False,22.6,71,0.5
0 days 00:37:31.457000,12.0,53.7,1015.4,False,22.7,40,0.6
0 days 00:38:31.459000,12.1,53.3,1015.4,False,22.7,75,0.5
0 days 00:39:31.463000,12.2,53.3,1015.3,False,23.1,78,0.6
0 days 00:40:31.463000,12.2,52.5,1015.3,False,23.5,88,1.1
0 days 00:41:31.464000,12.3,52.6,1015.3,False,23.6,68,0.8
0 days 00:42:31.463000,12.3,51.8,1015.3,False,23.8,77,0.6
0 days 00:43:31.479000,12.3,51.2,1015.4,False,23.8,86,0.6
0 days 00:44:31.478000,12.3,50.8,1015.4,False,23.3,142,0.6
0 days 00:45:31.478000,12.1,51.6,1015.3,False,23.3,122,0.9
0 days 00:46:31.479000,12.0,53.0,1015.2,False,23.6,79,0.9
0 days 00:47:31.479000,12.1,53.6,1015.2,False,23.9,96,0.6
0 days 00:48:31.479000,12.3,52.2,1015.3,False,23.9,87,0.9
