Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:41.291000,9.8,68.7,1011.7,True,18.1,61,0.2
0 days 00:01:41.287000,9.7,70.0,1011.6,True,18.1,261,0.1
0 days 00:02:41.294000,9.6,69.2,1011.6,True,18.0,243,0.4
0 days 00:03:41.289000,9.4,68.3,1011.6,True,17.7,250,0.4
0 days 00:04:41.288000,9.3,67.9,1011.7,True,17.6,259,0.5
0 days 00:05:41.289000,9.3,69.1,1011.6,True,17.6,256,0.5
0 days 00:06:41.296000,9.3,69.4,1011.6,True,17.5,248,0.4
0 days 00:07:41.289000,9.2,70.6,1011.6,True,17.5,268,0.4
0 days 00:08:41.293000,9.2,70.5,1011.6,True,17.5,214,0.4
0 days 00:09:41.290000,9.2,70.7,1011.7,True,17.5,237,0.2
0 days 00:10:41.290000,9.2,71.8,1011.7,True,17.5,285,0.3
0 days 00:11:41.294000,9.3,70.5,1011.6,True,17.6,260,0.5
0 days 00:12:41.305000,9.2,71.9,1011.6,True,17.5,241,0.3
0 days 00:13:41.321000,9.2,74.0,1011.7,True,17.4,241,0.1
0 days 00:14:41.319000,9.2,73.8,1011.6,True,17.4,234,0.3
0 days 00:15:41.321000,9.2,74.9,1011.7,True,17.4,260,0.2
0 days 00:16:41.335000,9.2,75.0,1011.6,True,17.4,258,0.3
0 days 00:17:41.336000,9.2,73.1,1011.5,True,17.5,270,0.6
0 days 00:18:41.352000,9.2,74.0,1011.5,True,17.5,244,0.2
0 days 00:19:41.352000,9.2,75.4,1011.5,True,17.4,266,0.3
0 days 00:20:41.361000,9.2,76.2,1011.5,True,17.4,272,0.4
0 days 00:21:41.350000,9.2,74.9,1011.5,True,17.4,271,0.5
0 days 00:22:41.350000,9.3,74.8,1011.5,True,17.5,259,0.5
0 days 00:23:41.351000,9.2,74.6,1011.5,True,17.4,271,0.4
0 days 00:24:41.352000,9.2,73.1,1011.5,True,17.3,273,0.4
0 days 00:25:41.369000,9.3,74.7,1011.5,True,17.5,244,0.3
0 days 00:26:41.366000,9.3,74.3,1011.5,True,17.5,281,0.2
0 days 00:27:41.381000,9.4,76.0,1011.5,True,17.5,248,0.2
0 days 00:28:41.382000,9.4,76.4,1011.5,True,17.7,258,0.2
0 days 00:29:41.397000,9.4,75.5,1011.5,True,17.8,273,0.2
0 days 00:30:41.414000,9.4,74.6,1011.5,True,17.8,0,0.1
0 days 00:31:41.414000,9.4,75.7,1011.5,True,17.7,177,0.1
0 days 00:32:41.413000,9.5,77.1,1011.5,True,17.7,0,0.4
0 days 00:33:41.418000,9.6,75.0,1011.5,True,17.7,178,0.1
0 days 00:34:41.415000,9.6,75.4,1011.5,True,17.3,203,0.2
0 days 00:35:41.414000,9.5,75.7,1011.5,True,17.2,199,0.1
0 days 00:36:41.414000,9.5,74.2,1011.4,True,17.1,226,0.3
0 days 00:37:41.414000,9.4,74.4,1011.5,True,16.9,122,0.2
0 days 00:38:41.416000,9.6,75.6,1011.6,True,16.7,206,0.5
0 days 00:39:41.413000,9.6,76.8,1011.5,True,16.5,91,0.3
0 days 00:40:41.413000,9.8,76.5,1011.5,True,16.5,218,0.2
0 days 00:41:41.414000,9.7,74.8,1011.5,True,16.4,238,0.2
0 days 00:42:41.413000,9.6,75.9,1011.5,True,16.4,197,0.3
0 days 00:43:41.412000,9.7,74.0,1011.5,True,16.4,268,0.2
0 days 00:44:41.414000,9.7,74.7,1011.5,True,16.3,95,0.2
0 days 00:45:41.411000,9.7,74.9,1011.4,True,16.2,288,0.4
0 days 00:46:41.412000,9.7,73.2,1011.5,True,16.2,359,0.1
0 days 00:47:41.413000,9.8,74.3,1011.5,True,16.2,77,0.3
0 days 00:48:41.433000,9.9,72.5,1011.4,True,16.2,0,0.1
0 days 00:49:41.412000,9.9,72.5,1011.5,True,16.2,85,0.6
0 days 00:50:41.421000,10.0,72.2,1011.4,True,16.2,83,0.3
0 days 00:51:41.403000,10.0,71.3,1011.5,True,16.1,99,0.7
