Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:25.082000,29.4,54.6,991.9,False,37.5,103,1.3
0 days 00:01:25.067000,29.4,53.9,992.1,False,37.3,105,1.2
0 days 00:02:25.058000,29.5,53.5,992.1,False,37.3,116,1.0
0 days 00:03:25.067000,29.6,52.5,992.1,False,37.6,110,1.0
0 days 00:04:25.067000,29.8,52.2,992.0,False,38.4,103,0.9
0 days 00:05:25.068000,29.8,52.7,992.0,False,38.4,109,1.1
0 days 00:06:25.074000,29.9,52.9,992.0,False,38.3,93,0.9
0 days 00:07:25.068000,29.9,52.9,992.0,False,38.3,93,0.9
0 days 00:08:25.067000,29.8,53.0,992.0,False,37.9,113,1.3
0 days 00:09:25.067000,29.8,53.2,991.9,False,37.5,106,1.1
0 days 00:10:25.067000,29.7,54.1,991.9,False,37.3,106,1.5
0 days 00:11:25.068000,29.7,54.7,991.9,False,37.2,114,1.5
0 days 00:12:25.072000,29.7,54.9,991.8,False,37.1,108,1.4
0 days 00:13:25.081000,29.7,54.9,991.8,False,37.1,108,1.4
0 days 00:14:25.076000,29.9,54.6,991.9,False,37.6,107,1.3
0 days 00:15:25.081000,29.9,55.1,991.9,False,37.8,104,1.3
0 days 00:16:25.067000,29.9,55.2,991.8,False,37.8,115,1.0
0 days 00:17:25.067000,29.9,54.9,991.8,False,37.6,91,1.3
0 days 00:18:25.067000,29.8,55.0,991.8,False,36.7,105,1.2
0 days 00:19:25.068000,29.8,55.6,991.8,False,36.7,121,1.1
0 days 00:20:25.067000,29.7,54.2,992.0,False,36.4,118,1.2
0 days 00:21:25.067000,29.7,54.3,991.8,False,36.2,103,1.0
0 days 00:22:25.069000,29.6,55.0,991.8,False,36.1,105,1.1
0 days 00:23:25.067000,29.6,55.5,991.8,False,36.0,106,1.3
0 days 00:24:25.073000,29.7,54.9,991.9,False,36.1,111,1.0
0 days 00:25:25.069000,29.8,55.1,991.7,False,36.9,117,1.0
0 days 00:26:25.068000,29.9,54.9,991.8,False,37.3,108,1.5
0 days 00:27:25.069000,29.9,54.7,991.8,False,37.4,103,0.8
0 days 00:28:25.068000,30.1,54.4,991.8,False,37.4,94,1.3
0 days 00:29:25.072000,30.1,54.6,991.8,False,37.3,116,1.2
0 days 00:30:25.069000,30.0,55.0,991.9,False,37.2,133,1.1
0 days 00:31:25.072000,30.1,54.6,991.7,False,37.2,102,1.0
0 days 00:32:25.072000,30.1,54.3,991.8,False,37.5,149,1.3
0 days 00:33:25.068000,30.1,54.2,991.7,False,37.6,105,1.0
0 days 00:34:25.068000,30.0,53.9,991.7,False,37.7,106,1.2
0 days 00:35:25.078000,30.0,54.3,991.6,False,37.7,94,1.2
0 days 00:36:25.071000,29.9,54.4,991.6,False,37.5,92,1.6
0 days 00:37:25.067000,29.9,55.2,991.7,False,37.4,107,1.1
0 days 00:38:25.071000,29.7,55.1,991.7,False,36.9,112,0.9
