Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:58.886000,27.0,45.5,1019.0,False,39.9,324,0.4
0 days 00:01:58.888000,26.9,45.6,1019.0,False,39.5,283,0.4
0 days 00:02:58.890000,27.0,44.9,1018.9,False,39.6,316,0.2
0 days 00:03:58.885000,27.0,43.8,1018.8,False,39.8,135,0.2
0 days 00:04:58.886000,27.0,43.8,1018.9,False,39.8,304,0.3
0 days 00:05:58.888000,27.1,43.1,1018.9,False,39.8,77,0.2
0 days 00:06:58.886000,27.1,43.7,1018.8,False,39.6,349,0.3
0 days 00:07:58.887000,26.9,44.0,1019.0,False,39.5,331,0.5
0 days 00:08:58.886000,26.9,44.1,1018.8,False,39.6,88,0.1
0 days 00:09:58.889000,27.1,43.8,1018.9,False,39.6,279,0.3
0 days 00:10:58.886000,27.1,44.1,1018.7,False,39.0,11,0.3
0 days 00:11:58.888000,26.9,45.2,1018.8,False,39.0,285,0.5
0 days 00:12:58.886000,26.9,45.5,1018.9,False,38.7,296,0.3
0 days 00:13:58.904000,26.8,46.0,1018.9,False,38.6,342,0.4
0 days 00:14:58.887000,26.8,46.4,1018.8,False,38.8,24,0.5
0 days 00:15:58.887000,26.8,46.3,1018.9,False,38.8,322,0.3
0 days 00:16:58.886000,26.8,46.4,1018.8,False,39.1,352,0.5
0 days 00:17:58.888000,26.9,45.8,1018.8,False,39.4,284,0.5
0 days 00:18:58.935000,26.9,46.1,1018.7,False,39.4,351,0.5
0 days 00:19:58.888000,26.9,46.3,1018.8,False,39.3,303,0.4
0 days 00:20:58.888000,26.9,46.2,1018.9,False,39.2,8,0.4
0 days 00:21:58.889000,26.9,45.9,1018.7,False,39.2,320,0.5
0 days 00:22:58.889000,26.9,46.4,1018.7,False,39.3,318,0.4
0 days 00:23:58.888000,26.9,47.0,1018.6,False,39.3,143,0.8
0 days 00:24:58.924000,26.8,46.6,1018.7,False,39.1,276,0.4
0 days 00:25:58.890000,26.7,46.9,1018.8,False,39.1,294,0.3
0 days 00:26:58.893000,26.7,47.0,1018.7,False,39.1,347,0.7
0 days 00:27:58.887000,26.7,47.3,1018.7,False,39.1,301,0.5
0 days 00:28:58.886000,26.7,47.2,1018.8,False,39.3,344,0.6
0 days 00:29:58.889000,26.8,47.4,1018.8,False,39.3,309,0.8
0 days 00:30:58.890000,26.8,48.2,1018.7,False,39.0,297,0.6
0 days 00:31:58.890000,26.8,47.4,1018.7,False,39.0,288,0.4
0 days 00:32:58.891000,26.8,47.7,1018.7,False,39.0,306,0.5
0 days 00:33:58.888000,26.7,48.2,1018.7,False,39.0,344,0.7
0 days 00:34:58.887000,26.7,47.8,1018.7,False,39.0,293,0.3
0 days 00:35:58.887000,26.8,47.4,1018.6,False,39.2,223,0.3
0 days 00:36:58.889000,26.8,46.6,1018.5,False,38.7,270,0.2
0 days 00:37:58.889000,26.7,46.6,1018.5,False,38.7,270,0.2
0 days 00:38:58.888000,26.7,47.0,1018.7,False,38.6,2,0.5
0 days 00:39:58.888000,26.9,47.0,1018.7,False,38.6,2,0.5
0 days 00:40:58.887000,26.9,47.0,1018.7,False,38.8,309,0.6
0 days 00:41:58.892000,26.9,47.4,1018.7,False,38.9,14,0.6
0 days 00:42:58.888000,26.9,47.6,1018.8,False,38.9,283,0.6
0 days 00:43:58.894000,26.9,47.6,1018.8,False,38.9,283,0.6
0 days 00:44:58.887000,26.9,48.0,1018.5,False,38.9,299,0.8
0 days 00:45:58.889000,26.7,48.8,1018.6,False,38.5,287,0.7
0 days 00:46:58.885000,26.7,49.3,1018.7,False,38.5,294,0.5
0 days 00:47:58.892000,26.7,49.3,1018.7,False,38.5,294,0.5
0 days 00:48:58.891000,26.7,48.5,1018.7,False,38.8,266,0.6
0 days 00:49:58.888000,26.7,48.5,1018.7,False,38.8,266,0.6
0 days 00:50:58.885000,26.7,48.6,1018.7,False,38.5,302,0.4
0 days 00:51:58.887000,26.8,48.6,1018.7,False,38.5,302,0.4
0 days 00:52:58.898000,26.9,49.9,1018.7,False,38.4,312,0.5
0 days 00:53:58.889000,26.6,49.9,1018.7,False,38.4,312,0.5
0 days 00:54:58.886000,26.6,50.4,1018.6,False,38.2,353,0.3
0 days 00:55:58.887000,26.5,50.4,1018.6,False,38.2,353,0.3
0 days 00:56:58.886000,26.5,50.2,1018.5,False,38.4,298,0.3
0 days 00:57:58.894000,26.6,50.2,1018.5,False,38.4,298,0.3
0 days 00:58:58.920000,26.6,49.7,1018.7,False,38.4,7,0.5
0 days 00:59:58.956000,26.7,49.7,1018.6,False,38.1,290,0.5
0 days 01:00:58.951000,26.7,48.0,1018.7,False,38.3,344,0.5
0 days 01:01:58.953000,26.8,48.0,1018.7,False,38.3,344,0.5
0 days 01:02:58.952000,26.8,49.0,1018.7,False,38.0,279,0.8
0 days 01:03:58.966000,26.8,49.0,1018.7,False,38.0,279,0.8
0 days 01:04:58.981000,26.8,49.5,1018.8,False,37.9,359,0.6
0 days 01:05:58.991000,26.6,49.5,1018.8,False,37.9,359,0.6
0 days 01:06:58.984000,26.6,49.8,1018.6,False,37.7,287,0.8
0 days 01:07:58.998000,26.6,49.8,1018.6,False,37.7,287,0.8
0 days 01:08:59.002000,26.6,49.9,1018.7,False,37.6,299,0.6
0 days 01:09:59.012000,26.6,49.9,1018.7,False,37.6,299,0.6
0 days 01:10:59.015000,26.6,49.7,1018.6,False,37.6,46,0.4
0 days 01:11:59.011000,26.6,49.7,1018.6,False,37.6,46,0.4
0 days 01:12:59.014000,26.7,50.6,1018.7,False,37.0,304,0.6
0 days 01:13:59.013000,26.6,50.6,1018.7,False,37.0,304,0.6
0 days 01:14:59.014000,26.6,51.1,1018.6,False,36.2,298,0.5
0 days 01:15:59.016000,26.4,51.1,1018.6,False,36.2,298,0.5
0 days 01:16:59.013000,26.5,51.0,1018.6,False,35.7,262,0.5
0 days 01:17:59.016000,26.5,51.0,1018.6,False,35.7,262,0.5
0 days 01:18:59.014000,26.5,50.6,1018.6,False,35.9,294,0.6
0 days 01:19:59.014000,26.6,50.6,1018.6,False,35.9,294,0.6
0 days 01:20:59.016000,26.6,51.2,1018.6,False,36.5,314,0.6
