Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:58.963000,25.8,53.5,1018.6,False,31.2,314,0.3
0 days 00:01:58.963000,25.7,54.0,1018.5,False,31.2,287,0.3
0 days 00:02:58.962000,25.7,53.9,1018.6,False,31.0,300,0.4
0 days 00:03:58.968000,25.7,53.4,1018.6,False,30.9,309,0.3
0 days 00:04:58.961000,25.7,51.7,1018.5,False,30.8,307,0.5
0 days 00:05:58.961000,25.7,51.9,1018.6,False,30.8,289,0.3
0 days 00:06:58.981000,25.7,53.8,1018.6,False,30.6,282,0.4
0 days 00:07:58.996000,25.7,54.3,1018.5,False,30.6,274,0.3
0 days 00:08:59.010000,25.7,54.3,1018.5,False,30.6,277,0.2
0 days 00:09:59.008000,25.7,53.6,1018.6,False,30.6,275,0.5
0 days 00:10:59.010000,25.7,54.4,1018.5,False,30.6,286,0.3
0 days 00:11:59.017000,25.7,53.1,1018.5,False,30.5,296,0.4
0 days 00:12:59.024000,25.7,53.7,1018.5,False,30.1,308,0.5
0 days 00:13:59.024000,25.6,54.2,1018.6,False,30.1,287,0.3
0 days 00:14:59.043000,25.6,54.3,1018.5,False,30.1,314,0.3
0 days 00:15:59.057000,25.5,54.5,1018.5,False,30.1,313,0.5
0 days 00:16:59.073000,25.5,54.3,1018.5,False,30.0,296,0.4
0 days 00:17:59.088000,25.5,54.6,1018.6,False,29.9,287,0.3
0 days 00:18:59.089000,25.5,54.8,1018.5,False,29.9,290,0.3
0 days 00:19:59.090000,25.5,55.0,1018.5,False,29.9,273,0.5
0 days 00:20:59.090000,25.4,55.0,1018.5,False,29.9,301,0.5
0 days 00:21:59.089000,25.4,55.0,1018.5,False,29.9,301,0.5
0 days 00:22:59.091000,25.4,54.8,1018.5,False,29.9,285,0.4
0 days 00:23:59.087000,25.4,54.0,1018.6,False,29.9,333,0.5
0 days 00:24:59.089000,25.4,53.6,1018.6,False,29.9,318,0.4
0 days 00:25:59.092000,25.4,53.8,1018.6,False,29.9,277,0.4
0 days 00:26:59.089000,25.4,55.2,1018.5,False,29.6,291,0.4
0 days 00:27:59.087000,25.4,55.2,1018.5,False,29.6,291,0.4
0 days 00:28:59.094000,25.4,55.9,1018.5,False,29.5,325,0.3
0 days 00:29:59.091000,25.3,55.9,1018.6,False,29.4,349,0.3
0 days 00:30:59.089000,25.3,56.5,1018.5,False,29.3,299,0.3
0 days 00:31:59.088000,25.2,56.0,1018.6,False,29.4,313,0.2
0 days 00:32:59.087000,25.2,55.5,1018.6,False,29.4,283,0.2
0 days 00:33:59.091000,25.2,55.5,1018.6,False,29.4,283,0.2
0 days 00:34:59.094000,25.2,55.5,1018.5,False,29.3,294,0.4
0 days 00:35:59.091000,25.1,55.5,1018.5,False,29.3,294,0.4
0 days 00:36:59.090000,25.1,56.1,1018.5,False,29.3,274,0.5
0 days 00:37:59.089000,25.2,56.1,1018.5,False,29.3,274,0.5
0 days 00:38:59.091000,25.2,56.3,1018.6,False,29.3,289,0.4
0 days 00:39:59.087000,25.2,56.3,1018.6,False,29.3,289,0.4
0 days 00:40:59.087000,25.2,57.4,1018.6,False,29.0,291,0.3
0 days 00:41:59.092000,25.1,57.4,1018.6,False,29.0,291,0.3
0 days 00:42:59.090000,25.1,58.1,1018.7,False,28.9,340,0.2
0 days 00:43:59.105000,25.0,57.9,1018.7,False,29.0,278,0.3
0 days 00:44:59.103000,25.0,58.4,1018.6,False,28.8,305,0.3
0 days 00:45:59.153000,25.0,58.8,1018.6,False,28.7,306,0.2
0 days 00:46:59.134000,25.0,59.2,1018.6,False,28.7,289,0.2
0 days 00:47:59.134000,25.0,59.6,1018.6,False,28.8,279,0.2
0 days 00:48:59.136000,24.9,59.1,1018.6,False,28.7,278,0.3
0 days 00:49:59.139000,24.8,58.3,1018.6,False,28.9,274,0.4
0 days 00:50:59.141000,24.8,58.8,1018.6,False,28.7,278,0.3
0 days 00:51:59.137000,24.9,58.9,1018.6,False,28.8,275,0.4
0 days 00:52:59.139000,24.9,58.7,1018.6,False,28.8,310,0.3
0 days 00:53:59.134000,24.9,58.8,1018.7,False,28.8,324,0.2
0 days 00:54:59.135000,24.9,59.2,1018.7,False,28.4,288,0.2
0 days 00:55:59.142000,24.9,59.4,1018.7,False,28.4,306,0.1
0 days 00:56:59.165000,24.9,59.4,1018.7,False,28.4,291,0.3
0 days 00:57:59.166000,24.8,59.3,1018.8,False,28.4,291,0.2
0 days 00:58:59.183000,24.8,59.6,1018.7,False,28.2,278,0.2
0 days 00:59:59.216000,24.8,59.5,1018.7,False,28.2,285,0.3
0 days 01:00:59.215000,24.8,59.7,1018.7,False,28.6,291,0.3
0 days 01:01:59.214000,24.9,58.9,1018.7,False,28.6,295,0.3
0 days 01:02:59.212000,24.9,59.6,1018.7,False,28.6,302,0.3
0 days 01:03:59.214000,24.8,60.4,1018.8,False,28.1,278,0.2
0 days 01:04:59.206000,24.8,60.2,1018.8,False,28.0,278,0.3
0 days 01:05:59.214000,24.7,60.4,1018.8,False,28.0,305,0.3
0 days 01:06:59.220000,24.7,60.7,1018.8,False,28.0,307,0.2
0 days 01:07:59.215000,24.7,60.7,1018.7,False,28.0,323,0.3
0 days 01:08:59.217000,24.7,60.8,1018.8,False,28.1,307,0.3
0 days 01:09:59.214000,24.7,61.3,1018.8,False,28.1,323,0.2
0 days 01:10:59.215000,24.7,61.8,1018.8,False,28.1,273,0.3
0 days 01:11:59.213000,24.6,61.9,1018.8,False,28.1,289,0.3
0 days 01:12:59.215000,24.7,61.5,1018.9,False,28.1,295,0.3
0 days 01:13:59.215000,24.6,61.5,1018.8,False,28.2,332,0.3
0 days 01:14:59.214000,24.6,62.1,1018.8,False,27.9,346,0.2
0 days 01:15:59.213000,24.6,62.3,1018.7,False,27.7,359,0.2
0 days 01:16:59.234000,24.6,62.1,1018.8,False,27.7,303,0.2
0 days 01:17:59.232000,24.5,62.2,1018.8,False,27.8,330,0.2
0 days 01:18:59.241000,24.5,62.6,1018.8,False,27.8,277,0.2
0 days 01:19:59.245000,24.5,62.3,1018.8,False,27.8,278,0.3
0 days 01:20:59.244000,24.5,62.2,1018.8,False,27.8,284,0.3
