Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:32.684000,22.2,35.5,938.7,False,45.3,103,0.2
0 days 00:01:32.686000,22.3,34.6,938.6,False,45.4,9,0.3
0 days 00:02:32.707000,22.3,34.2,938.5,False,45.7,223,0.1
0 days 00:03:32.715000,22.4,33.3,938.6,False,45.8,88,0.0
0 days 00:04:32.684000,22.6,33.4,938.6,False,46.2,86,0.4
0 days 00:05:32.683000,22.8,33.3,938.6,False,46.2,122,0.1
0 days 00:06:32.684000,22.8,33.1,938.6,False,45.6,95,0.2
0 days 00:07:32.684000,22.7,33.9,938.5,False,45.5,69,0.2
0 days 00:08:32.686000,22.8,32.9,938.6,False,45.5,95,0.3
0 days 00:09:32.682000,22.7,32.8,938.5,False,45.5,93,0.2
0 days 00:10:32.686000,22.7,32.3,938.5,False,45.2,10,0.0
0 days 00:11:32.687000,22.8,32.5,938.5,False,45.4,166,0.1
0 days 00:12:32.684000,22.9,32.5,938.5,False,45.4,263,0.2
0 days 00:13:32.683000,22.7,33.7,938.5,False,45.2,70,0.2
0 days 00:14:32.684000,22.6,33.9,938.6,False,45.2,83,0.5
0 days 00:15:32.686000,22.4,34.4,938.5,False,45.2,71,0.3
0 days 00:16:32.687000,22.3,35.2,938.5,False,45.1,0,0.2
0 days 00:17:32.683000,22.3,34.8,938.5,False,45.1,27,0.0
0 days 00:18:32.690000,22.3,34.7,938.3,False,45.4,134,0.1
0 days 00:19:32.682000,22.5,34.2,938.3,False,45.5,86,0.2
0 days 00:20:32.728000,22.7,32.8,938.4,False,46.1,83,0.1
0 days 00:21:32.685000,22.9,32.4,938.3,False,46.3,125,0.3
0 days 00:22:32.685000,23.0,32.4,938.3,False,46.3,348,0.1
0 days 00:23:32.682000,23.0,32.8,938.3,False,46.5,239,0.1
0 days 00:24:32.684000,23.0,33.5,938.3,False,46.5,131,0.1
0 days 00:25:32.683000,23.0,32.8,938.4,False,46.5,274,0.1
0 days 00:26:32.682000,23.1,32.8,938.4,False,46.5,274,0.1
0 days 00:27:32.699000,23.2,32.8,938.4,False,46.5,274,0.1
0 days 00:28:32.699000,22.4,32.8,938.4,False,46.5,274,0.1
0 days 00:29:32.705000,22.2,32.8,938.4,False,46.5,274,0.1
0 days 00:30:32.729000,22.2,32.7,938.2,False,47.1,41,0.3
0 days 00:31:32.733000,22.9,33.4,938.2,False,47.1,81,0.6
0 days 00:32:32.731000,22.9,33.9,938.2,False,46.6,35,0.5
0 days 00:33:32.751000,22.9,34.3,938.2,False,46.8,82,0.5
0 days 00:34:32.740000,23.0,33.3,938.2,False,46.9,82,0.9
0 days 00:35:32.752000,22.8,33.4,938.2,False,46.7,85,0.7
0 days 00:36:32.752000,22.5,34.6,938.1,False,46.7,82,0.5
0 days 00:37:32.748000,22.5,34.4,938.2,False,46.6,74,0.7
0 days 00:38:32.752000,22.7,34.1,938.0,False,46.9,92,0.5
0 days 00:39:32.767000,22.9,35.1,938.1,False,47.0,57,0.5
0 days 00:40:32.762000,23.0,33.5,938.1,False,47.4,37,0.8
0 days 00:41:32.777000,22.8,33.9,938.1,False,48.0,11,0.8
0 days 00:42:32.777000,22.8,35.1,938.0,False,48.1,93,0.7
0 days 00:43:32.778000,22.8,35.0,938.0,False,47.9,79,0.7
0 days 00:44:32.778000,23.0,33.5,938.1,False,47.9,79,0.6
0 days 00:45:32.777000,23.3,33.3,938.1,False,48.3,82,0.9
0 days 00:46:32.776000,23.4,31.8,937.9,False,48.4,94,1.3
0 days 00:47:32.777000,23.4,32.6,938.0,False,48.1,86,0.9
0 days 00:48:32.794000,23.5,32.4,938.1,False,47.7,91,1.0
0 days 00:49:32.809000,23.4,32.7,938.0,False,47.9,97,0.7
0 days 00:50:32.829000,23.2,32.3,938.0,False,48.0,124,0.4
0 days 00:51:32.807000,23.1,32.8,938.0,False,48.3,88,0.2
0 days 00:52:32.809000,22.9,32.7,938.0,False,48.0,190,0.3
0 days 00:53:32.818000,23.0,33.0,937.9,False,48.5,202,0.1
0 days 00:54:32.808000,23.2,32.9,937.9,False,48.5,99,0.1
0 days 00:55:32.808000,23.3,32.0,938.0,False,48.7,78,0.3
0 days 00:56:32.809000,23.3,30.9,937.9,False,49.2,35,0.4
0 days 00:57:32.809000,23.1,32.4,937.9,False,49.3,71,0.3
0 days 00:58:32.811000,23.1,32.3,937.9,False,49.4,29,0.3
0 days 00:59:32.809000,22.9,32.7,937.9,False,49.1,36,0.4
0 days 01:00:32.808000,22.9,33.8,937.9,False,49.6,46,0.5
0 days 01:01:32.816000,23.2,32.6,937.9,False,49.8,75,0.6
0 days 01:02:32.815000,23.3,32.9,937.8,False,49.5,84,0.6
0 days 01:03:32.810000,23.5,33.3,937.8,False,49.5,88,0.3
0 days 01:04:32.809000,23.6,32.4,937.9,False,49.5,79,0.9
0 days 01:05:32.809000,23.7,32.1,937.8,False,49.6,78,0.8
0 days 01:06:32.810000,23.5,31.7,937.7,False,49.7,92,0.9
0 days 01:07:32.812000,23.4,32.2,937.8,False,49.8,80,1.1
0 days 01:08:32.808000,23.4,31.7,937.8,False,49.8,80,0.5
0 days 01:09:32.808000,23.4,32.5,937.7,False,49.6,107,0.4
0 days 01:10:32.811000,23.4,32.5,937.7,False,49.6,107,0.4
0 days 01:11:32.808000,23.6,30.6,937.7,False,50.5,84,0.1
0 days 01:12:32.810000,23.9,30.6,937.7,False,50.5,84,0.1
0 days 01:13:32.807000,23.8,29.9,937.7,False,51.0,309,0.3
0 days 01:14:32.811000,23.9,29.9,937.7,False,51.0,309,0.3
0 days 01:15:32.809000,23.9,29.5,937.8,False,51.1,84,0.6
0 days 01:16:32.811000,24.0,29.5,937.8,False,51.1,84,0.6
0 days 01:17:32.807000,23.8,31.2,937.7,False,50.5,89,0.8
0 days 01:18:32.808000,23.7,31.2,937.7,False,50.5,89,0.8
