Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:42.989000,13.3,93.9,970.6,False,15.5,348,0.5
0 days 00:01:42.989000,13.3,93.8,970.6,False,15.6,326,0.3
0 days 00:02:42.989000,13.4,93.7,970.6,False,15.8,319,0.5
0 days 00:03:42.991000,13.4,93.1,970.6,False,15.8,333,0.4
0 days 00:04:42.988000,13.3,93.1,970.6,False,15.8,333,0.4
0 days 00:05:42.989000,13.3,93.1,970.6,False,15.8,333,0.4
0 days 00:06:42.990000,13.3,93.1,970.6,False,15.8,333,0.4
0 days 00:07:42.990000,13.3,93.1,970.6,False,15.8,333,0.4
0 days 00:08:42.996000,13.3,93.1,970.6,False,15.8,333,0.4
0 days 00:09:42.991000,13.3,93.1,970.6,False,15.8,333,0.4
0 days 00:10:42.988000,13.3,93.1,970.6,False,15.8,333,0.4
0 days 00:11:42.990000,13.4,93.1,970.6,False,15.8,333,0.4
0 days 00:12:42.995000,13.5,93.1,970.6,False,15.8,333,0.4
0 days 00:13:42.980000,13.5,93.1,970.6,False,15.8,333,0.4
0 days 00:14:42.988000,13.5,93.1,970.6,False,15.8,333,0.4
0 days 00:15:43,13.5,93.1,970.6,False,15.8,333,0.4
0 days 00:16:42.991000,13.6,93.1,970.6,False,15.8,333,0.4
0 days 00:17:42.994000,13.6,93.1,970.6,False,15.8,333,0.4
0 days 00:18:42.989000,13.7,93.1,970.6,False,15.8,333,0.4
0 days 00:19:43.005000,13.8,93.1,970.6,False,15.8,333,0.4
0 days 00:20:43.010000,13.8,93.1,970.6,False,15.8,333,0.4
0 days 00:21:43.006000,13.9,93.1,970.6,False,15.8,333,0.4
0 days 00:22:43.024000,13.8,93.1,970.6,False,15.8,333,0.4
0 days 00:23:43.037000,13.9,93.1,970.6,False,15.8,333,0.4
0 days 00:24:43.048000,14.0,93.1,970.6,False,15.8,333,0.4
0 days 00:25:43.038000,13.9,93.1,970.6,False,15.8,333,0.4
0 days 00:26:43.064000,14.0,93.1,970.6,False,15.8,333,0.4
0 days 00:27:43.068000,14.0,93.1,970.6,False,15.8,333,0.4
0 days 00:28:43.069000,13.9,93.1,970.6,False,15.8,333,0.4
0 days 00:29:43.070000,13.9,93.1,970.6,False,15.8,333,0.4
0 days 00:30:43.066000,14.0,93.1,970.6,False,15.8,333,0.4
0 days 00:31:43.068000,13.8,93.1,970.6,False,15.8,333,0.4
0 days 00:32:43.070000,13.9,93.1,970.6,False,15.8,333,0.4
0 days 00:33:43.085000,14.0,93.1,970.6,False,15.8,333,0.4
0 days 00:34:43.085000,14.0,93.1,970.6,False,15.8,333,0.4
0 days 00:35:43.062000,13.9,93.1,970.6,False,15.8,333,0.4
0 days 00:36:43.072000,13.9,93.1,970.6,False,15.8,333,0.4
0 days 00:37:43.083000,13.9,93.1,970.6,False,15.8,333,0.4
0 days 00:38:43.067000,13.9,93.1,970.6,False,15.8,333,0.4
0 days 00:39:43.069000,13.9,93.1,970.6,False,15.8,333,0.4
0 days 00:40:43.095000,13.9,93.1,970.6,False,15.8,333,0.4
0 days 00:41:43.068000,13.9,93.1,970.6,False,15.8,333,0.4
0 days 00:42:43.067000,13.9,93.1,970.6,False,15.8,333,0.4
0 days 00:43:43.069000,13.9,93.1,970.6,False,15.8,333,0.4
0 days 00:44:43.072000,13.9,93.5,970.7,False,15.9,340,0.3
0 days 00:45:43.070000,13.9,93.5,970.7,False,15.9,340,0.3
0 days 00:46:43.073000,14.0,91.2,970.6,True,16.5,356,0.7
0 days 00:47:43.070000,14.1,91.2,970.6,True,16.5,356,0.7
0 days 00:48:43.067000,14.1,92.0,970.6,True,16.2,324,0.5
0 days 00:49:43.066000,14.1,92.0,970.6,True,16.2,324,0.5
0 days 00:50:43.069000,14.1,92.5,970.5,True,15.8,318,0.4
0 days 00:51:43.073000,14.0,92.0,970.6,True,15.7,321,0.6
0 days 00:52:43.069000,13.9,92.3,970.6,False,15.8,339,0.6
0 days 00:53:43.067000,13.9,92.3,970.6,False,15.8,339,0.6
0 days 00:54:43.068000,13.9,92.4,970.6,False,15.9,301,0.5
0 days 00:55:43.070000,13.9,92.8,970.6,False,16.0,4,0.5
0 days 00:56:43.074000,13.9,92.8,970.6,False,16.0,342,0.3
0 days 00:57:43.068000,13.9,92.9,970.5,False,16.2,310,0.3
0 days 00:58:43.072000,14.0,92.6,970.5,False,16.9,222,0.3
0 days 00:59:43.067000,14.0,93.1,970.5,False,17.0,359,0.2
0 days 01:00:43.069000,14.1,93.6,970.5,False,17.1,354,0.3
0 days 01:01:43.072000,14.1,93.0,970.6,False,17.3,323,0.6
0 days 01:02:43.068000,14.1,91.5,970.6,False,18.3,311,0.8
0 days 01:03:43.069000,14.1,92.5,970.6,False,18.6,338,0.4
0 days 01:04:43.079000,14.4,93.3,970.6,False,18.8,251,0.2
0 days 01:05:43.068000,14.4,91.9,970.6,False,19.0,289,0.2
0 days 01:06:43.067000,14.6,90.9,970.6,False,19.1,327,0.3
0 days 01:07:43.072000,14.6,90.8,970.6,False,18.7,310,0.5
0 days 01:08:43.070000,14.5,90.5,970.7,False,18.4,311,0.3
0 days 01:09:43.069000,14.6,90.4,970.6,False,18.3,306,0.5
0 days 01:10:43.069000,14.7,91.4,970.6,False,18.3,335,0.3
0 days 01:11:43.069000,14.7,89.9,970.6,True,18.8,340,0.4
0 days 01:12:43.068000,14.6,89.7,970.5,True,19.3,310,0.4
0 days 01:13:43.068000,14.7,90.3,970.7,True,19.1,314,0.4
0 days 01:14:43.068000,14.7,89.2,970.7,True,18.8,333,0.7
0 days 01:15:43.082000,14.7,89.8,970.5,True,17.9,341,0.1
0 days 01:16:43.069000,14.6,90.2,970.5,True,17.9,292,0.4
