Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:10.828000,14.6,93.0,970.6,True,17.5,313,0.5
0 days 00:01:10.820000,14.5,93.4,970.7,True,17.5,329,0.4
0 days 00:02:10.830000,14.5,93.0,970.6,True,17.4,326,0.3
0 days 00:03:10.820000,14.5,93.6,970.7,True,17.4,333,0.3
0 days 00:04:10.835000,14.4,93.3,970.7,True,17.2,330,0.3
0 days 00:05:10.835000,14.3,94.0,970.8,True,17.1,342,0.3
0 days 00:06:10.852000,14.4,93.9,970.8,True,17.0,345,0.3
0 days 00:07:10.868000,14.4,94.2,970.9,True,16.9,342,0.3
0 days 00:08:10.874000,14.3,94.2,970.9,True,16.6,353,0.4
0 days 00:09:10.886000,14.3,93.8,970.9,True,16.6,337,0.3
0 days 00:10:10.902000,14.2,93.9,970.9,True,16.4,297,0.5
0 days 00:11:10.913000,14.1,94.1,970.9,True,16.5,342,0.8
0 days 00:12:10.915000,14.0,94.1,970.9,True,16.5,342,0.8
0 days 00:13:10.916000,14.0,94.0,970.8,True,16.8,337,1.0
0 days 00:14:10.914000,13.9,94.0,970.8,True,16.8,337,0.4
0 days 00:15:10.928000,13.8,94.0,970.8,True,16.8,337,0.4
0 days 00:16:10.944000,13.8,94.1,970.8,True,17.1,334,0.4
0 days 00:17:10.960000,13.8,94.1,970.8,True,17.1,334,0.4
0 days 00:18:10.949000,13.8,93.8,970.8,True,17.4,342,0.5
0 days 00:19:10.958000,13.8,93.6,970.8,True,17.4,348,0.6
0 days 00:20:10.951000,13.8,93.5,970.9,False,17.6,326,0.6
0 days 00:21:10.953000,13.9,93.6,970.8,False,17.8,339,0.6
0 days 00:22:10.946000,13.9,94.0,970.8,False,18.1,306,0.6
0 days 00:23:10.947000,14.0,93.7,970.7,False,18.1,302,0.8
0 days 00:24:10.944000,14.0,93.5,970.7,False,18.0,299,0.9
0 days 00:25:10.950000,14.1,93.9,970.8,False,18.0,332,0.5
0 days 00:26:10.949000,14.1,93.7,970.8,False,18.0,323,0.8
0 days 00:27:10.946000,14.1,93.0,970.9,False,18.0,314,1.0
0 days 00:28:10.947000,14.2,93.7,970.8,False,18.3,317,0.6
0 days 00:29:10.951000,14.3,93.3,970.8,False,18.6,5,0.6
0 days 00:30:10.946000,14.3,93.5,970.9,False,18.7,308,0.3
0 days 00:31:10.948000,14.4,93.3,970.9,False,19.4,351,0.6
0 days 00:32:10.947000,14.6,92.1,970.9,False,19.5,345,0.5
0 days 00:33:10.951000,14.6,92.1,970.8,False,19.5,6,0.3
0 days 00:34:10.946000,14.7,93.6,970.8,False,19.5,136,0.3
0 days 00:35:10.948000,14.8,93.1,970.9,False,19.2,334,0.4
0 days 00:36:10.953000,14.9,92.1,970.9,False,19.0,316,0.6
0 days 00:37:10.947000,14.9,91.2,970.9,False,19.0,345,0.6
0 days 00:38:10.951000,14.8,91.9,970.9,False,19.0,327,0.5
0 days 00:39:10.944000,14.8,91.8,970.7,False,18.9,312,0.5
0 days 00:40:10.946000,14.8,92.1,970.9,False,18.8,308,0.3
0 days 00:41:10.954000,14.8,91.6,970.8,False,18.7,333,0.4
0 days 00:42:10.947000,14.7,93.0,970.9,False,18.5,313,0.3
0 days 00:43:10.947000,14.7,92.5,970.8,False,18.5,241,0.2
0 days 00:44:10.945000,14.7,93.0,970.8,False,18.8,190,0.2
0 days 00:45:10.944000,14.8,91.5,970.8,False,19.0,353,0.6
0 days 00:46:10.944000,14.7,91.6,970.9,False,19.1,257,0.5
0 days 00:47:10.946000,14.6,92.7,970.9,False,19.0,20,0.4
0 days 00:48:10.947000,14.7,91.8,970.8,False,18.8,307,0.4
0 days 00:49:10.954000,14.7,92.0,970.9,False,18.8,342,0.5
0 days 00:50:10.946000,14.8,92.0,970.8,False,18.8,300,0.3
0 days 00:51:10.948000,14.8,91.7,970.9,False,18.9,318,0.6
0 days 00:52:10.957000,14.8,90.5,970.9,False,18.9,310,0.8
0 days 00:53:10.945000,14.7,90.6,970.8,False,18.7,319,0.4
0 days 00:54:10.951000,14.6,90.8,970.8,False,18.7,357,0.5
0 days 00:55:10.952000,14.7,90.9,970.8,False,18.8,311,0.3
0 days 00:56:10.936000,14.7,90.9,971.0,False,18.8,354,0.1
0 days 00:57:10.962000,14.8,90.3,970.9,False,18.6,329,0.2
0 days 00:58:10.960000,14.9,90.5,970.8,False,18.6,276,0.6
0 days 00:59:10.963000,14.9,90.5,970.9,False,18.4,353,0.3
0 days 01:00:10.979000,14.9,91.0,971.0,False,18.2,320,0.7
0 days 01:01:11.009000,15.0,90.2,970.9,False,18.2,321,0.5
0 days 01:02:10.995000,14.9,90.6,971.0,False,18.1,301,0.5
0 days 01:03:10.993000,14.9,90.1,970.9,False,17.9,0,0.3
0 days 01:04:10.992000,14.9,89.8,970.9,False,17.8,323,0.5
0 days 01:05:10.996000,14.8,90.3,970.9,False,17.7,328,0.9
0 days 01:06:10.996000,14.9,91.1,971.0,False,17.4,339,0.3
0 days 01:07:11.011000,14.9,91.2,970.9,False,17.4,334,0.5
0 days 01:08:11.024000,14.8,91.4,971.0,False,17.3,287,0.5
0 days 01:09:11.045000,14.8,91.4,971.0,False,17.4,304,0.4
0 days 01:10:11.039000,14.7,91.2,971.0,True,17.4,331,0.6
0 days 01:11:11.050000,14.8,92.0,971.1,True,17.2,329,0.7
0 days 01:12:11.044000,14.7,92.1,971.1,True,17.0,311,0.8
0 days 01:13:11.040000,14.6,92.4,970.9,True,16.8,329,0.5
0 days 01:14:11.056000,14.5,92.7,971.1,True,16.7,336,0.6
0 days 01:15:11.070000,14.3,92.7,971.1,True,16.7,336,0.6
0 days 01:16:11.074000,14.3,93.0,971.1,True,16.8,346,0.6
0 days 01:17:11.131000,14.3,93.0,971.1,True,16.8,346,0.6
0 days 01:18:11.072000,14.2,93.6,970.9,True,16.6,313,0.3
0 days 01:19:11.073000,14.2,93.7,970.9,True,16.6,308,0.1
0 days 01:20:11.073000,14.2,93.9,970.8,True,16.6,326,0.1
0 days 01:21:11.073000,14.1,93.8,970.9,False,16.6,328,0.6
0 days 01:22:11.072000,14.1,93.9,970.8,False,16.6,308,0.5
0 days 01:23:11.095000,14.0,94.2,970.8,False,16.8,335,0.8
0 days 01:24:11.070000,14.0,94.1,970.9,False,16.8,314,0.8
0 days 01:25:11.071000,14.0,94.1,970.7,False,16.9,309,0.8
0 days 01:26:11.070000,14.0,94.0,970.9,False,17.0,326,0.8
0 days 01:27:11.070000,14.0,94.2,971.0,False,17.0,342,0.7
0 days 01:28:11.070000,14.0,94.3,970.8,False,17.0,312,0.4
0 days 01:29:11.078000,14.1,94.2,970.9,False,17.0,328,0.6
0 days 01:30:11.071000,14.1,94.2,970.8,False,17.1,311,0.6
0 days 01:31:11.070000,14.1,93.6,971.0,False,17.2,323,0.7
0 days 01:32:11.071000,14.1,93.9,970.9,False,17.2,321,0.6
