Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:16.061000,12.5,95.6,970.8,True,14.7,316,0.9
0 days 00:01:16.061000,12.5,95.5,970.8,True,14.8,345,0.5
0 days 00:02:16.063000,12.5,95.4,970.8,True,14.9,332,0.7
0 days 00:03:16.062000,12.5,95.4,970.8,True,14.9,332,0.7
0 days 00:04:16.058000,12.5,95.4,970.9,True,14.9,332,0.5
0 days 00:05:16.061000,12.4,95.8,970.8,True,14.9,327,0.5
0 days 00:06:16.066000,12.5,95.8,970.8,True,14.9,327,0.5
0 days 00:07:16.067000,12.5,95.3,970.8,True,14.9,321,0.9
0 days 00:08:16.061000,12.5,95.3,970.8,False,14.9,343,0.8
0 days 00:09:16.061000,12.5,95.3,970.8,False,14.8,297,0.7
0 days 00:10:16.062000,12.4,95.3,970.8,False,14.8,297,0.7
0 days 00:11:16.065000,12.4,95.2,970.8,False,14.7,342,0.6
0 days 00:12:16.065000,12.5,95.2,970.8,False,14.7,342,0.6
0 days 00:13:16.077000,12.4,95.2,970.8,False,14.7,323,0.8
0 days 00:14:16.063000,12.5,95.6,970.7,False,14.7,335,0.7
0 days 00:15:16.063000,12.5,95.4,970.8,False,14.6,337,0.8
0 days 00:16:16.061000,12.4,95.7,970.9,False,14.5,336,0.4
0 days 00:17:16.062000,12.4,95.6,970.7,False,14.5,335,0.5
0 days 00:18:16.070000,12.4,95.7,970.7,True,14.5,3,0.5
0 days 00:19:16.077000,12.4,95.7,970.8,True,14.5,329,0.3
0 days 00:20:16.078000,12.5,96.1,970.8,True,14.5,9,0.4
0 days 00:21:16.094000,12.5,95.6,970.8,True,14.6,314,0.2
0 days 00:22:16.110000,12.5,95.9,970.7,True,14.5,341,0.4
0 days 00:23:16.109000,12.4,95.7,970.7,True,14.5,338,0.5
0 days 00:24:16.112000,12.5,95.7,970.8,True,14.6,340,0.7
0 days 00:25:16.124000,12.5,95.8,970.7,True,14.6,337,0.6
0 days 00:26:16.124000,12.5,95.6,970.7,True,14.6,349,0.6
0 days 00:27:16.137000,12.6,95.9,970.8,True,14.7,6,0.5
0 days 00:28:16.125000,12.6,96.0,970.7,True,14.7,301,0.3
0 days 00:29:16.141000,12.7,96.0,970.7,True,14.7,301,0.3
0 days 00:30:16.177000,12.7,96.0,970.7,True,14.7,301,0.3
0 days 00:31:16.156000,12.7,96.0,970.7,True,14.7,301,0.3
0 days 00:32:16.157000,12.6,96.0,970.7,True,14.7,301,0.3
0 days 00:33:16.173000,12.6,95.7,970.7,True,14.7,3,0.5
0 days 00:34:16.188000,12.6,96.3,970.8,True,14.7,339,0.5
0 days 00:35:16.188000,12.7,96.2,970.8,True,14.8,346,0.7
0 days 00:36:16.186000,12.7,96.4,970.6,True,14.8,331,0.4
0 days 00:37:16.198000,12.8,96.0,970.7,True,14.9,332,0.5
0 days 00:38:16.201000,12.7,96.0,970.7,True,14.9,332,0.5
0 days 00:39:16.197000,12.7,96.4,970.6,True,14.9,336,0.7
0 days 00:40:16.186000,12.7,96.4,970.6,True,14.9,336,0.7
0 days 00:41:16.188000,12.7,96.3,970.8,True,15.0,347,0.9
0 days 00:42:16.188000,12.8,96.3,970.6,True,15.0,337,0.8
0 days 00:43:16.189000,12.8,96.1,970.6,True,14.9,350,0.8
0 days 00:44:16.187000,12.7,96.1,970.6,True,14.9,350,0.8
0 days 00:45:16.188000,12.7,96.1,970.6,True,15.1,322,0.6
0 days 00:46:16.196000,12.7,96.1,970.6,True,15.1,322,0.6
0 days 00:47:16.201000,12.7,96.0,970.7,True,15.2,342,0.6
0 days 00:48:16.188000,12.7,96.2,970.7,True,15.2,264,0.7
0 days 00:49:16.189000,12.7,96.7,970.6,True,15.2,344,0.5
0 days 00:50:16.189000,12.7,96.7,970.6,True,15.2,344,0.5
0 days 00:51:16.187000,12.8,95.8,970.7,True,15.4,327,0.7
0 days 00:52:16.193000,12.7,95.8,970.7,True,15.4,327,0.7
0 days 00:53:16.193000,12.7,96.2,970.7,True,15.3,319,0.6
0 days 00:54:16.205000,12.8,96.2,970.7,True,15.3,319,0.6
0 days 00:55:16.189000,12.8,96.4,970.6,True,15.3,341,0.7
0 days 00:56:16.190000,12.8,96.5,970.5,True,15.3,342,0.6
0 days 00:57:16.186000,12.8,96.1,970.6,True,15.4,345,0.7
0 days 00:58:16.189000,12.8,96.1,970.6,True,15.4,345,0.7
0 days 00:59:16.189000,12.8,96.2,970.6,True,15.4,290,0.4
0 days 01:00:16.187000,12.9,96.4,970.7,True,15.4,358,0.4
0 days 01:01:16.189000,12.9,95.5,970.5,True,15.4,347,1.0
0 days 01:02:16.187000,12.8,96.1,970.6,True,15.5,343,0.6
0 days 01:03:16.189000,12.8,96.0,970.7,True,15.2,326,0.7
0 days 01:04:16.188000,12.7,96.0,970.6,True,15.2,328,0.8
0 days 01:05:16.190000,12.7,96.1,970.6,True,15.2,331,0.7
0 days 01:06:16.200000,12.7,96.5,970.6,True,15.2,329,0.6
0 days 01:07:16.197000,12.7,96.2,970.6,True,15.2,349,0.5
0 days 01:08:16.198000,12.8,95.8,970.5,True,15.2,329,0.5
0 days 01:09:16.203000,12.8,96.6,970.5,True,15.3,304,0.4
0 days 01:10:16.201000,12.8,95.9,970.5,True,15.3,356,0.6
