Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:21.289000,30.0,39.0,985.6,False,50.8,341,0.2
0 days 00:01:21.287000,30.0,38.4,985.7,False,51.2,306,0.3
0 days 00:02:21.294000,30.1,38.4,985.7,False,51.2,306,0.3
0 days 00:03:21.287000,30.1,38.2,985.6,False,51.8,255,0.5
0 days 00:04:21.287000,30.1,38.2,985.6,False,51.8,255,0.5
0 days 00:05:21.287000,30.2,37.2,985.4,False,51.8,91,0.3
0 days 00:06:21.287000,30.3,37.2,985.4,False,51.8,91,0.3
0 days 00:07:21.287000,30.4,37.0,985.5,False,52.4,91,0.3
0 days 00:08:21.288000,30.5,37.0,985.5,False,52.4,91,0.3
0 days 00:09:21.289000,30.5,37.5,985.5,False,53.0,83,0.3
0 days 00:10:21.286000,30.5,37.5,985.5,False,53.0,83,0.3
0 days 00:11:21.294000,30.5,38.4,985.4,False,52.6,0,0.5
0 days 00:12:21.290000,30.4,38.4,985.4,False,52.6,0,0.5
0 days 00:13:21.277000,30.4,38.4,985.5,False,52.6,123,0.0
0 days 00:14:21.289000,30.5,38.4,985.5,False,52.6,123,0.0
0 days 00:15:21.288000,30.5,37.5,985.4,False,53.4,173,0.4
0 days 00:16:21.289000,30.4,37.5,985.4,False,53.4,173,0.4
0 days 00:17:21.290000,30.4,37.1,985.5,False,53.0,100,0.5
0 days 00:18:21.287000,30.3,37.1,985.5,False,53.0,100,0.5
0 days 00:19:21.294000,30.4,37.2,985.4,False,53.0,129,0.6
0 days 00:20:21.287000,30.2,37.2,985.4,False,53.0,129,0.6
0 days 00:21:21.287000,30.2,36.6,985.3,False,53.4,88,0.4
0 days 00:22:21.290000,30.3,36.6,985.3,False,53.4,88,0.4
0 days 00:23:21.288000,30.3,37.1,985.4,False,53.8,108,0.3
0 days 00:24:21.288000,30.6,37.1,985.4,False,53.8,108,0.3
0 days 00:25:21.290000,30.6,36.0,985.3,False,54.3,159,0.5
0 days 00:26:21.287000,30.8,36.0,985.3,False,54.3,159,0.5
0 days 00:27:21.305000,30.7,37.9,985.3,False,54.0,144,0.5
0 days 00:28:21.292000,30.8,37.9,985.3,False,54.0,144,0.5
0 days 00:29:21.299000,30.8,37.0,985.3,False,55.2,143,0.7
0 days 00:30:21.296000,30.8,37.0,985.3,False,55.2,143,0.7
0 days 00:31:21.289000,30.8,36.6,985.2,False,55.1,123,0.4
0 days 00:32:21.298000,30.8,36.6,985.2,False,55.1,123,0.4
0 days 00:33:21.293000,30.8,37.5,985.3,False,55.0,262,0.4
0 days 00:34:21.316000,30.6,37.5,985.3,False,55.0,262,0.4
0 days 00:35:21.289000,30.6,36.5,985.3,False,55.3,259,0.3
0 days 00:36:21.290000,30.6,36.5,985.3,False,55.3,259,0.3
0 days 00:37:21.288000,30.6,36.7,985.3,False,55.2,122,0.3
0 days 00:38:21.291000,30.9,36.7,985.3,False,55.2,122,0.3
0 days 00:39:21.288000,30.9,36.6,985.3,False,55.6,0,0.4
0 days 00:40:21.291000,30.9,36.6,985.3,False,55.6,0,0.4
0 days 00:41:21.290000,30.9,35.9,985.3,False,56.4,89,0.3
0 days 00:42:21.290000,31.0,35.9,985.3,False,56.4,89,0.3
0 days 00:43:21.291000,31.0,35.3,985.3,False,56.9,186,0.6
0 days 00:44:21.289000,30.9,35.3,985.3,False,56.9,186,0.6
0 days 00:45:21.291000,30.9,38.0,985.2,False,55.6,223,0.3
0 days 00:46:21.296000,31.1,38.0,985.2,False,55.6,223,0.3
0 days 00:47:21.297000,31.1,36.3,985.1,False,56.8,109,0.7
0 days 00:48:21.290000,31.0,36.3,985.1,False,56.8,109,0.7
0 days 00:49:21.589000,31.0,36.2,985.1,False,56.8,132,0.2
0 days 00:50:21.291000,31.0,36.2,985.1,False,56.8,132,0.2
0 days 00:51:21.290000,31.1,36.9,985.1,False,57.2,129,0.6
0 days 00:52:21.290000,31.1,36.9,985.1,False,57.2,129,0.6
0 days 00:53:21.289000,31.1,36.3,985.2,False,56.6,115,0.5
0 days 00:54:21.291000,30.7,36.3,985.2,False,56.6,115,0.5
0 days 00:55:21.290000,30.7,36.3,985.1,False,57.1,124,0.4
0 days 00:56:21.290000,30.9,36.3,985.1,False,57.1,124,0.4
0 days 00:57:21.297000,30.9,35.9,985.1,False,57.7,138,0.3
0 days 00:58:21.290000,31.1,35.9,985.1,False,57.7,138,0.3
0 days 00:59:21.289000,31.1,36.4,985.1,False,57.4,150,0.1
0 days 01:00:21.289000,31.0,36.4,985.1,False,57.4,150,0.1
0 days 01:01:21.298000,31.1,36.3,985.0,False,57.8,211,0.1
0 days 01:02:21.290000,31.2,36.3,985.0,False,57.8,211,0.1
0 days 01:03:21.293000,31.2,36.6,985.1,False,57.8,304,0.5
0 days 01:04:21.291000,30.8,36.6,985.1,False,57.8,304,0.5
0 days 01:05:21.292000,30.8,36.6,985.0,False,58.5,243,0.3
0 days 01:06:21.291000,31.0,36.6,985.0,False,58.5,243,0.3
0 days 01:07:21.290000,31.0,36.8,985.0,False,58.8,0,0.3
0 days 01:08:21.289000,31.3,36.8,985.0,False,58.8,0,0.3
0 days 01:09:21.289000,31.4,35.7,985.1,False,59.7,233,0.3
0 days 01:10:21.291000,31.8,35.3,985.1,False,59.2,206,0.5
0 days 01:11:21.289000,31.8,35.6,984.9,False,59.1,115,0.4
0 days 01:12:21.289000,31.7,35.6,984.9,False,59.1,115,0.4
0 days 01:13:21.288000,31.7,36.1,985.0,False,59.3,177,0.5
0 days 01:14:21.291000,31.5,35.4,985.0,False,59.4,187,0.4
0 days 01:15:21.284000,31.5,35.6,984.9,False,59.9,1,0.2
0 days 01:16:21.290000,31.5,35.2,984.9,False,60.0,97,0.2
0 days 01:17:21.291000,31.5,34.6,984.8,False,60.8,337,0.3
