Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:01.613000,25.8,44.3,995.4,False,33.5,34,0.3
0 days 00:02:01.624000,25.8,44.1,995.2,False,33.4,53,0.4
0 days 00:03:01.628000,25.8,44.2,995.3,False,33.6,32,0.0
0 days 00:04:01.617000,25.8,43.9,995.4,False,33.6,36,0.3
0 days 00:05:01.629000,25.7,44.1,995.3,False,33.6,209,0.2
0 days 00:06:01.630000,25.6,44.2,995.3,False,33.3,328,0.1
0 days 00:07:01.627000,25.7,44.2,995.3,False,33.2,347,0.2
0 days 00:08:01.628000,25.7,44.2,995.3,False,33.1,346,0.2
0 days 00:09:01.628000,25.7,44.1,995.2,False,33.1,352,0.2
0 days 00:10:01.628000,25.7,44.0,995.4,False,33.1,10,0.3
0 days 00:11:01.627000,25.7,43.6,995.2,False,33.3,356,0.3
0 days 00:12:01.628000,25.7,43.9,995.2,False,33.1,24,0.3
0 days 00:13:01.629000,25.7,43.8,995.2,False,33.2,272,0.3
0 days 00:14:01.638000,25.6,44.1,995.2,False,33.0,34,0.1
0 days 00:15:01.669000,25.7,44.1,995.2,False,33.0,287,0.1
0 days 00:16:01.628000,25.7,44.1,995.2,False,33.1,6,0.1
0 days 00:17:01.635000,25.7,43.9,995.3,False,33.1,353,0.2
0 days 00:18:01.630000,25.7,43.8,995.2,False,32.9,356,0.3
0 days 00:19:01.630000,25.7,43.6,995.2,False,32.9,20,0.2
0 days 00:20:01.630000,25.6,44.0,995.2,False,32.9,0,0.2
0 days 00:21:01.630000,25.7,44.0,995.2,False,32.9,0,0.2
0 days 00:22:01.637000,25.7,44.1,995.2,False,32.8,190,0.3
0 days 00:23:01.631000,25.7,43.5,995.2,False,33.1,0,0.3
0 days 00:24:01.648000,25.7,44.0,995.2,False,33.0,205,0.4
0 days 00:25:01.649000,25.7,44.1,995.2,False,33.0,209,0.5
0 days 00:26:01.682000,25.7,43.6,995.2,False,32.7,280,0.4
0 days 00:27:01.644000,25.7,44.6,995.2,False,32.7,209,0.2
0 days 00:28:01.662000,25.6,44.3,995.2,False,32.4,85,0.5
0 days 00:29:01.675000,25.6,44.2,995.3,False,32.4,230,0.2
0 days 00:30:01.689000,25.6,44.1,995.3,False,32.4,214,0.3
0 days 00:31:01.676000,25.6,43.9,995.2,False,32.3,329,0.1
0 days 00:32:01.679000,25.6,44.2,995.3,False,32.2,331,0.1
0 days 00:33:01.676000,25.6,43.5,995.2,False,32.2,1,0.3
0 days 00:34:01.668000,25.6,43.7,995.3,False,32.3,7,0.3
0 days 00:35:01.677000,25.6,43.6,995.2,False,32.3,188,0.1
0 days 00:36:01.678000,25.5,43.4,995.2,False,32.4,189,0.3
0 days 00:37:01.676000,25.6,43.4,995.2,False,32.4,219,0.2
0 days 00:38:01.693000,25.5,43.5,995.2,False,32.3,228,0.3
0 days 00:39:01.693000,25.5,43.7,995.3,False,32.0,236,0.1
0 days 00:40:01.708000,25.4,44.1,995.3,False,31.5,0,0.1
0 days 00:41:01.723000,25.4,44.1,995.3,False,31.5,0,0.1
0 days 00:42:01.735000,25.3,43.6,995.3,False,31.7,304,0.1
0 days 00:43:01.770000,25.3,44.0,995.2,False,31.7,43,0.1
0 days 00:44:01.756000,25.3,43.6,995.3,False,31.5,262,0.1
0 days 00:45:01.755000,25.2,43.4,995.2,False,31.5,242,0.2
0 days 00:46:01.756000,25.2,43.5,995.2,False,31.6,184,0.3
0 days 00:47:01.743000,25.3,43.0,995.2,False,31.6,196,0.5
0 days 00:48:01.764000,25.4,42.5,995.3,False,31.8,166,0.1
0 days 00:49:01.759000,25.4,42.5,995.3,False,31.8,166,0.1
0 days 00:50:01.757000,25.4,43.0,995.2,False,31.5,239,0.3
0 days 00:51:01.747000,25.3,43.0,995.2,False,31.3,357,0.3
0 days 00:52:01.743000,25.2,43.1,995.3,False,31.1,59,0.1
0 days 00:53:01.755000,25.2,43.1,995.3,False,31.1,59,0.1
0 days 00:54:01.756000,25.2,42.7,995.3,False,31.2,55,0.0
0 days 00:55:01.754000,25.1,42.7,995.3,False,31.2,55,0.0
0 days 00:56:01.757000,25.1,42.4,995.2,False,31.4,137,0.4
0 days 00:57:01.754000,25.1,42.4,995.2,False,31.4,137,0.4
0 days 00:58:01.754000,25.2,41.7,995.2,False,31.3,154,0.2
0 days 00:59:01.763000,25.3,41.7,995.2,False,31.3,154,0.2
0 days 01:00:01.755000,25.3,42.0,995.2,False,31.3,272,0.2
0 days 01:01:01.753000,25.2,42.8,995.1,False,30.8,294,0.2
0 days 01:02:01.754000,25.1,43.0,995.1,False,30.9,328,0.1
0 days 01:03:01.778000,25.1,43.0,995.1,False,30.9,328,0.1
0 days 01:04:01.790000,25.1,42.6,995.1,False,31.1,8,0.0
0 days 01:05:01.801000,25.1,42.6,995.1,False,31.1,8,0.0
0 days 01:06:01.803000,25.0,42.7,995.1,False,31.1,356,0.1
0 days 01:07:01.802000,25.1,42.7,995.1,False,30.9,226,0.2
0 days 01:08:01.803000,25.1,42.7,995.1,False,30.9,226,0.2
0 days 01:09:01.803000,25.1,42.4,995.1,False,30.8,0,0.4
0 days 01:10:01.802000,25.1,42.4,995.1,False,30.8,0,0.4
0 days 01:11:01.802000,25.1,43.4,995.1,False,30.5,238,0.0
0 days 01:12:01.807000,25.1,43.4,995.1,False,30.5,238,0.0
0 days 01:13:01.803000,25.0,43.7,995.1,False,30.5,0,0.1
0 days 01:14:01.804000,25.0,43.7,995.1,False,30.5,0,0.1
0 days 01:15:01.803000,24.9,43.3,995.0,False,30.7,355,0.2
0 days 01:16:01.795000,25.0,43.3,995.0,False,30.7,355,0.2
0 days 01:17:01.802000,25.0,43.3,995.1,False,30.6,159,0.3
0 days 01:18:01.808000,25.0,43.3,995.1,False,30.6,159,0.3
