Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:07.521000,28.3,38.7,995.1,False,44.6,199,0.3
0 days 00:01:07.511000,28.3,38.6,995.2,False,44.3,230,0.2
0 days 00:02:07.522000,28.3,38.1,995.1,False,44.3,166,0.3
0 days 00:03:07.522000,28.4,37.7,995.1,False,44.5,238,0.2
0 days 00:04:07.522000,28.5,37.4,995.1,False,44.5,235,0.2
0 days 00:05:07.526000,28.4,37.7,995.1,False,44.4,9,0.2
0 days 00:06:07.521000,28.5,38.4,995.0,False,44.3,351,0.3
0 days 00:07:07.520000,28.6,38.5,995.1,False,44.3,319,0.2
0 days 00:08:07.520000,28.4,38.5,994.9,False,44.0,171,0.0
0 days 00:09:07.522000,28.3,38.5,995.1,False,44.9,211,0.4
0 days 00:10:07.525000,28.4,38.1,995.1,False,44.9,0,0.2
0 days 00:11:07.521000,28.5,38.0,995.1,False,44.3,0,0.1
0 days 00:12:07.523000,28.5,38.3,995.0,False,44.3,153,0.3
0 days 00:13:07.521000,28.6,38.5,995.1,False,44.4,224,0.3
0 days 00:14:07.523000,28.6,38.5,995.0,False,44.8,120,0.1
0 days 00:15:07.522000,28.7,38.6,995.1,False,44.5,0,0.0
0 days 00:16:07.523000,28.7,38.2,995.0,False,44.5,315,0.0
0 days 00:17:07.522000,28.7,38.3,995.2,False,44.7,315,0.3
0 days 00:18:07.782000,28.8,38.4,995.0,False,44.7,5,0.3
0 days 00:19:07.521000,28.3,38.9,995.0,False,43.9,310,0.2
0 days 00:20:07.530000,28.1,39.1,995.0,False,43.9,348,0.3
0 days 00:21:07.520000,28.1,38.6,994.8,False,44.6,336,0.6
0 days 00:22:07.520000,27.8,39.8,994.9,False,44.6,345,0.6
0 days 00:23:07.523000,27.8,40.1,994.9,False,44.2,338,0.4
0 days 00:24:07.522000,27.8,40.1,994.9,False,44.2,338,0.4
0 days 00:25:07.523000,28.2,39.2,994.8,False,45.0,178,0.1
0 days 00:26:07.523000,28.5,38.3,994.9,False,45.3,163,0.4
0 days 00:27:07.537000,28.7,38.1,994.8,False,45.2,147,0.3
