Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:43.066000,28.4,70.4,1012.8,False,36.2,18,0.5
0 days 00:01:43.065000,28.4,70.5,1012.8,False,36.3,21,0.4
0 days 00:02:43.067000,28.4,70.7,1012.7,False,36.3,15,0.5
0 days 00:03:43.064000,28.4,70.6,1012.7,False,36.2,0,0.4
0 days 00:04:43.067000,28.4,70.5,1012.7,False,36.1,24,0.6
0 days 00:05:43.068000,28.4,70.2,1012.8,False,36.0,15,0.5
0 days 00:06:43.080000,28.4,69.6,1012.7,False,36.0,4,0.5
0 days 00:07:43.096000,28.4,68.9,1012.8,False,36.0,6,0.5
0 days 00:08:43.112000,28.4,69.1,1012.8,False,36.0,6,0.5
0 days 00:09:43.115000,28.4,69.0,1012.7,False,35.8,1,0.4
0 days 00:10:43.120000,28.4,69.5,1012.8,False,36.1,355,0.5
0 days 00:11:43.127000,28.4,70.5,1012.7,False,35.6,0,0.5
0 days 00:12:43.131000,28.4,70.8,1012.8,False,35.6,10,0.4
0 days 00:13:43.131000,28.4,70.8,1012.8,False,35.6,10,0.4
0 days 00:14:43.155000,28.4,70.5,1012.7,False,35.5,358,0.4
0 days 00:15:43.167000,28.4,70.0,1012.8,False,35.6,13,0.5
0 days 00:16:43.176000,28.4,70.7,1012.8,False,35.1,6,0.6
0 days 00:17:43.192000,28.4,70.8,1012.7,False,35.4,20,0.5
0 days 00:18:43.192000,28.3,70.8,1012.7,False,35.5,152,0.2
0 days 00:19:43.194000,28.3,70.0,1012.8,False,35.7,124,0.3
0 days 00:20:43.193000,28.4,69.8,1012.7,False,35.8,115,0.5
0 days 00:21:43.192000,28.4,69.8,1012.9,False,35.6,14,0.4
0 days 00:22:43.192000,28.5,69.7,1012.8,False,35.6,45,0.3
0 days 00:23:43.198000,28.5,69.1,1012.8,False,35.6,116,0.3
0 days 00:24:43.199000,28.6,69.0,1012.8,False,36.0,116,0.3
0 days 00:25:43.197000,28.6,68.2,1012.9,False,35.8,144,0.3
0 days 00:26:43.195000,28.6,68.1,1012.7,False,35.7,39,0.2
0 days 00:27:43.194000,28.6,68.6,1012.8,False,35.4,90,0.2
0 days 00:28:43.197000,28.6,69.2,1012.8,False,35.1,5,0.3
0 days 00:29:43.193000,28.6,69.5,1012.8,False,34.9,79,0.2
0 days 00:30:43.198000,28.6,69.9,1012.8,False,35.1,0,0.4
0 days 00:31:43.194000,28.6,69.6,1012.8,False,35.1,145,0.1
0 days 00:32:43.195000,28.6,69.0,1012.8,False,35.1,85,0.2
0 days 00:33:43.193000,28.6,69.4,1012.8,False,35.0,5,0.5
0 days 00:34:43.195000,28.6,69.5,1012.8,False,34.6,19,0.3
0 days 00:35:43.193000,28.6,69.0,1012.8,False,34.6,11,0.2
0 days 00:36:43.192000,28.4,69.3,1012.9,False,34.0,20,0.2
0 days 00:37:43.193000,28.4,69.5,1012.8,False,34.4,16,0.4
0 days 00:38:43.194000,28.3,68.8,1012.7,False,34.6,12,0.7
0 days 00:39:43.193000,28.3,68.9,1012.7,False,33.9,27,0.4
0 days 00:40:43.211000,28.3,68.5,1012.8,False,33.8,16,0.5
0 days 00:41:43.224000,28.3,68.5,1012.8,False,33.9,32,0.5
0 days 00:42:43.259000,28.3,68.9,1012.8,False,33.8,356,0.4
0 days 00:43:43.241000,28.3,68.8,1012.8,False,33.8,35,0.4
0 days 00:44:43.245000,28.3,68.4,1012.8,False,33.8,25,0.3
0 days 00:45:43.242000,28.2,68.5,1012.9,False,33.7,7,0.3
0 days 00:46:43.241000,28.3,68.5,1012.8,False,33.8,8,0.4
0 days 00:47:43.242000,28.3,68.6,1012.9,False,33.8,38,0.2
0 days 00:48:43.240000,28.4,68.7,1012.8,False,33.9,140,0.0
0 days 00:49:43.249000,28.4,68.7,1012.9,False,34.5,37,0.3
0 days 00:50:43.249000,28.4,69.0,1012.8,False,34.5,59,0.2
0 days 00:51:43.242000,28.4,68.9,1012.9,False,34.3,4,0.3
0 days 00:52:43.242000,28.4,68.4,1012.9,False,34.1,119,0.3
0 days 00:53:43.243000,28.4,68.1,1012.9,False,33.8,105,0.3
0 days 00:54:43.242000,28.4,67.1,1012.9,False,34.0,358,0.4
0 days 00:55:43.241000,28.4,67.4,1012.9,False,34.0,23,0.3
0 days 00:56:43.245000,28.4,67.4,1012.9,False,34.0,23,0.3
0 days 00:57:43.259000,28.4,66.6,1012.9,False,33.6,135,0.3
0 days 00:58:43.275000,28.4,66.2,1012.9,False,33.6,25,0.2
0 days 00:59:43.289000,28.3,66.3,1012.9,False,33.8,126,0.3
0 days 01:00:43.291000,28.3,66.1,1013.0,False,33.7,55,0.1
0 days 01:01:43.293000,28.3,66.5,1013.1,False,33.7,80,0.2
0 days 01:02:43.308000,28.3,66.5,1013.0,False,33.3,9,0.4
0 days 01:03:43.322000,28.3,67.6,1013.0,False,33.1,91,0.2
0 days 01:04:43.319000,28.3,67.3,1013.0,False,33.2,356,0.4
0 days 01:05:43.322000,28.3,66.4,1013.0,False,33.2,0,0.4
0 days 01:06:43.318000,28.2,67.1,1013.0,False,33.2,6,0.2
0 days 01:07:43.312000,28.3,68.1,1013.0,False,33.1,6,0.4
0 days 01:08:43.325000,28.3,68.4,1013.1,False,33.2,49,0.3
0 days 01:09:43.321000,28.4,68.1,1013.0,False,33.4,94,0.5
0 days 01:10:43.320000,28.4,67.7,1013.0,False,33.4,121,0.3
0 days 01:11:43.342000,28.4,67.5,1012.9,False,33.4,160,0.1
0 days 01:12:43.354000,28.4,66.7,1013.1,False,33.5,72,0.4
