Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:35.267000,28.1,72.3,1013.6,False,31.5,164,0.3
0 days 00:01:35.274000,28.1,72.1,1013.6,False,31.6,158,0.4
0 days 00:02:35.275000,28.1,71.9,1013.6,False,31.6,156,0.5
0 days 00:03:35.277000,28.1,71.4,1013.5,False,31.6,158,0.5
0 days 00:04:35.279000,28.1,71.3,1013.6,False,31.5,155,0.5
0 days 00:05:35.275000,28.1,71.8,1013.6,False,31.4,160,0.5
0 days 00:06:35.277000,28.1,71.6,1013.5,False,31.3,148,0.6
0 days 00:07:35.294000,28.1,72.4,1013.6,False,31.3,154,0.5
0 days 00:08:35.308000,28.1,72.0,1013.6,False,31.3,146,0.6
0 days 00:09:35.310000,28.1,72.2,1013.5,False,31.3,164,0.6
0 days 00:10:35.331000,28.0,72.3,1013.6,False,31.3,156,0.6
0 days 00:11:35.326000,28.0,72.8,1013.6,False,31.0,152,0.6
0 days 00:12:35.324000,28.0,72.0,1013.5,False,31.0,161,0.7
0 days 00:13:35.324000,28.0,72.6,1013.5,False,31.1,141,0.6
0 days 00:14:35.327000,28.0,73.3,1013.6,False,31.1,168,0.5
0 days 00:15:35.331000,28.0,73.1,1013.6,False,31.2,160,0.5
0 days 00:16:35.325000,28.0,72.2,1013.6,False,31.1,161,0.6
0 days 00:17:35.326000,28.0,72.2,1013.6,False,31.2,160,0.5
0 days 00:18:35.323000,28.0,71.7,1013.6,False,31.1,155,0.5
0 days 00:19:35.326000,28.1,72.3,1013.6,False,31.1,160,0.7
0 days 00:20:35.323000,28.2,71.9,1013.7,False,31.3,162,0.9
0 days 00:21:35.323000,28.4,71.8,1013.6,False,31.7,160,1.1
0 days 00:22:35.325000,28.4,71.3,1013.6,False,31.7,158,1.1
0 days 00:23:35.339000,28.4,70.8,1013.6,False,31.5,161,0.8
0 days 00:24:35.355000,28.4,70.8,1013.6,False,31.5,161,0.8
0 days 00:25:35.358000,28.5,70.9,1013.5,False,31.6,156,1.2
0 days 00:26:35.357000,28.5,69.8,1013.7,False,31.6,156,0.8
0 days 00:27:35.372000,28.4,70.3,1013.7,False,30.9,155,0.8
0 days 00:28:35.395000,28.4,70.8,1013.8,False,30.8,153,0.7
0 days 00:29:35.404000,28.3,71.0,1013.7,False,30.7,156,0.6
0 days 00:30:35.417000,28.3,71.5,1013.8,False,30.7,155,0.5
0 days 00:31:35.407000,28.2,71.0,1013.7,False,30.7,159,0.8
0 days 00:32:35.403000,28.3,71.4,1013.7,False,31.3,154,0.8
0 days 00:33:35.405000,28.3,70.8,1013.7,False,31.4,151,0.8
0 days 00:34:35.405000,28.3,71.0,1013.7,False,31.2,160,0.9
0 days 00:35:35.406000,28.4,71.2,1013.7,False,31.2,164,1.0
0 days 00:36:35.420000,28.4,71.6,1013.6,False,30.8,153,0.9
0 days 00:37:35.419000,28.4,71.4,1013.7,False,31.2,146,0.6
0 days 00:38:35.420000,28.3,70.9,1013.7,False,30.6,148,0.7
0 days 00:39:35.421000,28.1,71.5,1013.7,False,30.3,147,0.6
0 days 00:40:35.420000,28.1,72.1,1013.8,False,30.3,157,0.5
0 days 00:41:35.419000,28.1,72.2,1013.8,False,30.3,144,0.6
0 days 00:42:35.422000,28.1,72.5,1013.8,False,30.3,152,0.5
0 days 00:43:35.435000,28.1,72.0,1013.8,False,30.2,157,0.6
0 days 00:44:35.450000,28.0,72.8,1013.8,False,30.2,154,0.8
0 days 00:45:35.449000,28.2,71.8,1013.8,False,30.8,156,0.7
0 days 00:46:35.450000,28.2,72.4,1013.8,False,30.9,151,0.7
0 days 00:47:35.469000,28.2,72.3,1013.8,False,30.8,159,0.6
0 days 00:48:35.466000,28.3,72.4,1013.8,False,31.2,153,0.8
0 days 00:49:35.483000,28.3,71.5,1013.9,False,30.9,158,0.6
0 days 00:50:35.481000,28.3,71.7,1013.9,False,31.1,152,0.7
0 days 00:51:35.481000,28.2,71.8,1013.9,False,30.6,162,0.7
0 days 00:52:35.495000,28.2,72.8,1013.8,False,30.6,164,0.7
0 days 00:53:35.482000,28.2,72.8,1013.8,False,30.9,156,0.8
0 days 00:54:35.483000,28.3,72.2,1013.7,False,30.9,148,0.8
0 days 00:55:35.492000,28.2,72.6,1013.8,False,30.7,156,0.7
0 days 00:56:35.473000,28.2,72.5,1013.8,False,30.7,155,0.8
0 days 00:57:35.486000,28.2,72.2,1013.8,False,30.8,139,0.9
0 days 00:58:35.482000,28.2,71.7,1013.9,False,30.7,138,0.7
0 days 00:59:35.485000,28.2,71.4,1013.9,False,30.4,144,0.7
0 days 01:00:35.482000,28.1,71.9,1013.8,False,29.8,137,0.6
0 days 01:01:35.485000,28.0,72.7,1013.9,False,29.8,127,0.3
0 days 01:02:35.498000,28.0,73.2,1014.0,False,29.8,157,0.3
0 days 01:03:35.483000,27.9,73.2,1013.8,False,30.2,152,0.3
0 days 01:04:35.484000,27.9,73.1,1014.0,False,30.3,153,0.4
0 days 01:05:35.496000,27.9,73.4,1013.9,False,30.1,141,0.3
0 days 01:06:35.482000,27.9,73.7,1013.9,False,30.1,147,0.4
0 days 01:07:35.495000,27.9,74.0,1013.9,False,30.1,154,0.5
0 days 01:08:35.485000,28.0,73.2,1013.9,False,30.3,160,0.6
0 days 01:09:35.488000,28.0,73.2,1014.0,False,30.3,146,0.5
0 days 01:10:35.482000,28.0,73.1,1013.9,False,30.5,160,0.5
0 days 01:11:35.482000,28.0,73.1,1013.9,False,30.5,158,0.5
0 days 01:12:35.489000,28.1,73.1,1014.0,False,30.7,151,0.5
0 days 01:13:35.488000,28.1,72.5,1014.0,False,30.8,162,0.5
0 days 01:14:35.484000,28.1,72.1,1013.9,False,30.7,137,0.7
0 days 01:15:35.484000,28.1,72.1,1013.9,False,30.5,159,0.6
0 days 01:16:35.490000,28.1,72.1,1014.0,False,30.4,134,0.6
0 days 01:17:35.495000,28.1,72.1,1013.9,False,30.4,148,0.5
