Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:32.238000,28.8,76.0,1013.3,False,32.8,135,0.2
0 days 00:01:32.230000,28.7,75.9,1013.3,False,32.7,121,0.2
0 days 00:02:32.252000,28.7,75.9,1013.3,False,32.7,121,0.2
0 days 00:03:32.246000,28.8,75.9,1013.3,False,32.7,121,0.2
0 days 00:04:32.245000,28.7,75.9,1013.3,False,32.7,121,0.2
0 days 00:05:32.404000,28.8,75.9,1013.3,False,32.7,121,0.2
0 days 00:06:32.266000,28.8,76.3,1013.3,False,32.7,162,0.1
0 days 00:07:32.280000,28.7,75.8,1013.3,False,32.8,138,0.0
0 days 00:08:32.282000,28.7,76.0,1013.4,False,32.6,139,0.1
0 days 00:09:32.279000,28.7,76.1,1013.4,False,32.6,106,0.1
0 days 00:10:32.293000,28.7,76.1,1013.3,False,32.6,0,0.0
0 days 00:11:32.299000,28.7,76.1,1013.3,False,32.7,0,0.0
0 days 00:12:32.293000,28.7,75.7,1013.4,False,32.8,155,0.0
0 days 00:13:32.297000,28.7,75.7,1013.4,False,32.8,165,0.2
0 days 00:14:32.309000,28.7,75.6,1013.4,False,32.6,165,0.1
0 days 00:15:32.323000,28.7,75.5,1013.4,False,32.6,0,0.0
0 days 00:16:32.323000,28.7,75.1,1013.4,False,32.6,80,0.0
0 days 00:17:32.330000,28.8,75.8,1013.4,False,32.9,13,0.1
0 days 00:18:32.325000,28.8,75.7,1013.5,False,33.1,15,0.3
0 days 00:19:32.322000,28.7,75.6,1013.5,False,33.1,60,0.3
0 days 00:20:32.326000,28.8,75.8,1013.4,False,33.1,23,0.3
0 days 00:21:32.325000,28.7,75.9,1013.5,False,33.1,20,0.3
0 days 00:22:32.341000,28.7,76.0,1013.5,False,32.7,54,0.2
0 days 00:23:32.358000,28.8,76.0,1013.4,False,32.7,30,0.1
0 days 00:24:32.353000,28.8,76.0,1013.4,False,32.7,30,0.1
0 days 00:25:32.368000,28.9,75.6,1013.5,False,32.8,41,0.0
0 days 00:26:32.362000,28.9,75.2,1013.5,False,33.2,155,0.1
0 days 00:27:32.359000,28.9,75.4,1013.5,False,33.5,0,0.1
0 days 00:28:32.360000,28.9,74.2,1013.4,False,34.2,152,0.1
0 days 00:29:32.356000,28.9,74.4,1013.4,False,33.1,70,0.1
0 days 00:30:32.370000,28.9,74.1,1013.4,False,33.4,43,0.1
0 days 00:31:32.375000,28.9,74.2,1013.5,False,32.8,8,0.2
0 days 00:32:32.385000,28.9,74.5,1013.5,False,32.7,28,0.3
0 days 00:33:32.416000,28.8,75.0,1013.5,False,32.6,37,0.1
0 days 00:34:32.438000,28.8,75.1,1013.5,False,32.6,23,0.2
0 days 00:35:32.453000,28.8,75.2,1013.5,False,32.6,28,0.3
0 days 00:36:32.465000,28.8,75.6,1013.5,False,32.3,11,0.3
0 days 00:37:32.466000,28.7,75.9,1013.5,False,32.2,8,0.3
0 days 00:38:32.457000,28.7,76.2,1013.7,False,32.0,6,0.4
0 days 00:39:32.480000,28.6,76.4,1013.6,False,32.0,24,0.3
0 days 00:40:32.480000,28.6,76.2,1013.6,False,32.0,16,0.2
0 days 00:41:32.481000,28.6,76.5,1013.5,False,32.1,17,0.3
0 days 00:42:32.482000,28.6,76.5,1013.6,False,32.1,15,0.3
0 days 00:43:32.482000,28.7,76.5,1013.6,False,32.2,18,0.1
0 days 00:44:32.484000,28.7,76.4,1013.6,False,32.2,27,0.2
0 days 00:45:32.484000,28.6,76.6,1013.7,False,32.0,36,0.3
0 days 00:46:32.501000,28.6,76.8,1013.6,False,32.0,35,0.4
0 days 00:47:32.495000,28.6,76.9,1013.6,False,32.1,38,0.2
0 days 00:48:32.495000,28.6,76.6,1013.7,False,32.2,34,0.2
0 days 00:49:32.496000,28.6,76.4,1013.6,False,32.1,38,0.3
0 days 00:50:32.500000,28.6,76.4,1013.6,False,32.1,25,0.2
0 days 00:51:32.531000,28.6,76.6,1013.7,False,31.9,27,0.1
0 days 00:52:32.512000,28.6,76.7,1013.5,False,31.9,44,0.1
0 days 00:53:32.531000,28.6,77.0,1013.6,False,31.9,9,0.1
0 days 00:54:32.531000,28.6,76.9,1013.6,False,31.9,5,0.1
0 days 00:55:32.528000,28.6,76.9,1013.6,False,32.0,357,0.2
0 days 00:56:32.528000,28.6,76.9,1013.6,False,32.0,357,0.2
0 days 00:57:32.530000,28.6,76.8,1013.6,False,31.8,6,0.3
0 days 00:58:32.546000,28.6,76.9,1013.5,False,31.9,6,0.3
0 days 00:59:32.561000,28.6,76.9,1013.7,False,31.9,14,0.3
0 days 01:00:32.579000,28.6,76.7,1013.7,False,31.9,17,0.3
0 days 01:01:32.577000,28.6,76.8,1013.8,False,32.0,19,0.3
0 days 01:02:32.595000,28.6,77.3,1013.6,False,32.0,7,0.2
0 days 01:03:32.606000,28.6,76.6,1013.7,False,32.0,9,0.4
0 days 01:04:32.608000,28.6,76.2,1013.7,False,32.0,20,0.3
0 days 01:05:32.612000,28.7,76.7,1013.8,False,32.0,116,0.5
0 days 01:06:32.607000,28.7,76.4,1013.6,False,32.0,12,0.3
0 days 01:07:32.609000,28.8,76.6,1013.7,False,31.9,0,0.4
0 days 01:08:32.607000,28.8,75.9,1013.7,False,32.0,157,0.1
0 days 01:09:32.629000,29.0,75.5,1013.7,False,32.2,38,0.6
0 days 01:10:32.610000,29.0,75.2,1013.6,False,32.2,167,0.2
0 days 01:11:32.610000,29.2,74.5,1013.6,False,32.2,190,0.4
0 days 01:12:32.625000,29.2,74.7,1013.7,False,32.6,141,0.5
0 days 01:13:32.643000,29.2,74.3,1013.7,False,32.1,160,0.2
0 days 01:14:32.640000,29.2,74.5,1013.8,False,32.1,28,0.4
0 days 01:15:32.654000,29.2,74.8,1013.8,False,32.1,164,0.6
0 days 01:16:32.659000,29.2,74.5,1013.8,False,31.9,157,0.1
0 days 01:17:32.658000,29.2,74.8,1013.8,False,32.4,79,0.6
0 days 01:18:32.655000,29.2,74.8,1013.9,False,31.9,157,0.3
0 days 01:19:32.665000,29.2,74.4,1013.8,False,32.3,76,0.2
0 days 01:20:32.653000,29.1,74.5,1013.8,False,31.9,131,0.1
0 days 01:21:32.669000,29.1,74.7,1013.8,False,31.9,119,0.4
0 days 01:22:32.681000,29.0,74.7,1013.8,False,31.7,0,0.1
0 days 01:23:32.707000,28.9,74.9,1013.8,False,31.7,129,0.3
0 days 01:24:32.704000,28.9,74.8,1013.8,False,31.6,42,0.3
0 days 01:25:32.700000,28.9,75.4,1013.9,False,31.3,155,0.2
0 days 01:26:32.721000,28.9,75.3,1013.8,False,31.3,108,0.4
0 days 01:27:32.738000,28.8,75.1,1013.8,False,31.6,32,0.1
0 days 01:28:32.737000,28.8,75.4,1013.9,False,31.6,0,0.2
0 days 01:29:32.735000,28.8,75.5,1013.9,False,31.5,356,0.1
0 days 01:30:32.732000,28.8,75.5,1013.9,False,31.4,358,0.3
0 days 01:31:32.737000,28.8,75.9,1013.9,False,31.2,1,0.3
